*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.150309  	0.001000	0.0278672 	0.001000	0.0288282 	0.001000	0.0288282 	0.001000	0.0252182 	0.001000	0.00264905	
0.002000	0.179076  	0.002000	0.0369467 	0.002000	0.0382594 	0.002000	0.0382594 	0.002000	0.0344491 	0.002000	0.00249761	
0.005000	0.235181  	0.005000	0.0540286 	0.005000	0.0560112 	0.005000	0.0560112 	0.005000	0.0520296 	0.005000	0.00199901	
0.008000	0.273652  	0.008000	0.0659564 	0.008000	0.0684059 	0.008000	0.0684059 	0.008000	0.0642842 	0.008000	0.00167218	
0.010000	0.294628  	0.010000	0.0725893 	0.010000	0.0752975 	0.010000	0.0752975 	0.010000	0.0710745 	0.010000	0.00151479	
0.015000	0.355354  	0.015000	0.0855565 	0.015000	0.0897908 	0.015000	0.0897908 	0.015000	0.0843172 	0.015000	0.00123932	
0.020000	0.405109  	0.020000	0.0962033 	0.020000	0.101849  	0.020000	0.101849  	0.020000	0.0951445 	0.020000	0.00105887	
0.025000	0.446258  	0.025000	0.105178  	0.025000	0.112367  	0.025000	0.112367  	0.025000	0.104248  	0.025000	0.000930048	
0.030000	0.480066  	0.030000	0.112836  	0.030000	0.118795  	0.030000	0.118795  	0.030000	0.112003  	0.030000	0.000832726	
0.035000	0.507364  	0.035000	0.119405  	0.035000	0.124261  	0.035000	0.124261  	0.035000	0.118648  	0.035000	0.000756189	
0.040000	0.528808  	0.040000	0.125047  	0.040000	0.128926  	0.040000	0.128926  	0.040000	0.124353  	0.040000	0.000694171	
0.045000	0.544987  	0.045000	0.129888  	0.045000	0.132911  	0.045000	0.132911  	0.045000	0.129245  	0.045000	0.000642739	
0.050000	0.556468  	0.050000	0.134026  	0.050000	0.136309  	0.050000	0.136309  	0.050000	0.133427  	0.050000	0.000599289	
0.055000	0.56381   	0.055000	0.137544  	0.055000	0.139195  	0.055000	0.139195  	0.055000	0.136982  	0.055000	0.000562023	
0.060000	0.567562  	0.060000	0.140513  	0.060000	0.14163   	0.060000	0.14163   	0.060000	0.139983  	0.060000	0.000529657	
0.070000	0.566393  	0.070000	0.14504   	0.070000	0.145351  	0.070000	0.145351  	0.070000	0.144564  	0.070000	0.000476075	
0.080000	0.556821  	0.080000	0.148019  	0.080000	0.14781   	0.080000	0.14781   	0.080000	0.147586  	0.080000	0.000433393	
0.090000	0.542023  	0.090000	0.149771  	0.090000	0.149264  	0.090000	0.149264  	0.090000	0.149376  	0.090000	0.000394829	
0.100000	0.524405  	0.100000	0.150564  	0.100000	0.149924  	0.100000	0.149924  	0.100000	0.150198  	0.100000	0.000366007	
0.120000	0.486908  	0.120000	0.150067  	0.120000	0.149477  	0.120000	0.149477  	0.120000	0.149747  	0.120000	0.000320378	
0.140000	0.451742  	0.140000	0.147766  	0.140000	0.147437  	0.140000	0.147437  	0.140000	0.14748   	0.140000	0.00028575	
0.160000	0.421213  	0.160000	0.144457  	0.160000	0.144443  	0.160000	0.144443  	0.160000	0.144199  	0.160000	0.000258476	
0.180000	0.395419  	0.180000	0.140644  	0.180000	0.14092   	0.180000	0.14092   	0.180000	0.140408  	0.180000	0.000236377	
0.200000	0.373716  	0.200000	0.136637  	0.200000	0.137145  	0.200000	0.137145  	0.200000	0.136419  	0.200000	0.000218069	
0.250000	0.332499  	0.250000	0.126808  	0.250000	0.127616  	0.250000	0.127616  	0.250000	0.126625  	0.250000	0.000183487	
0.300000	0.303111  	0.300000	0.118012  	0.300000	0.118836  	0.300000	0.118836  	0.300000	0.117853  	0.300000	0.000159055	
0.350000	0.280545  	0.350000	0.11042   	0.350000	0.111127  	0.350000	0.111127  	0.350000	0.110279  	0.350000	0.000140789	
0.400000	0.262245  	0.400000	0.103902  	0.400000	0.104452  	0.400000	0.104452  	0.400000	0.103775  	0.400000	0.000126568	
0.450000	0.246844  	0.450000	0.0982724 	0.450000	0.0986743 	0.450000	0.0986743 	0.450000	0.0981573 	0.450000	0.000115153	
0.500000	0.233552  	0.500000	0.0933671 	0.500000	0.0936437 	0.500000	0.0936437 	0.500000	0.0932613 	0.500000	0.00010577	
0.600000	0.211486  	0.600000	0.0852183 	0.600000	0.0853235 	0.600000	0.0853235 	0.600000	0.0851271 	0.600000	9.1216e-05	
0.700000	0.1937    	0.700000	0.0786917 	0.700000	0.0787086 	0.700000	0.0787086 	0.700000	0.0786113 	0.700000	8.04132e-05	
0.800000	0.178948  	0.800000	0.0733159 	0.800000	0.0732963 	0.800000	0.0732963 	0.800000	0.0732439 	0.800000	7.20504e-05	
0.900000	0.166466  	0.900000	0.06879   	0.900000	0.068763  	0.900000	0.068763  	0.900000	0.0687246 	0.900000	6.53689e-05	
1.000000	0.155743  	1.000000	0.0649126 	1.000000	0.0648937 	1.000000	0.0648937 	1.000000	0.0648527 	1.000000	5.98981e-05	
1.250000	0.13449   	1.250000	0.0572308 	1.250000	0.0572561 	1.250000	0.0572561 	1.250000	0.0571811 	1.250000	4.97247e-05	
1.500000	0.118656  	1.500000	0.0514818 	1.500000	0.0515525 	1.500000	0.0515525 	1.500000	0.0514391 	1.500000	4.2667e-05	
1.750000	0.106365  	1.750000	0.046983  	1.750000	0.0470893 	1.750000	0.0470893 	1.750000	0.0469455 	1.750000	3.7463e-05	
2.000000	0.0965252 	2.000000	0.0433469 	2.000000	0.043479  	2.000000	0.043479  	2.000000	0.0433134 	2.000000	3.34556e-05	
2.250000	0.0884564 	2.250000	0.0403351 	2.250000	0.040485  	2.250000	0.040485  	2.250000	0.0403048 	2.250000	3.0268e-05	
2.500000	0.0813576 	2.500000	0.0377916 	2.500000	0.0379533 	2.500000	0.0379533 	2.500000	0.0377639 	2.500000	2.76676e-05	
3.000000	0.0710397 	3.000000	0.0337132 	3.000000	0.0338867 	3.000000	0.0338867 	3.000000	0.0336895 	3.000000	2.36713e-05	
3.500000	0.063209  	3.500000	0.0305692 	3.500000	0.0307451 	3.500000	0.0307451 	3.500000	0.0305485 	3.500000	2.07353e-05	
4.000000	0.0570459 	4.000000	0.0280584 	4.000000	0.0282317 	4.000000	0.0282317 	4.000000	0.02804   	4.000000	1.84811e-05	
4.500000	0.0520586 	4.500000	0.0259988 	4.500000	0.0261669 	4.500000	0.0261669 	4.500000	0.0259821 	4.500000	1.66925e-05	
