*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.899245  	0.001000	0.123529  	0.001000	0.122118  	0.001000	0.122118  	0.001000	0.0821583 	0.001000	0.0413709 	
0.002000	0.987854  	0.002000	0.153222  	0.002000	0.153617  	0.002000	0.153617  	0.002000	0.113798  	0.002000	0.039424  	
0.005000	1.21519   	0.005000	0.207173  	0.005000	0.212676  	0.005000	0.212676  	0.005000	0.175052  	0.005000	0.0321214 	
0.008000	1.39306   	0.008000	0.245461  	0.008000	0.255522  	0.008000	0.255522  	0.008000	0.218325  	0.008000	0.0271363 	
0.010000	1.49352   	0.010000	0.267162  	0.010000	0.280039  	0.010000	0.280039  	0.010000	0.242466  	0.010000	0.0246957 	
0.015000	1.74896   	0.015000	0.313736  	0.015000	0.333097  	0.015000	0.333097  	0.015000	0.293369  	0.015000	0.0203672 	
0.020000	1.95362   	0.020000	0.357313  	0.020000	0.383919  	0.020000	0.383919  	0.020000	0.33982   	0.020000	0.0174936 	
0.025000	2.18387   	0.025000	0.400484  	0.025000	0.435451  	0.025000	0.435451  	0.025000	0.38506   	0.025000	0.0154242 	
0.030000	2.37946   	0.030000	0.443149  	0.030000	0.472553  	0.030000	0.472553  	0.030000	0.429299  	0.030000	0.0138508 	
0.035000	2.54046   	0.035000	0.483767  	0.035000	0.507793  	0.035000	0.507793  	0.035000	0.47116   	0.035000	0.0126074 	
0.040000	2.6674    	0.040000	0.522393  	0.040000	0.541301  	0.040000	0.541301  	0.040000	0.510797  	0.040000	0.0115959 	
0.045000	2.76095   	0.045000	0.559066  	0.045000	0.573164  	0.045000	0.573164  	0.045000	0.548311  	0.045000	0.0107544 	
0.050000	2.81876   	0.050000	0.593601  	0.050000	0.603448  	0.050000	0.603448  	0.050000	0.583559  	0.050000	0.0100415 	
0.055000	2.93812   	0.055000	0.625104  	0.055000	0.632209  	0.055000	0.632209  	0.055000	0.615675  	0.055000	0.00942868	
0.060000	3.03875   	0.060000	0.654858  	0.060000	0.659496  	0.060000	0.659496  	0.060000	0.645963  	0.060000	0.00889534	
0.070000	3.18937   	0.070000	0.709327  	0.070000	0.709842  	0.070000	0.709842  	0.070000	0.701317  	0.070000	0.00801018	
0.080000	3.35013   	0.080000	0.757404  	0.080000	0.754825  	0.080000	0.754825  	0.080000	0.750146  	0.080000	0.00725759	
0.090000	3.46991   	0.090000	0.799673  	0.090000	0.794928  	0.090000	0.794928  	0.090000	0.79299   	0.090000	0.00668267	
0.100000	3.55904   	0.100000	0.836597  	0.100000	0.830488  	0.100000	0.830488  	0.100000	0.830396  	0.100000	0.00620113	
0.120000	3.59096   	0.120000	0.896464  	0.120000	0.889508  	0.120000	0.889508  	0.120000	0.891027  	0.120000	0.00543744	
0.140000	3.58697   	0.140000	0.94089   	0.140000	0.934789  	0.140000	0.934789  	0.140000	0.936049  	0.140000	0.00484136	
0.160000	3.59203   	0.160000	0.976085  	0.160000	0.968964  	0.160000	0.968964  	0.160000	0.9717    	0.160000	0.00438482	
0.180000	3.61317   	0.180000	1.00949   	0.180000	0.994238  	0.180000	0.994238  	0.180000	1.00547   	0.180000	0.00401415	
0.200000	3.6319    	0.200000	1.03336   	0.200000	1.01246   	0.200000	1.01246   	0.200000	1.02965   	0.200000	0.00370655	
0.250000	3.5875    	0.250000	1.07238   	0.250000	1.0363    	0.250000	1.0363    	0.250000	1.06925   	0.250000	0.0031242 	
0.300000	3.57272   	0.300000	1.09565   	0.300000	1.04102   	0.300000	1.04102   	0.300000	1.09294   	0.300000	0.00271173	
0.350000	3.55218   	0.350000	1.10722   	0.350000	1.04227   	0.350000	1.04227   	0.350000	1.10482   	0.350000	0.00240277	
0.400000	3.54744   	0.400000	1.11851   	0.400000	1.03889   	0.400000	1.03889   	0.400000	1.11634   	0.400000	0.00216188	
0.450000	3.52251   	0.450000	1.1225    	0.450000	1.03041   	0.450000	1.03041   	0.450000	1.12053   	0.450000	0.00196828	
0.500000	3.47784   	0.500000	1.11886   	0.500000	1.01888   	0.500000	1.01888   	0.500000	1.11705   	0.500000	0.00180898	
0.600000	3.23953   	0.600000	1.09694   	0.600000	0.990032  	0.600000	0.990032  	0.600000	1.09538   	0.600000	0.0015616 	
0.700000	2.98995   	0.700000	1.06666   	0.700000	0.961414  	0.700000	0.961414  	0.700000	1.06528   	0.700000	0.00137773	
0.800000	2.84939   	0.800000	1.02901   	0.800000	0.934038  	0.800000	0.934038  	0.800000	1.02778   	0.800000	0.00123524	
0.900000	2.71632   	0.900000	0.992946  	0.900000	0.908068  	0.900000	0.908068  	0.900000	0.991825  	0.900000	0.0011213 	
1.000000	2.59199   	1.000000	0.958827  	1.000000	0.883433  	1.000000	0.883433  	1.000000	0.957799  	1.000000	0.00102793	
1.250000	2.30334   	1.250000	0.877267  	1.250000	0.82313   	1.250000	0.82313   	1.250000	0.876413  	1.250000	0.000854137	
1.500000	2.07033   	1.500000	0.809832  	1.500000	0.771591  	1.500000	0.771591  	1.500000	0.809099  	1.500000	0.000733427	
1.750000	1.88004   	1.750000	0.753525  	1.750000	0.726626  	1.750000	0.726626  	1.750000	0.752881  	1.750000	0.000644339	
2.000000	1.71269   	2.000000	0.700999  	2.000000	0.686615  	2.000000	0.686615  	2.000000	0.700424  	2.000000	0.000575687	
2.250000	1.5747    	2.250000	0.655952  	2.250000	0.650707  	2.250000	0.650707  	2.250000	0.655431  	2.250000	0.000521044	
2.500000	1.42954   	2.500000	0.618476  	2.500000	0.618339  	2.500000	0.618339  	2.500000	0.617999  	2.500000	0.000476445	
