*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.412805  	0.001000	0.0734004 	0.001000	0.0847283 	0.001000	0.0847283 	0.001000	0.0488743 	0.001000	0.0245262 	
0.002000	0.482981  	0.002000	0.0945935 	0.002000	0.108176  	0.002000	0.108176  	0.002000	0.0715561 	0.002000	0.0230374 	
0.005000	0.679947  	0.005000	0.136784  	0.005000	0.152956  	0.005000	0.152956  	0.005000	0.118444  	0.005000	0.0183402 	
0.008000	0.844883  	0.008000	0.168686  	0.008000	0.185579  	0.008000	0.185579  	0.008000	0.153384  	0.008000	0.0153024 	
0.010000	0.942965  	0.010000	0.187259  	0.010000	0.204221  	0.010000	0.204221  	0.010000	0.173412  	0.010000	0.0138466 	
0.015000	1.10746   	0.015000	0.228043  	0.015000	0.244468  	0.015000	0.244468  	0.015000	0.216736  	0.015000	0.0113075 	
0.020000	1.23642   	0.020000	0.26349   	0.020000	0.281761  	0.020000	0.281761  	0.020000	0.25384   	0.020000	0.00964981	
0.025000	1.37666   	0.025000	0.296417  	0.025000	0.31858   	0.025000	0.31858   	0.025000	0.287948  	0.025000	0.00846887	
0.030000	1.49037   	0.030000	0.327428  	0.030000	0.345795  	0.030000	0.345795  	0.030000	0.31985   	0.030000	0.00757797	
0.035000	1.58131   	0.035000	0.355622  	0.035000	0.371406  	0.035000	0.371406  	0.035000	0.348744  	0.035000	0.0068781 	
0.040000	1.65108   	0.040000	0.381946  	0.040000	0.395533  	0.040000	0.395533  	0.040000	0.375635  	0.040000	0.00631147	
0.045000	1.7008    	0.045000	0.40669   	0.045000	0.41826   	0.045000	0.41826   	0.045000	0.400848  	0.045000	0.00584189	
0.050000	1.73188   	0.050000	0.429907  	0.050000	0.439651  	0.050000	0.439651  	0.050000	0.424461  	0.050000	0.00544541	
0.055000	1.80081   	0.055000	0.451645  	0.055000	0.459761  	0.055000	0.459761  	0.055000	0.44654   	0.055000	0.00510553	
0.060000	1.85812   	0.060000	0.471957  	0.060000	0.478642  	0.060000	0.478642  	0.060000	0.467147  	0.060000	0.00481046	
0.070000	1.94161   	0.070000	0.508514  	0.070000	0.512912  	0.070000	0.512912  	0.070000	0.504192  	0.070000	0.00432223	
0.080000	2.0311    	0.080000	0.539995  	0.080000	0.542814  	0.080000	0.542814  	0.080000	0.536098  	0.080000	0.00389661	
0.090000	2.09561   	0.090000	0.566959  	0.090000	0.56881   	0.090000	0.56881   	0.090000	0.563376  	0.090000	0.00358283	
0.100000	2.14322   	0.100000	0.589852  	0.100000	0.591238  	0.100000	0.591238  	0.100000	0.586531  	0.100000	0.00332049	
0.120000	2.17347   	0.120000	0.632594  	0.120000	0.626828  	0.120000	0.626828  	0.120000	0.629689  	0.120000	0.00290543	
0.140000	2.17873   	0.140000	0.664103  	0.140000	0.652257  	0.140000	0.652257  	0.140000	0.661512  	0.140000	0.00259063	
0.160000	2.17892   	0.160000	0.688472  	0.160000	0.669794  	0.160000	0.669794  	0.160000	0.686129  	0.160000	0.0023428 	
0.180000	2.17626   	0.180000	0.704374  	0.180000	0.681293  	0.180000	0.681293  	0.180000	0.702232  	0.180000	0.00214208	
0.200000	2.18202   	0.200000	0.71772   	0.200000	0.688221  	0.200000	0.688221  	0.200000	0.715744  	0.200000	0.00197584	
0.250000	2.13738   	0.250000	0.735023  	0.250000	0.692394  	0.250000	0.692394  	0.250000	0.733361  	0.250000	0.00166195	
0.300000	2.1304    	0.300000	0.754433  	0.300000	0.690459  	0.300000	0.690459  	0.300000	0.752993  	0.300000	0.0014403 	
0.350000	2.10564   	0.350000	0.758894  	0.350000	0.683873  	0.350000	0.683873  	0.350000	0.757619  	0.350000	0.00127465	
0.400000	2.07009   	0.400000	0.755829  	0.400000	0.673167  	0.400000	0.673167  	0.400000	0.754683  	0.400000	0.00114572	
0.450000	2.02331   	0.450000	0.74603   	0.450000	0.659724  	0.450000	0.659724  	0.450000	0.744987  	0.450000	0.00104225	
0.500000	1.97783   	0.500000	0.735603  	0.500000	0.646092  	0.500000	0.646092  	0.500000	0.734646  	0.500000	0.000957213	
0.600000	1.8151    	0.600000	0.71012   	0.600000	0.619761  	0.600000	0.619761  	0.600000	0.709294  	0.600000	0.000825348	
0.700000	1.65219   	0.700000	0.679167  	0.700000	0.595424  	0.700000	0.595424  	0.700000	0.678439  	0.700000	0.000727495	
0.800000	1.5802    	0.800000	0.658828  	0.800000	0.573114  	0.800000	0.573114  	0.800000	0.658176  	0.800000	0.000651757	
0.900000	1.5035    	0.900000	0.634709  	0.900000	0.552593  	0.900000	0.552593  	0.900000	0.634117  	0.900000	0.000591257	
1.000000	1.42737   	1.000000	0.608823  	1.000000	0.532221  	1.000000	0.532221  	1.000000	0.608282  	1.000000	0.000541726	
1.250000	1.25276   	1.250000	0.547031  	1.250000	0.488738  	1.250000	0.488738  	1.250000	0.546581  	1.250000	0.000449636	
1.500000	1.08768   	1.500000	0.479508  	1.500000	0.452705  	1.500000	0.452705  	1.500000	0.479123  	1.500000	0.000385765	
1.750000	0.966685  	1.750000	0.43187   	1.750000	0.421653  	1.750000	0.421653  	1.750000	0.431532  	1.750000	0.000338677	
2.000000	0.873129  	2.000000	0.39593   	2.000000	0.394481  	2.000000	0.394481  	2.000000	0.395628  	2.000000	0.000302422	
2.250000	0.799266  	2.250000	0.3674    	2.250000	0.370409  	2.250000	0.370409  	2.250000	0.367126  	2.250000	0.000273587	
2.500000	0.713338  	2.500000	0.343884  	2.500000	0.349018  	2.500000	0.349018  	2.500000	0.343634  	2.500000	0.000250066	
3.000000	0.626784  	3.000000	0.306711  	3.000000	0.312906  	3.000000	0.312906  	3.000000	0.306497  	3.000000	0.000213922	
3.500000	0.560086  	3.500000	0.278105  	3.500000	0.283838  	3.500000	0.283838  	3.500000	0.277917  	3.500000	0.000187373	
4.000000	0.507024  	4.000000	0.255144  	4.000000	0.2601    	4.000000	0.2601    	4.000000	0.254977  	4.000000	0.000166991	
4.500000	0.463747  	4.500000	0.236221  	4.500000	0.24043   	4.500000	0.24043   	4.500000	0.23607   	4.500000	0.00015082	
5.000000	0.427736  	5.000000	0.220324  	5.000000	0.223899  	5.000000	0.223899  	5.000000	0.220186  	5.000000	0.000137657	
5.500000	0.397276  	5.500000	0.206766  	5.500000	0.209824  	5.500000	0.209824  	5.500000	0.206639  	5.500000	0.00012672	
6.000000	0.371155  	6.000000	0.195055  	6.000000	0.197697  	6.000000	0.197697  	6.000000	0.194938  	6.000000	0.000117481	
6.500000	0.348492  	6.500000	0.184829  	6.500000	0.187135  	6.500000	0.187135  	6.500000	0.18472   	6.500000	0.000109565	
7.000000	0.328633  	7.000000	0.175814  	7.000000	0.177848  	7.000000	0.177848  	7.000000	0.175712  	7.000000	0.000102703	
7.500000	0.31108   	7.500000	0.1678    	7.500000	0.169611  	7.500000	0.169611  	7.500000	0.167703  	7.500000	9.66941e-05	
