*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	1.31003   	0.001000	0.307662  	0.001000	0.286529  	0.001000	0.286529  	0.001000	0.157225  	0.001000	0.150437  	
0.002000	1.45154   	0.002000	0.35236   	0.002000	0.327048  	0.002000	0.327048  	0.002000	0.217774  	0.002000	0.134586  	
0.005000	1.78948   	0.005000	0.435252  	0.005000	0.404563  	0.005000	0.404563  	0.005000	0.334995  	0.005000	0.100257  	
0.008000	2.05037   	0.008000	0.504561  	0.008000	0.469616  	0.008000	0.469616  	0.008000	0.423446  	0.008000	0.0811157 	
0.010000	2.19848   	0.010000	0.549575  	0.010000	0.511646  	0.010000	0.511646  	0.010000	0.477146  	0.010000	0.0724285 	
0.015000	2.56911   	0.015000	0.672518  	0.015000	0.613992  	0.015000	0.613992  	0.015000	0.614646  	0.015000	0.0578717 	
0.020000	2.86217   	0.020000	0.794015  	0.020000	0.714493  	0.020000	0.714493  	0.020000	0.745296  	0.020000	0.0487192 	
0.025000	3.18325   	0.025000	0.901832  	0.025000	0.814347  	0.025000	0.814347  	0.025000	0.859482  	0.025000	0.04235   	
0.030000	3.45341   	0.030000	0.997075  	0.030000	0.907854  	0.030000	0.907854  	0.030000	0.959452  	0.030000	0.0376231 	
0.035000	3.64526   	0.035000	1.08083   	0.035000	0.995534  	0.035000	0.995534  	0.035000	1.04687   	0.035000	0.0339549 	
0.040000	3.78773   	0.040000	1.15618   	0.040000	1.07692   	0.040000	1.07692   	0.040000	1.12517   	0.040000	0.0310135 	
0.045000	3.88699   	0.045000	1.22369   	0.045000	1.15189   	0.045000	1.15189   	0.045000	1.19509   	0.045000	0.0285948 	
0.050000	3.94644   	0.050000	1.2841    	0.050000	1.22067   	0.050000	1.22067   	0.050000	1.25754   	0.050000	0.0265659 	
0.055000	4.09418   	0.055000	1.34021   	0.055000	1.28341   	0.055000	1.28341   	0.055000	1.31561   	0.055000	0.0246024 	
0.060000	4.21753   	0.060000	1.39134   	0.060000	1.34112   	0.060000	1.34112   	0.060000	1.36822   	0.060000	0.0231271 	
0.070000	4.39919   	0.070000	1.48087   	0.070000	1.44287   	0.070000	1.44287   	0.070000	1.46018   	0.070000	0.0206963 	
0.080000	4.6008    	0.080000	1.56251   	0.080000	1.52985   	0.080000	1.52985   	0.080000	1.54374   	0.080000	0.018771  	
0.090000	4.75123   	0.090000	1.63516   	0.090000	1.60551   	0.090000	1.60551   	0.090000	1.61796   	0.090000	0.0172042 	
0.100000	4.86408   	0.100000	1.7011    	0.100000	1.6724    	0.100000	1.6724    	0.100000	1.68519   	0.100000	0.0159015 	
0.120000	4.90324   	0.120000	1.8056    	0.120000	1.78658   	0.120000	1.78658   	0.120000	1.79174   	0.120000	0.0138536 	
0.140000	4.93026   	0.140000	1.9012    	0.140000	1.88133   	0.140000	1.88133   	0.140000	1.88889   	0.140000	0.012311  	
0.160000	4.94184   	0.160000	1.98106   	0.160000	1.96127   	0.160000	1.96127   	0.160000	1.96996   	0.160000	0.011103  	
0.180000	4.9541    	0.180000	2.04784   	0.180000	2.02912   	0.180000	2.02912   	0.180000	2.03771   	0.180000	0.0101288 	
0.200000	4.97244   	0.200000	2.1035    	0.200000	2.08679   	0.200000	2.08679   	0.200000	2.09418   	0.200000	0.00932476	
0.250000	4.91378   	0.250000	2.21748   	0.250000	2.19533   	0.250000	2.19533   	0.250000	2.20967   	0.250000	0.00781367	
0.300000	4.89465   	0.300000	2.29801   	0.300000	2.26547   	0.300000	2.26547   	0.300000	2.29126   	0.300000	0.00675234	
0.350000	4.8811    	0.350000	2.34896   	0.350000	2.31285   	0.350000	2.31285   	0.350000	2.34299   	0.350000	0.00596233	
0.400000	4.90493   	0.400000	2.40051   	0.400000	2.35539   	0.400000	2.35539   	0.400000	2.39516   	0.400000	0.00534939	
0.450000	4.91483   	0.450000	2.43169   	0.450000	2.3782    	0.450000	2.3782    	0.450000	2.42683   	0.450000	0.00485878	
0.500000	4.90863   	0.500000	2.44845   	0.500000	2.38682   	0.500000	2.38682   	0.500000	2.44399   	0.500000	0.00445645	
0.600000	4.70883   	0.600000	2.46587   	0.600000	2.37314   	0.600000	2.37314   	0.600000	2.46203   	0.600000	0.00383418	
0.700000	4.42151   	0.700000	2.42611   	0.700000	2.33477   	0.700000	2.33477   	0.700000	2.42273   	0.700000	0.00337374	
0.800000	4.25691   	0.800000	2.37349   	0.800000	2.28688   	0.800000	2.28688   	0.800000	2.37047   	0.800000	0.0030182 	
0.900000	4.09332   	0.900000	2.31581   	0.900000	2.23441   	0.900000	2.23441   	0.900000	2.31307   	0.900000	0.00273473	
1.000000	3.93251   	1.000000	2.25531   	1.000000	2.18017   	1.000000	2.18017   	1.000000	2.25281   	1.000000	0.00250303	
1.250000	3.55674   	1.250000	2.09659   	1.250000	2.03996   	1.250000	2.03996   	1.250000	2.09451   	1.250000	0.0020732 	
1.500000	3.22775   	1.500000	1.94968   	1.500000	1.90895   	1.500000	1.90895   	1.500000	1.94791   	1.500000	0.00177585	
1.750000	2.9418    	1.750000	1.81719   	1.750000	1.79389   	1.750000	1.79389   	1.750000	1.81563   	1.750000	0.00155708	
2.000000	2.70517   	2.000000	1.70522   	2.000000	1.69187   	2.000000	1.69187   	2.000000	1.70383   	2.000000	0.00138892	
2.250000	2.50929   	2.250000	1.60884   	2.250000	1.60087   	2.250000	1.60087   	2.250000	1.60759   	2.250000	0.00125535	
2.500000	2.30047   	2.500000	1.52421   	2.500000	1.51929   	2.500000	1.51929   	2.500000	1.52307   	2.500000	0.00114652	
3.000000	2.04032   	3.000000	1.37852   	3.000000	1.37949   	3.000000	1.37949   	3.000000	1.37754   	3.000000	0.000979527	
3.500000	1.83573   	3.500000	1.26521   	3.500000	1.26445   	3.500000	1.26445   	3.500000	1.26435   	3.500000	0.000857056	
4.000000	1.6705    	4.000000	1.17339   	4.000000	1.16838   	4.000000	1.16838   	4.000000	1.17263   	4.000000	0.000763159	
4.500000	1.53416   	4.500000	1.09692   	4.500000	1.08708   	4.500000	1.08708   	4.500000	1.09623   	4.500000	0.00068874	
