*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.212878  	0.001000	0.0394922 	0.001000	0.04045   	0.001000	0.04045   	0.001000	0.0251287 	0.001000	0.0143635 	
0.002000	0.264609  	0.002000	0.0564646 	0.002000	0.0581218 	0.002000	0.0581218 	0.002000	0.0434855 	0.002000	0.012979  	
0.005000	0.40314   	0.005000	0.094982  	0.005000	0.098228  	0.005000	0.098228  	0.005000	0.085185  	0.005000	0.00979692	
0.008000	0.508493  	0.008000	0.124651  	0.008000	0.129097  	0.008000	0.129097  	0.008000	0.116677  	0.008000	0.00797383	
0.010000	0.566797  	0.010000	0.141541  	0.010000	0.146663  	0.010000	0.146663  	0.010000	0.134403  	0.010000	0.00713805	
0.015000	0.722434  	0.015000	0.175563  	0.015000	0.184092  	0.015000	0.184092  	0.015000	0.169836  	0.015000	0.00572719	
0.020000	0.852773  	0.020000	0.203917  	0.020000	0.21573   	0.020000	0.21573   	0.020000	0.199083  	0.020000	0.00483391	
0.025000	0.963959  	0.025000	0.228425  	0.025000	0.243886  	0.025000	0.243886  	0.025000	0.224215  	0.025000	0.00420957	
0.030000	1.0593    	0.030000	0.250072  	0.030000	0.263179  	0.030000	0.263179  	0.030000	0.246327  	0.030000	0.00374481	
0.035000	1.1408    	0.035000	0.269458  	0.035000	0.280347  	0.035000	0.280347  	0.035000	0.266074  	0.035000	0.00338333	
0.040000	1.20984   	0.040000	0.286976  	0.040000	0.29583   	0.040000	0.29583   	0.040000	0.283883  	0.040000	0.00309295	
0.045000	1.26755   	0.045000	0.302902  	0.045000	0.309919  	0.045000	0.309919  	0.045000	0.300048  	0.045000	0.00285383	
0.050000	1.31492   	0.050000	0.317434  	0.050000	0.32282   	0.050000	0.32282   	0.050000	0.314781  	0.050000	0.002653  	
0.055000	1.35294   	0.055000	0.330727  	0.055000	0.334682  	0.055000	0.334682  	0.055000	0.328245  	0.055000	0.00248161	
0.060000	1.38255   	0.060000	0.342878  	0.060000	0.345596  	0.060000	0.345596  	0.060000	0.340566  	0.060000	0.00231152	
0.070000	1.42043   	0.070000	0.364246  	0.070000	0.365024  	0.070000	0.365024  	0.070000	0.362176  	0.070000	0.00207043	
0.080000	1.43591   	0.080000	0.38214   	0.080000	0.381601  	0.080000	0.381601  	0.080000	0.380261  	0.080000	0.00187918	
0.090000	1.43551   	0.090000	0.397043  	0.090000	0.395701  	0.090000	0.395701  	0.090000	0.39532   	0.090000	0.00172334	
0.100000	1.42458   	0.100000	0.409353  	0.100000	0.407615  	0.100000	0.407615  	0.100000	0.407759  	0.100000	0.00159365	
0.120000	1.38626   	0.120000	0.42751   	0.120000	0.425831  	0.120000	0.425831  	0.120000	0.426121  	0.120000	0.00138953	
0.140000	1.34101   	0.140000	0.438854  	0.140000	0.437877  	0.140000	0.437877  	0.140000	0.437618  	0.140000	0.00123559	
0.160000	1.29738   	0.160000	0.445114  	0.160000	0.44507   	0.160000	0.44507   	0.160000	0.443999  	0.160000	0.00111492	
0.180000	1.25806   	0.180000	0.447617  	0.180000	0.448495  	0.180000	0.448495  	0.180000	0.4466    	0.180000	0.00101752	
0.200000	1.22326   	0.200000	0.447372  	0.200000	0.449033  	0.200000	0.449033  	0.200000	0.446435  	0.200000	0.00093709	
0.250000	1.15141   	0.250000	0.439234  	0.250000	0.442032  	0.250000	0.442032  	0.250000	0.438448  	0.250000	0.000785796	
0.300000	1.09274   	0.300000	0.425559  	0.300000	0.428529  	0.300000	0.428529  	0.300000	0.424879  	0.300000	0.000679426	
0.350000	1.04102   	0.350000	0.409877  	0.350000	0.412499  	0.350000	0.412499  	0.350000	0.409276  	0.350000	0.00060019	
