*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.476419  	0.001000	0.0708425 	0.001000	0.0823814 	0.001000	0.0823814 	0.001000	0.0481275 	0.001000	0.022715  	
0.002000	0.557409  	0.002000	0.0921705 	0.002000	0.106089  	0.002000	0.106089  	0.002000	0.0704627 	0.002000	0.0217077 	
0.005000	0.784727  	0.005000	0.134396  	0.005000	0.151179  	0.005000	0.151179  	0.005000	0.116634  	0.005000	0.0177613 	
0.008000	0.97508   	0.008000	0.166077  	0.008000	0.183798  	0.008000	0.183798  	0.008000	0.15104   	0.008000	0.0150366 	
0.010000	1.08828   	0.010000	0.18446   	0.010000	0.202378  	0.010000	0.202378  	0.010000	0.170763  	0.010000	0.0136973 	
0.015000	1.27812   	0.015000	0.224739  	0.015000	0.2424    	0.015000	0.2424    	0.015000	0.213424  	0.015000	0.0113146 	
0.020000	1.42695   	0.020000	0.259142  	0.020000	0.279324  	0.020000	0.279324  	0.020000	0.249414  	0.020000	0.00972831	
0.025000	1.58881   	0.025000	0.290697  	0.025000	0.315778  	0.025000	0.315778  	0.025000	0.282113  	0.025000	0.0085838 	
0.030000	1.72003   	0.030000	0.320451  	0.030000	0.341481  	0.030000	0.341481  	0.030000	0.312739  	0.030000	0.00771249	
0.035000	1.825     	0.035000	0.347568  	0.035000	0.36573   	0.035000	0.36573   	0.035000	0.340545  	0.035000	0.00702325	
0.040000	1.90552   	0.040000	0.372961  	0.040000	0.388648  	0.040000	0.388648  	0.040000	0.366499  	0.040000	0.00646212	
0.045000	1.9629    	0.045000	0.396935  	0.045000	0.410316  	0.045000	0.410316  	0.045000	0.39094   	0.045000	0.00599498	
0.050000	1.99877   	0.050000	0.419541  	0.050000	0.430795  	0.050000	0.430795  	0.050000	0.413942  	0.050000	0.00559907	
0.055000	2.07831   	0.055000	0.440823  	0.055000	0.450135  	0.055000	0.450135  	0.055000	0.435565  	0.055000	0.00525856	
0.060000	2.14445   	0.060000	0.460823  	0.060000	0.468382  	0.060000	0.468382  	0.060000	0.455861  	0.060000	0.00496211	
0.070000	2.24081   	0.070000	0.497151  	0.070000	0.50176   	0.070000	0.50176   	0.070000	0.492681  	0.070000	0.00446985	
0.080000	2.3441    	0.080000	0.528863  	0.080000	0.531225  	0.080000	0.531225  	0.080000	0.524812  	0.080000	0.00405081	
0.090000	2.41854   	0.090000	0.556397  	0.090000	0.557147  	0.090000	0.557147  	0.090000	0.552666  	0.090000	0.00373085	
0.100000	2.4735    	0.100000	0.580122  	0.100000	0.579807  	0.100000	0.579807  	0.100000	0.576659  	0.100000	0.00346274	
0.120000	2.5084    	0.120000	0.624889  	0.120000	0.616532  	0.120000	0.616532  	0.120000	0.621851  	0.120000	0.00303733	
0.140000	2.51447   	0.140000	0.658703  	0.140000	0.643628  	0.140000	0.643628  	0.140000	0.655998  	0.140000	0.00270503	
0.160000	2.51469   	0.160000	0.68534   	0.160000	0.663063  	0.160000	0.663063  	0.160000	0.682889  	0.160000	0.0024505 	
0.180000	2.51162   	0.180000	0.703275  	0.180000	0.676462  	0.180000	0.676462  	0.180000	0.701031  	0.180000	0.00224377	
0.200000	2.51827   	0.200000	0.718327  	0.200000	0.685165  	0.200000	0.685165  	0.200000	0.716255  	0.200000	0.00207217	
0.250000	2.46675   	0.250000	0.738556  	0.250000	0.692883  	0.250000	0.692883  	0.250000	0.736809  	0.250000	0.00174715	
0.300000	2.4587    	0.300000	0.759689  	0.300000	0.693235  	0.300000	0.693235  	0.300000	0.758172  	0.300000	0.00151684	
0.350000	2.43012   	0.350000	0.765116  	0.350000	0.688053  	0.350000	0.688053  	0.350000	0.763772  	0.350000	0.00134427	
0.400000	2.3891    	0.400000	0.762745  	0.400000	0.678217  	0.400000	0.678217  	0.400000	0.761535  	0.400000	0.00120967	
0.450000	2.3351    	0.450000	0.753569  	0.450000	0.665369  	0.450000	0.665369  	0.450000	0.752467  	0.450000	0.00110149	
0.500000	2.28261   	0.500000	0.743846  	0.500000	0.652242  	0.500000	0.652242  	0.500000	0.742833  	0.500000	0.00101245	
0.600000	2.09481   	0.600000	0.720012  	0.600000	0.626947  	0.600000	0.626947  	0.600000	0.719138  	0.600000	0.000874145	
0.700000	1.90679   	0.700000	0.690797  	0.700000	0.603798  	0.700000	0.603798  	0.700000	0.690026  	0.700000	0.000771327	
0.800000	1.82371   	0.800000	0.672427  	0.800000	0.582782  	0.800000	0.582782  	0.800000	0.671736  	0.800000	0.000691632	
0.900000	1.73518   	0.900000	0.650054  	0.900000	0.563569  	0.900000	0.563569  	0.900000	0.649426  	0.900000	0.000627894	
1.000000	1.64733   	1.000000	0.625622  	1.000000	0.544418  	1.000000	0.544418  	1.000000	0.625046  	1.000000	0.000575659	
1.250000	1.44582   	1.250000	0.566343  	1.250000	0.503537  	1.250000	0.503537  	1.250000	0.565865  	1.250000	0.00047841	
1.500000	1.25529   	1.500000	0.499408  	1.500000	0.469366  	1.500000	0.469366  	1.500000	0.498997  	1.500000	0.000410851	
1.750000	1.11565   	1.750000	0.452034  	1.750000	0.439518  	1.750000	0.439518  	1.750000	0.451673  	1.750000	0.000360982	
2.000000	1.00768   	2.000000	0.41613   	2.000000	0.413046  	2.000000	0.413046  	2.000000	0.415807  	2.000000	0.000322547	
2.250000	0.922433  	2.250000	0.387474  	2.250000	0.389305  	2.250000	0.389305  	2.250000	0.387182  	2.250000	0.000291953	
2.500000	0.823263  	2.500000	0.363721  	2.500000	0.36799   	2.500000	0.36799   	2.500000	0.363454  	2.500000	0.000266979	
3.000000	0.723372  	3.000000	0.325877  	3.000000	0.331574  	3.000000	0.331574  	3.000000	0.325649  	3.000000	0.000228571	
