*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.5043    	0.001000	0.140227  	0.001000	0.151762  	0.001000	0.151762  	0.001000	0.0729582 	0.001000	0.0672691 	
0.002000	0.59003   	0.002000	0.164989  	0.002000	0.177662  	0.002000	0.177662  	0.002000	0.106817  	0.002000	0.0581718 	
0.005000	0.830651  	0.005000	0.218306  	0.005000	0.230424  	0.005000	0.230424  	0.005000	0.17681   	0.005000	0.0414954 	
0.008000	1.03214   	0.008000	0.260426  	0.008000	0.272984  	0.008000	0.272984  	0.008000	0.227488  	0.008000	0.0329379 	
0.010000	1.15196   	0.010000	0.285462  	0.010000	0.299238  	0.010000	0.299238  	0.010000	0.256289  	0.010000	0.029173  	
0.015000	1.35292   	0.015000	0.352937  	0.015000	0.36108   	0.015000	0.36108   	0.015000	0.329931  	0.015000	0.0230055 	
0.020000	1.51046   	0.020000	0.418921  	0.020000	0.41976   	0.020000	0.41976   	0.020000	0.399711  	0.020000	0.0192102 	
0.025000	1.68179   	0.025000	0.476317  	0.025000	0.476652  	0.025000	0.476652  	0.025000	0.459713  	0.025000	0.0166041 	
0.030000	1.82069   	0.030000	0.528575  	0.030000	0.528734  	0.030000	0.528734  	0.030000	0.513888  	0.030000	0.0146879 	
0.035000	1.9318    	0.035000	0.576007  	0.035000	0.576611  	0.035000	0.576611  	0.035000	0.562796  	0.035000	0.0132113 	
0.040000	2.01703   	0.040000	0.618667  	0.040000	0.620221  	0.040000	0.620221  	0.040000	0.606633  	0.040000	0.0120337 	
0.045000	2.07777   	0.045000	0.656698  	0.045000	0.659569  	0.045000	0.659569  	0.045000	0.645731  	0.045000	0.0109668 	
0.050000	2.11574   	0.050000	0.690699  	0.050000	0.695118  	0.050000	0.695118  	0.050000	0.680529  	0.050000	0.0101709 	
0.055000	2.19994   	0.055000	0.722183  	0.055000	0.727086  	0.055000	0.727086  	0.055000	0.712689  	0.055000	0.0094936 	
0.060000	2.26995   	0.060000	0.75053   	0.060000	0.755847  	0.060000	0.755847  	0.060000	0.741621  	0.060000	0.00890945	
0.070000	2.37194   	0.070000	0.799468  	0.070000	0.805238  	0.070000	0.805238  	0.070000	0.791517  	0.070000	0.00795097	
0.080000	2.48128   	0.080000	0.843104  	0.080000	0.846006  	0.080000	0.846006  	0.080000	0.835909  	0.080000	0.00719533	
0.090000	2.56008   	0.090000	0.880984  	0.090000	0.880292  	0.090000	0.880292  	0.090000	0.874401  	0.090000	0.00658263	
0.100000	2.61825   	0.100000	0.916948  	0.100000	0.909649  	0.100000	0.909649  	0.100000	0.910873  	0.100000	0.00607475	
0.120000	2.65519   	0.120000	0.976157  	0.120000	0.957589  	0.120000	0.957589  	0.120000	0.970878  	0.120000	0.00527914	
0.140000	2.66163   	0.140000	1.02467   	0.140000	0.995126  	0.140000	0.995126  	0.140000	1.01999   	0.140000	0.00468213	
0.160000	2.66186   	0.160000	1.06441   	0.160000	1.02498   	0.160000	1.02498   	0.160000	1.06019   	0.160000	0.00421597	
0.180000	2.65861   	0.180000	1.09638   	0.180000	1.04876   	0.180000	1.04876   	0.180000	1.09254   	0.180000	0.00384093	
0.200000	2.66565   	0.200000	1.12408   	0.200000	1.06756   	0.200000	1.06756   	0.200000	1.12055   	0.200000	0.00353202	
0.250000	2.61111   	0.250000	1.17453   	0.250000	1.09784   	0.250000	1.09784   	0.250000	1.17158   	0.250000	0.00295301	
0.300000	2.60258   	0.300000	1.21396   	0.300000	1.11875   	0.300000	1.11875   	0.300000	1.21141   	0.300000	0.00254758	
0.350000	2.57233   	0.350000	1.22806   	0.350000	1.12721   	0.350000	1.12721   	0.350000	1.22581   	0.350000	0.0022465 	
0.400000	2.52891   	0.400000	1.2259    	0.400000	1.12516   	0.400000	1.12516   	0.400000	1.22389   	0.400000	0.00201333	
