*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.245683  	0.001000	0.0382735 	0.001000	0.0391997 	0.001000	0.0391997 	0.001000	0.0248994 	0.001000	0.0133741 	
0.002000	0.305385  	0.002000	0.0554038 	0.002000	0.0570064 	0.002000	0.0570064 	0.002000	0.0430887 	0.002000	0.012315  	
0.005000	0.465264  	0.005000	0.0939708 	0.005000	0.0971099 	0.005000	0.0971099 	0.005000	0.0844078 	0.005000	0.00956301	
0.008000	0.586852  	0.008000	0.123508  	0.008000	0.127808  	0.008000	0.127808  	0.008000	0.115613  	0.008000	0.00789538	
0.010000	0.654141  	0.010000	0.14029   	0.010000	0.145243  	0.010000	0.145243  	0.010000	0.133177  	0.010000	0.0071132 	
0.015000	0.833761  	0.015000	0.173171  	0.015000	0.18235   	0.015000	0.18235   	0.015000	0.167401  	0.015000	0.00576915	
0.020000	0.984186  	0.020000	0.200381  	0.020000	0.213691  	0.020000	0.213691  	0.020000	0.195478  	0.020000	0.00490313	
0.025000	1.11251   	0.025000	0.223844  	0.025000	0.241571  	0.025000	0.241571  	0.025000	0.219553  	0.025000	0.00429099	
0.030000	1.22254   	0.030000	0.244578  	0.030000	0.259733  	0.030000	0.259733  	0.030000	0.240746  	0.030000	0.00383161	
0.035000	1.31659   	0.035000	0.263192  	0.035000	0.275913  	0.035000	0.275913  	0.035000	0.25972   	0.035000	0.00347212	
0.040000	1.39628   	0.040000	0.280079  	0.040000	0.290544  	0.040000	0.290544  	0.040000	0.276897  	0.040000	0.00318193	
0.045000	1.46288   	0.045000	0.295506  	0.045000	0.30391   	0.045000	0.30391   	0.045000	0.292564  	0.045000	0.002942  	
0.050000	1.51756   	0.050000	0.309666  	0.050000	0.316208  	0.050000	0.316208  	0.050000	0.306926  	0.050000	0.00273982	
0.055000	1.56143   	0.055000	0.322701  	0.055000	0.327578  	0.055000	0.327578  	0.055000	0.320134  	0.055000	0.00256678	
0.060000	1.59561   	0.060000	0.334707  	0.060000	0.338108  	0.060000	0.338108  	0.060000	0.332306  	0.060000	0.00240161	
0.070000	1.63932   	0.070000	0.356047  	0.070000	0.357026  	0.070000	0.357026  	0.070000	0.353891  	0.070000	0.00215587	
