*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.187503  	0.001000	0.0485942 	0.001000	0.0502793 	0.001000	0.0502793 	0.001000	0.0381822 	0.001000	0.010412  	
0.002000	0.220851  	0.002000	0.0606685 	0.002000	0.0629703 	0.002000	0.0629703 	0.002000	0.0521584 	0.002000	0.00851012	
0.005000	0.288088  	0.005000	0.0844521 	0.005000	0.0879284 	0.005000	0.0879284 	0.005000	0.0787766 	0.005000	0.0056755 	
0.008000	0.334849  	0.008000	0.10171   	0.008000	0.106005  	0.008000	0.106005  	0.008000	0.097331  	0.008000	0.00437912	
0.010000	0.360365  	0.010000	0.111445  	0.010000	0.116193  	0.010000	0.116193  	0.010000	0.107612  	0.010000	0.0038328 	
0.015000	0.434404  	0.015000	0.134068  	0.015000	0.137817  	0.015000	0.137817  	0.015000	0.131103  	0.015000	0.00296538	
0.020000	0.495115  	0.020000	0.153154  	0.020000	0.155936  	0.020000	0.155936  	0.020000	0.150707  	0.020000	0.00244723	
0.025000	0.545342  	0.025000	0.169138  	0.025000	0.1718    	0.025000	0.1718    	0.025000	0.16704   	0.025000	0.00209795	
0.030000	0.586614  	0.030000	0.182336  	0.030000	0.184732  	0.030000	0.184732  	0.030000	0.180508  	0.030000	0.00182729	
0.035000	0.619941  	0.035000	0.193099  	0.035000	0.195383  	0.035000	0.195383  	0.035000	0.191463  	0.035000	0.00163609	
0.040000	0.646123  	0.040000	0.201729  	0.040000	0.204011  	0.040000	0.204011  	0.040000	0.200244  	0.040000	0.00148452	
0.045000	0.665876  	0.045000	0.208541  	0.045000	0.21089   	0.045000	0.21089   	0.045000	0.20718   	0.045000	0.00136108	
0.050000	0.679892  	0.050000	0.213838  	0.050000	0.216282  	0.050000	0.216282  	0.050000	0.21258   	0.050000	0.00125839	
0.055000	0.688853  	0.055000	0.217893  	0.055000	0.22043   	0.055000	0.22043   	0.055000	0.216722  	0.055000	0.00117147	
0.060000	0.693429  	0.060000	0.220945  	0.060000	0.223552  	0.060000	0.223552  	0.060000	0.219848  	0.060000	0.00109685	
0.070000	0.691991  	0.070000	0.224808  	0.070000	0.22745   	0.070000	0.22745   	0.070000	0.223833  	0.070000	0.000975078	
0.080000	0.68029   	0.080000	0.226633  	0.080000	0.229163  	0.080000	0.229163  	0.080000	0.225753  	0.080000	0.000879663	
0.090000	0.662205  	0.090000	0.227184  	0.090000	0.229495  	0.090000	0.229495  	0.090000	0.226381  	0.090000	0.000802677	
0.100000	0.640678  	0.100000	0.22693   	0.100000	0.228961  	0.100000	0.228961  	0.100000	0.226191  	0.100000	0.000739117	
0.120000	0.594863  	0.120000	0.225027  	0.120000	0.226458  	0.120000	0.226458  	0.120000	0.224387  	0.120000	0.000640026	
0.140000	0.551897  	0.140000	0.222111  	0.140000	0.223018  	0.140000	0.223018  	0.140000	0.221545  	0.140000	0.000566055	
