*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.177136  	0.001000	0.0285637 	0.001000	0.029493  	0.001000	0.029493  	0.001000	0.0249881 	0.001000	0.00357556	
0.002000	0.208641  	0.002000	0.0373956 	0.002000	0.038665  	0.002000	0.038665  	0.002000	0.0341347 	0.002000	0.00326082	
0.005000	0.27216   	0.005000	0.0540543 	0.005000	0.0559716 	0.005000	0.0559716 	0.005000	0.0515549 	0.005000	0.00249946	
0.008000	0.316336  	0.008000	0.0657489 	0.008000	0.0681177 	0.008000	0.0681177 	0.008000	0.0636977 	0.008000	0.00205127	
0.010000	0.340441  	0.010000	0.0722693 	0.010000	0.0748883 	0.010000	0.0748883 	0.010000	0.070426  	0.010000	0.00184327	
0.015000	0.410388  	0.015000	0.0845973 	0.015000	0.0891547 	0.015000	0.0891547 	0.015000	0.0831087 	0.015000	0.00148863	
0.020000	0.467742  	0.020000	0.0946834 	0.020000	0.101044  	0.020000	0.101044  	0.020000	0.0934216 	0.020000	0.0012618 	
0.025000	0.515192  	0.025000	0.103182  	0.025000	0.111424  	0.025000	0.111424  	0.025000	0.10208   	0.025000	0.0011022 	
0.030000	0.554182  	0.030000	0.110448  	0.030000	0.117339  	0.030000	0.117339  	0.030000	0.109465  	0.030000	0.000982815	
0.035000	0.585667  	0.035000	0.116704  	0.035000	0.122377  	0.035000	0.122377  	0.035000	0.115815  	0.035000	0.000889612	
0.040000	0.610401  	0.040000	0.122107  	0.040000	0.126691  	0.040000	0.126691  	0.040000	0.121293  	0.040000	0.000814518	
0.045000	0.629062  	0.045000	0.126774  	0.045000	0.130394  	0.045000	0.130394  	0.045000	0.126022  	0.045000	0.000752527	
0.050000	0.642303  	0.050000	0.130797  	0.050000	0.13357   	0.050000	0.13357   	0.050000	0.130097  	0.050000	0.000700355	
