*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.176874  	0.001000	0.0422532 	0.001000	0.0439382 	0.001000	0.0439382 	0.001000	0.0381822 	0.001000	0.00407107	
0.002000	0.215007  	0.002000	0.0560067 	0.002000	0.0583084 	0.002000	0.0583084 	0.002000	0.0521584 	0.002000	0.00384828	
0.005000	0.285694  	0.005000	0.081868  	0.005000	0.0853443 	0.005000	0.0853443 	0.005000	0.0787766 	0.005000	0.00309145	
0.008000	0.333338  	0.008000	0.0999216 	0.008000	0.104217  	0.008000	0.104217  	0.008000	0.097331  	0.008000	0.00259062	
0.010000	0.35911   	0.010000	0.109961  	0.010000	0.114709  	0.010000	0.114709  	0.010000	0.107612  	0.010000	0.00234861	
0.015000	0.433568  	0.015000	0.133027  	0.015000	0.136775  	0.015000	0.136775  	0.015000	0.131103  	0.015000	0.001924  	
0.020000	0.494488  	0.020000	0.152352  	0.020000	0.155134  	0.020000	0.155134  	0.020000	0.150707  	0.020000	0.00164519	
0.025000	0.54484   	0.025000	0.168486  	0.025000	0.171148  	0.025000	0.171148  	0.025000	0.16704   	0.025000	0.00144587	
0.030000	0.586196  	0.030000	0.181803  	0.030000	0.1842    	0.030000	0.1842    	0.030000	0.180508  	0.030000	0.00129514	
0.035000	0.619583  	0.035000	0.19264   	0.035000	0.194923  	0.035000	0.194923  	0.035000	0.191463  	0.035000	0.0011765 	
0.040000	0.645809  	0.040000	0.201324  	0.040000	0.203607  	0.040000	0.203607  	0.040000	0.200244  	0.040000	0.00108032	
0.045000	0.665597  	0.045000	0.208181  	0.045000	0.21053   	0.045000	0.21053   	0.045000	0.20718   	0.045000	0.00100051	
0.050000	0.679641  	0.050000	0.213513  	0.050000	0.215957  	0.050000	0.215957  	0.050000	0.21258   	0.050000	0.000933058	
0.055000	0.688625  	0.055000	0.217597  	0.055000	0.220134  	0.055000	0.220134  	0.055000	0.216722  	0.055000	0.00087519	
0.060000	0.69322   	0.060000	0.220673  	0.060000	0.22328   	0.060000	0.22328   	0.060000	0.219848  	0.060000	0.000824915	
0.070000	0.691812  	0.070000	0.224575  	0.070000	0.227216  	0.070000	0.227216  	0.070000	0.223833  	0.070000	0.000741655	
0.080000	0.680133  	0.080000	0.226428  	0.080000	0.228959  	0.080000	0.228959  	0.080000	0.225753  	0.080000	0.000675303	
0.090000	0.662066  	0.090000	0.226997  	0.090000	0.229308  	0.090000	0.229308  	0.090000	0.226381  	0.090000	0.000615296	
0.100000	0.640553  	0.100000	0.226761  	0.100000	0.228793  	0.100000	0.228793  	0.100000	0.226191  	0.100000	0.000570475	
0.120000	0.594759  	0.120000	0.224886  	0.120000	0.226318  	0.120000	0.226318  	0.120000	0.224387  	0.120000	0.00049949	
0.140000	0.551808  	0.140000	0.22199   	0.140000	0.222898  	0.140000	0.222898  	0.140000	0.221545  	0.140000	0.000445596	
0.160000	0.51452   	0.160000	0.218563  	0.160000	0.21907   	0.160000	0.21907   	0.160000	0.21816   	0.160000	0.000403131	
0.180000	0.483014  	0.180000	0.214843  	0.180000	0.215067  	0.180000	0.215067  	0.180000	0.214474  	0.180000	0.000368716	
0.200000	0.456505  	0.200000	0.210967  	0.200000	0.211     	0.200000	0.211     	0.200000	0.210627  	0.200000	0.000340198	
0.250000	0.406162  	0.250000	0.201104  	0.250000	0.200926  	0.250000	0.200926  	0.250000	0.200818  	0.250000	0.000286313	
0.300000	0.370265  	0.300000	0.191521  	0.300000	0.191325  	0.300000	0.191325  	0.300000	0.191272  	0.300000	0.000248232	
0.350000	0.342701  	0.350000	0.182522  	0.350000	0.182383  	0.350000	0.182383  	0.350000	0.182303  	0.350000	0.000219755	
0.400000	0.320349  	0.400000	0.174207  	0.400000	0.174145  	0.400000	0.174145  	0.400000	0.174009  	0.400000	0.00019758	
0.450000	0.301537  	0.450000	0.166576  	0.450000	0.166591  	0.450000	0.166591  	0.450000	0.166396  	0.450000	0.000179777	
0.500000	0.2853    	0.500000	0.159589  	0.500000	0.159674  	0.500000	0.159674  	0.500000	0.159424  	0.500000	0.000165141	
0.600000	0.258346  	0.600000	0.147324  	0.600000	0.147519  	0.600000	0.147519  	0.600000	0.147182  	0.600000	0.000142436	
0.700000	0.23662   	0.700000	0.136965  	0.700000	0.137234  	0.700000	0.137234  	0.700000	0.13684   	0.700000	0.000125581	
0.800000	0.2186    	0.800000	0.128125  	0.800000	0.128442  	0.800000	0.128442  	0.800000	0.128013  	0.800000	0.00011253	
0.900000	0.203353  	0.900000	0.1205    	0.900000	0.120845  	0.900000	0.120845  	0.900000	0.120398  	0.900000	0.000102102	
1.000000	0.190254  	1.000000	0.113856  	1.000000	0.114217  	1.000000	0.114217  	1.000000	0.113763  	1.000000	9.35627e-05	
1.250000	0.164292  	1.250000	0.100454  	1.250000	0.100823  	1.250000	0.100823  	1.250000	0.100376  	1.250000	7.76811e-05	
1.500000	0.14495   	1.500000	0.0902716 	1.500000	0.0906269 	1.500000	0.0906269 	1.500000	0.090205  	1.500000	6.66618e-05	
1.750000	0.129935  	1.750000	0.0822446 	1.750000	0.0825781 	1.750000	0.0825781 	1.750000	0.0821861 	1.750000	5.85356e-05	
2.000000	0.117915  	2.000000	0.0757328 	2.000000	0.0760425 	2.000000	0.0760425 	2.000000	0.0756805 	2.000000	5.22774e-05	
2.250000	0.108058  	2.250000	0.0703294 	2.250000	0.0706155 	2.250000	0.0706155 	2.250000	0.0702821 	2.250000	4.7299e-05	
2.500000	0.0993898 	2.500000	0.0657629 	2.500000	0.0660269 	2.500000	0.0660269 	2.500000	0.0657196 	2.500000	4.32374e-05	
3.000000	0.086785  	3.000000	0.0584413 	3.000000	0.0586662 	3.000000	0.0586662 	3.000000	0.0584043 	3.000000	3.6995e-05	
3.500000	0.0772187 	3.500000	0.0528031 	3.500000	0.0529954 	3.500000	0.0529954 	3.500000	0.0527707 	3.500000	3.24084e-05	
4.000000	0.0696895 	4.000000	0.0483074 	4.000000	0.0484727 	4.000000	0.0484727 	4.000000	0.0482785 	4.000000	2.88868e-05	
4.500000	0.0635969 	4.500000	0.044626  	4.500000	0.0447687 	4.500000	0.0447687 	4.500000	0.0446    	4.500000	2.60922e-05	
5.000000	0.0585574 	5.000000	0.0415475 	5.000000	0.0416712 	5.000000	0.0416712 	5.000000	0.0415237 	5.000000	2.38171e-05	
5.500000	0.0543144 	5.500000	0.038929  	5.500000	0.0390365 	5.500000	0.0390365 	5.500000	0.0389071 	5.500000	2.19268e-05	
6.000000	0.0506892 	6.000000	0.0366703 	6.000000	0.0367639 	6.000000	0.0367639 	6.000000	0.03665   	6.000000	2.03295e-05	
6.500000	0.0475534 	6.500000	0.0346989 	6.500000	0.0347806 	6.500000	0.0347806 	6.500000	0.03468   	6.500000	1.8961e-05	
7.000000	0.0448122 	7.000000	0.0329609 	7.000000	0.0330321 	7.000000	0.0330321 	7.000000	0.0329431 	7.000000	1.77745e-05	
7.500000	0.0423941 	7.500000	0.0314154 	7.500000	0.0314774 	7.500000	0.0314774 	7.500000	0.0313986 	7.500000	1.67354e-05	
8.000000	0.040244  	8.000000	0.0300306 	8.000000	0.0300845 	8.000000	0.0300845 	8.000000	0.0300148 	8.000000	1.58174e-05	
8.500000	0.0383188 	8.500000	0.0287816 	8.500000	0.0288284 	8.500000	0.0288284 	8.500000	0.0287666 	8.500000	1.50001e-05	
9.000000	0.0365843 	9.000000	0.0276485 	9.000000	0.0276889 	9.000000	0.0276889 	9.000000	0.0276342 	9.000000	1.42675e-05	
9.500000	0.035013  	9.500000	0.0266151 	9.500000	0.0266497 	9.500000	0.0266497 	9.500000	0.0266015 	9.500000	1.36068e-05	
10.000000	0.0335824 	10.000000	0.0258213 	10.000000	0.0256976 	10.000000	0.0256976 	10.000000	0.0258083 	10.000000	1.30078e-05	
