*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.869565  	0.001000	0.111577  	0.001000	0.110166  	0.001000	0.110166  	0.001000	0.0821583 	0.001000	0.0294189 	
0.002000	0.970877  	0.002000	0.142983  	0.002000	0.143378  	0.002000	0.143378  	0.002000	0.113798  	0.002000	0.029185  	
0.005000	1.20776   	0.005000	0.200296  	0.005000	0.205799  	0.005000	0.205799  	0.005000	0.175052  	0.005000	0.025244  	
0.008000	1.38832   	0.008000	0.240306  	0.008000	0.250367  	0.008000	0.250367  	0.008000	0.218325  	0.008000	0.0219812 	
0.010000	1.49038   	0.010000	0.262745  	0.010000	0.275621  	0.010000	0.275621  	0.010000	0.242466  	0.010000	0.0202784 	
0.015000	1.74641   	0.015000	0.310482  	0.015000	0.329843  	0.015000	0.329843  	0.015000	0.293369  	0.015000	0.0171131 	
0.020000	1.9517    	0.020000	0.354737  	0.020000	0.381343  	0.020000	0.381343  	0.020000	0.33982   	0.020000	0.0149173 	
0.025000	2.18234   	0.025000	0.398352  	0.025000	0.433319  	0.025000	0.433319  	0.025000	0.38506   	0.025000	0.0132918 	
0.030000	2.37818   	0.030000	0.44133   	0.030000	0.470734  	0.030000	0.470734  	0.030000	0.429299  	0.030000	0.0120318 	
0.035000	2.53936   	0.035000	0.482181  	0.035000	0.506207  	0.035000	0.506207  	0.035000	0.47116   	0.035000	0.0110215 	
0.040000	2.66645   	0.040000	0.520988  	0.040000	0.539895  	0.040000	0.539895  	0.040000	0.510797  	0.040000	0.0101901 	
0.045000	2.7601    	0.045000	0.557803  	0.045000	0.571902  	0.045000	0.571902  	0.045000	0.548311  	0.045000	0.00949202	
0.050000	2.81799   	0.050000	0.592455  	0.050000	0.602303  	0.050000	0.602303  	0.050000	0.583559  	0.050000	0.00889606	
0.055000	2.93743   	0.055000	0.624055  	0.055000	0.63116   	0.055000	0.63116   	0.055000	0.615675  	0.055000	0.00838035	
0.060000	3.03811   	0.060000	0.653892  	0.060000	0.658529  	0.060000	0.658529  	0.060000	0.645963  	0.060000	0.00792897	
0.070000	3.18883   	0.070000	0.708491  	0.070000	0.709006  	0.070000	0.709006  	0.070000	0.701317  	0.070000	0.00717453	
0.080000	3.34965   	0.080000	0.756713  	0.080000	0.754135  	0.080000	0.754135  	0.080000	0.750146  	0.080000	0.00656702	
0.090000	3.46949   	0.090000	0.799056  	0.090000	0.794311  	0.090000	0.794311  	0.090000	0.79299   	0.090000	0.00606575	
0.100000	3.55866   	0.100000	0.83604   	0.100000	0.829931  	0.100000	0.829931  	0.100000	0.830396  	0.100000	0.00564405	
0.120000	3.59064   	0.120000	0.895968  	0.120000	0.889012  	0.120000	0.889012  	0.120000	0.891027  	0.120000	0.0049412 	
0.140000	3.58669   	0.140000	0.940479  	0.140000	0.934378  	0.140000	0.934378  	0.140000	0.936049  	0.140000	0.00443035	
0.160000	3.5918    	0.160000	0.975725  	0.160000	0.968604  	0.160000	0.968604  	0.160000	0.9717    	0.160000	0.00402472	
0.180000	3.61296   	0.180000	1.00917   	0.180000	0.993918  	0.180000	0.993918  	0.180000	1.00547   	0.180000	0.00369389	
