*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - Range straggling - method [0] - LISE	Energy (MeV/u)6	5 - Range straggling - method [1] - Atima	Energy (MeV/u)7	6 - Lateral range - method [0] - LISE	Energy (MeV/u)8	7 - Lateral range - method [1] - Atima	Energy (MeV/u)9	8 - Lateral range - method [2] - PDG	
0.001000	0.141517  	0.001000	0.141517  	0.001000	0.155065  	0.001000	0.155065  	0.001000	0         	0.001000	0         	0.001000	0.000985658	0.001000	0.00145294	0.001000	0.000882619	
0.002000	0.285154  	0.002000	0.283034  	0.002000	0.310129  	0.002000	0.310129  	0.002000	0.0385952 	0.002000	0.0385952 	0.002000	0.00288773	0.002000	0.00411381	0.002000	0.00264518	
0.005000	0.533902  	0.005000	0.528112  	0.005000	0.580715  	0.005000	0.580715  	0.005000	0.0416128 	0.005000	0.0416128 	0.005000	0.00709476	0.005000	0.010005  	0.005000	0.00654174	
0.008000	0.696372  	0.008000	0.688184  	0.008000	0.758191  	0.008000	0.758191  	0.008000	0.0416507 	0.008000	0.0416507 	0.008000	0.0103073 	0.008000	0.0144456 	0.008000	0.00954082	
0.010000	0.784424  	0.010000	0.774937  	0.010000	0.854513  	0.010000	0.854513  	0.010000	0.0417571 	0.010000	0.0417571 	0.010000	0.0122575 	0.010000	0.0170107 	0.010000	0.0113673 	
0.015000	0.964831  	0.015000	0.952682  	0.015000	1.05397   	0.015000	1.05397   	0.015000	0.042195  	0.015000	0.042195  	0.015000	0.0169093 	0.015000	0.0225548 	0.015000	0.0157368 	
0.020000	1.11448   	0.020000	1.10013   	0.020000	1.21811   	0.020000	1.21811   	0.020000	0.0427033 	0.020000	0.0427033 	0.020000	0.0214286 	0.020000	0.0272623 	0.020000	0.0199941 	
0.025000	1.24574   	0.025000	1.22944   	0.025000	1.36055   	0.025000	1.36055   	0.025000	0.0432    	0.025000	0.0432    	0.025000	0.0259583 	0.025000	0.0315731 	0.025000	0.0242708 	
0.030000	1.36366   	0.030000	1.34563   	0.030000	1.48197   	0.030000	1.48197   	0.030000	0.0436021 	0.030000	0.0436021 	0.030000	0.0303675 	0.030000	0.0355367 	0.030000	0.0284642 	
0.035000	1.47158   	0.035000	1.45195   	0.035000	1.58743   	0.035000	1.58743   	0.035000	0.0439222 	0.035000	0.0439222 	0.035000	0.0341419 	0.035000	0.0392111 	0.035000	0.0325886 	
0.040000	1.57186   	0.040000	1.55075   	0.040000	1.68443   	0.040000	1.68443   	0.040000	0.0442123 	0.040000	0.0442123 	0.040000	0.0378202 	0.040000	0.0427548 	0.040000	0.0366163 	
0.045000	1.6662    	0.045000	1.6437    	0.045000	1.77603   	0.045000	1.77603   	0.045000	0.0444885 	0.045000	0.0444885 	0.045000	0.0414476 	0.045000	0.0462538 	0.045000	0.0402503 	
0.050000	1.75584   	0.050000	1.73202   	0.050000	1.8636    	0.050000	1.8636    	0.050000	0.0447559 	0.050000	0.0448066 	0.050000	0.045009  	0.050000	0.0496978 	0.050000	0.0438539 	
0.055000	1.84169   	0.055000	1.81661   	0.055000	1.94792   	0.055000	1.94792   	0.055000	0.0450163 	0.055000	0.0451372 	0.055000	0.0485512 	0.055000	0.0531315 	0.055000	0.0474425 	
0.060000	1.92445   	0.060000	1.89814   	0.060000	2.02952   	0.060000	2.02952   	0.060000	0.0452706 	0.060000	0.0454519 	0.060000	0.0520819 	0.060000	0.0565501 	0.060000	0.0510078 	
0.070000	2.08268   	0.070000	2.05404   	0.070000	2.18608   	0.070000	2.18608   	0.070000	0.0457642 	0.070000	0.046044  	0.070000	0.0591033 	0.070000	0.063375  	0.070000	0.0580905 	
0.080000	2.23363   	0.080000	2.20276   	0.080000	2.33575   	0.080000	2.33575   	0.080000	0.0462428 	0.080000	0.0465993 	0.080000	0.066102  	0.080000	0.0702239 	0.080000	0.0651465 	
0.090000	2.37933   	0.090000	2.34631   	0.090000	2.48028   	0.090000	2.48028   	0.090000	0.0467121 	0.090000	0.0471294 	0.090000	0.0728655 	0.090000	0.076903  	0.090000	0.0719589 	
0.100000	2.52123   	0.100000	2.48611   	0.100000	2.62098   	0.100000	2.62098   	0.100000	0.0471769 	0.100000	0.047643  	0.100000	0.0789331 	0.100000	0.0829303 	0.100000	0.0780683 	
