*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.942978  	0.001000	0.224834  	0.001000	0.224309  	0.001000	0.224309  	0.001000	0.114481  	0.001000	0.110354  	
0.002000	1.04061   	0.002000	0.255234  	0.002000	0.257821  	0.002000	0.257821  	0.002000	0.158568  	0.002000	0.0966659 	
0.005000	1.28411   	0.005000	0.313998  	0.005000	0.324885  	0.005000	0.324885  	0.005000	0.24392   	0.005000	0.0700776 	
0.008000	1.47319   	0.008000	0.364434  	0.008000	0.380437  	0.008000	0.380437  	0.008000	0.308416  	0.008000	0.0560184 	
0.010000	1.5798    	0.010000	0.397402  	0.010000	0.415518  	0.010000	0.415518  	0.010000	0.347639  	0.010000	0.049763  	
0.015000	1.85056   	0.015000	0.487751  	0.015000	0.499556  	0.015000	0.499556  	0.015000	0.448319  	0.015000	0.0394319 	
0.020000	2.06738   	0.020000	0.578901  	0.020000	0.580655  	0.020000	0.580655  	0.020000	0.545877  	0.020000	0.0330247 	
0.025000	2.31122   	0.025000	0.660348  	0.025000	0.660224  	0.025000	0.660224  	0.025000	0.631745  	0.025000	0.0286039 	
0.030000	2.51833   	0.030000	0.736227  	0.030000	0.733859  	0.030000	0.733859  	0.030000	0.710885  	0.030000	0.0253424 	
0.035000	2.68881   	0.035000	0.805988  	0.035000	0.802202  	0.035000	0.802202  	0.035000	0.783165  	0.035000	0.0228227 	
0.040000	2.82322   	0.040000	0.86948   	0.040000	0.865031  	0.040000	0.865031  	0.040000	0.848671  	0.040000	0.0208092 	
0.045000	2.92228   	0.045000	0.925602  	0.045000	0.922385  	0.045000	0.922385  	0.045000	0.906444  	0.045000	0.0191583 	
0.050000	2.98349   	0.050000	0.975539  	0.050000	0.974361  	0.050000	0.974361  	0.050000	0.957927  	0.050000	0.0176121 	
0.055000	3.10986   	0.055000	1.02227   	0.055000	1.0217    	0.055000	1.0217    	0.055000	1.00582   	0.055000	0.0164507 	
0.060000	3.2164    	0.060000	1.06471   	0.060000	1.06469   	0.060000	1.06469   	0.060000	1.04927   	0.060000	0.0154478 	
0.070000	3.37586   	0.070000	1.1389    	0.070000	1.13956   	0.070000	1.13956   	0.070000	1.1251    	0.070000	0.0137997 	
0.080000	3.54604   	0.080000	1.20585   	0.080000	1.20255   	0.080000	1.20255   	0.080000	1.19335   	0.080000	0.0124983 	
0.090000	3.67285   	0.090000	1.2648    	0.090000	1.25653   	0.090000	1.25653   	0.090000	1.25336   	0.090000	0.0114416 	
0.100000	3.76721   	0.100000	1.31762   	0.100000	1.3036    	0.100000	1.3036    	0.100000	1.30706   	0.100000	0.0105648 	
0.120000	3.80102   	0.120000	1.39757   	0.120000	1.3825    	0.120000	1.3825    	0.120000	1.38838   	0.120000	0.00918952	
0.140000	3.7968    	0.140000	1.46223   	0.140000	1.44647   	0.140000	1.44647   	0.140000	1.45407   	0.140000	0.00815611	
0.160000	3.80218   	0.160000	1.5242    	0.160000	1.49923   	0.160000	1.49923   	0.160000	1.51686   	0.160000	0.00734836	
0.180000	3.82456   	0.180000	1.57987   	0.180000	1.54297   	0.180000	1.54297   	0.180000	1.57317   	0.180000	0.0066979 	
0.200000	3.84439   	0.200000	1.62527   	0.200000	1.57919   	0.200000	1.57919   	0.200000	1.61911   	0.200000	0.00616178	
0.250000	3.7974    	0.250000	1.71051   	0.250000	1.64385   	0.250000	1.64385   	0.250000	1.70535   	0.250000	0.0051559 	
0.300000	3.78177   	0.300000	1.77139   	0.300000	1.68126   	0.300000	1.68126   	0.300000	1.76694   	0.300000	0.00445079	
0.350000	3.76003   	0.350000	1.80418   	0.350000	1.71173   	0.350000	1.71173   	0.350000	1.80025   	0.350000	0.00392671	
0.400000	3.75502   	0.400000	1.83074   	0.400000	1.72779   	0.400000	1.72779   	0.400000	1.82722   	0.400000	0.00352058	
0.450000	3.72863   	0.450000	1.83713   	0.450000	1.73125   	0.450000	1.73125   	0.450000	1.83394   	0.450000	0.00319581	
0.500000	3.68135   	0.500000	1.82792   	0.500000	1.72516   	0.500000	1.72516   	0.500000	1.82499   	0.500000	0.0029297 	
0.600000	3.4291    	0.600000	1.78997   	0.600000	1.69441   	0.600000	1.69441   	0.600000	1.78745   	0.600000	0.00251852	
0.700000	3.16491   	0.700000	1.73299   	0.700000	1.65399   	0.700000	1.65399   	0.700000	1.73077   	0.700000	0.00221461	
0.800000	3.01613   	0.800000	1.67901   	0.800000	1.60953   	0.800000	1.60953   	0.800000	1.67703   	0.800000	0.00198013	
0.900000	2.87527   	0.900000	1.62487   	0.900000	1.5639    	0.900000	1.5639    	0.900000	1.62308   	0.900000	0.00179332	
1.000000	2.74366   	1.000000	1.57232   	1.000000	1.51858   	1.000000	1.51858   	1.000000	1.57068   	1.000000	0.00164072	
1.250000	2.43812   	1.250000	1.43782   	1.250000	1.40486   	1.250000	1.40486   	1.250000	1.43646   	1.250000	0.00135787	
1.500000	2.19148   	1.500000	1.32507   	1.500000	1.30603   	1.500000	1.30603   	1.500000	1.3239    	1.500000	0.0011624 	
1.750000	1.99006   	1.750000	1.23035   	1.750000	1.22007   	1.750000	1.22007   	1.750000	1.22933   	1.750000	0.0010187 	
2.000000	1.81292   	2.000000	1.14434   	2.000000	1.1445    	2.000000	1.1445    	2.000000	1.14343   	2.000000	0.0009083 	
2.250000	1.66685   	2.250000	1.07068   	2.250000	1.07762   	2.250000	1.07762   	2.250000	1.06986   	2.250000	0.00082066	
2.500000	1.5132    	2.500000	1.00866   	2.500000	1.01813   	2.500000	1.01813   	2.500000	1.00792   	2.500000	0.000749287	
3.000000	1.33568   	3.000000	0.908846  	3.000000	0.917386  	3.000000	0.917386  	3.000000	0.908206  	3.000000	0.000639827	
3.500000	1.1975    	3.500000	0.830982  	3.500000	0.835565  	3.500000	0.835565  	3.500000	0.830423  	3.500000	0.000559598	
4.000000	1.08676   	4.000000	0.767958  	4.000000	0.768071  	4.000000	0.768071  	4.000000	0.76746   	4.000000	0.000498119	
4.500000	0.99592   	4.500000	0.715652  	4.500000	0.71158   	4.500000	0.71158   	4.500000	0.715203  	4.500000	0.000449413	
5.000000	0.919996  	5.000000	0.671436  	5.000000	0.663657  	5.000000	0.663657  	5.000000	0.671026  	5.000000	0.000409819	
5.500000	0.855541  	5.500000	0.628883  	5.500000	0.622503  	5.500000	0.622503  	5.500000	0.628506  	5.500000	0.000376959	
6.000000	0.800104  	6.000000	0.591865  	6.000000	0.586774  	6.000000	0.586774  	6.000000	0.591515  	6.000000	0.000349226	
6.500000	0.751888  	6.500000	0.559334  	6.500000	0.55545   	6.500000	0.55545   	6.500000	0.559008  	6.500000	0.000325487	
7.000000	0.709549  	7.000000	0.530496  	7.000000	0.527751  	7.000000	0.527751  	7.000000	0.530191  	7.000000	0.000304924	
7.500000	0.672057  	7.500000	0.505152  	7.500000	0.503065  	7.500000	0.503065  	7.500000	0.504865  	7.500000	0.00028693	
8.000000	0.638613  	8.000000	0.482363  	8.000000	0.480913  	8.000000	0.480913  	8.000000	0.482092  	8.000000	0.000271044	
8.500000	0.608585  	8.500000	0.461748  	8.500000	0.460912  	8.500000	0.460912  	8.500000	0.461491  	8.500000	0.00025691	
9.000000	0.581466  	9.000000	0.442998  	9.000000	0.442751  	9.000000	0.442751  	9.000000	0.442754  	9.000000	0.000244248	
9.500000	0.556847  	9.500000	0.425861  	9.500000	0.426179  	9.500000	0.426179  	9.500000	0.425628  	9.500000	0.000232837	
10.000000	0.534392  	10.000000	0.412577  	10.000000	0.410988  	10.000000	0.410988  	10.000000	0.412355  	10.000000	0.000222497	
11.000000	0.494909  	11.000000	0.385884  	11.000000	0.384002  	11.000000	0.384157  	11.000000	0.385679  	11.000000	0.000204468	
12.000000	0.461292  	12.000000	0.362579  	12.000000	0.360691  	12.000000	0.360943  	12.000000	0.362389  	12.000000	0.000189269	
13.000000	0.432306  	13.000000	0.342074  	13.000000	0.340332  	13.000000	0.340643  	13.000000	0.341898  	13.000000	0.000176272	
14.000000	0.407042  	14.000000	0.323903  	14.000000	0.32236   	14.000000	0.322706  	14.000000	0.323738  	14.000000	0.000165024	
15.000000	0.384816  	15.000000	0.307693  	15.000000	0.306354  	15.000000	0.30672   	15.000000	0.307538  	15.000000	0.00015519	
16.000000	0.365102  	16.000000	0.293145  	16.000000	0.291995  	16.000000	0.292364  	16.000000	0.292999  	16.000000	0.000146514	
17.000000	0.347492  	17.000000	0.280017  	17.000000	0.279026  	17.000000	0.279387  	17.000000	0.279879  	17.000000	0.0001388 	
18.000000	0.331659  	18.000000	0.268111  	18.000000	0.26724   	18.000000	0.267589  	18.000000	0.267979  	18.000000	0.000131895	
19.000000	0.317344  	19.000000	0.257263  	19.000000	0.256467  	19.000000	0.256805  	19.000000	0.257137  	19.000000	0.000125675	
20.000000	0.304335  	20.000000	0.247337  	20.000000	0.246571  	20.000000	0.246903  	20.000000	0.247217  	20.000000	0.000120042	
21.000000	0.292457  	21.000000	0.23822   	21.000000	0.237449  	21.000000	0.237772  	21.000000	0.238105  	21.000000	0.000114915	
22.000000	0.281568  	22.000000	0.229817  	22.000000	0.229019  	22.000000	0.22932   	22.000000	0.229706  	22.000000	0.000110228	
23.000000	0.271546  	23.000000	0.222045  	23.000000	0.2212    	23.000000	0.221471  	23.000000	0.221939  	23.000000	0.000105926	
24.000000	0.26229   	24.000000	0.214837  	24.000000	0.213911  	24.000000	0.214157  	24.000000	0.214735  	24.000000	0.000101963	
25.000000	0.253714  	25.000000	0.208131  	25.000000	0.207096  	25.000000	0.207323  	25.000000	0.208033  	25.000000	9.82985e-05	
27.000000	0.238318  	27.000000	0.196031  	27.000000	0.194721  	27.000000	0.194909  	27.000000	0.19594   	27.000000	9.17403e-05	
29.000000	0.224883  	29.000000	0.185409  	29.000000	0.183771  	29.000000	0.183912  	29.000000	0.185323  	29.000000	8.60386e-05	
31.000000	0.21305   	31.000000	0.176006  	31.000000	0.174333  	31.000000	0.174419  	31.000000	0.175925  	31.000000	8.10336e-05	
33.000000	0.202545  	33.000000	0.167622  	33.000000	0.166208  	33.000000	0.166241  	33.000000	0.167545  	33.000000	7.66032e-05	
35.000000	0.193152  	35.000000	0.160098  	35.000000	0.158889  	35.000000	0.1589    	35.000000	0.160025  	35.000000	7.26525e-05	
38.000000	0.180783  	38.000000	0.150153  	38.000000	0.149229  	38.000000	0.14919   	38.000000	0.150085  	38.000000	6.74659e-05	
41.000000	0.170096  	41.000000	0.141527  	41.000000	0.140829  	41.000000	0.140758  	41.000000	0.141464  	41.000000	6.29996e-05	
44.000000	0.160765  	44.000000	0.133972  	44.000000	0.133451  	44.000000	0.133364  	44.000000	0.133913  	44.000000	5.91114e-05	
