*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - Range straggling - method [0] - LISE	Energy (MeV/u)6	5 - Range straggling - method [1] - Atima	Energy (MeV/u)7	6 - Lateral range - method [0] - LISE	Energy (MeV/u)8	7 - Lateral range - method [1] - Atima	Energy (MeV/u)9	8 - Lateral range - method [2] - PDG	
0.001000	0.106626  	0.001000	0.106626  	0.001000	0.116833  	0.001000	0.116833  	0.001000	0         	0.001000	0         	0.001000	0.000635485	0.001000	0.000949999	0.001000	0.000563255	
0.002000	0.214849  	0.002000	0.213252  	0.002000	0.233667  	0.002000	0.233667  	0.002000	0.0335012 	0.002000	0.0335012 	0.002000	0.00186154	0.002000	0.00268911	0.002000	0.00169017	
0.005000	0.402268  	0.005000	0.397906  	0.005000	0.43754   	0.005000	0.43754   	0.005000	0.0361205 	0.005000	0.0361205 	0.005000	0.00457215	0.005000	0.00653647	0.005000	0.00418047	
0.008000	0.524681  	0.008000	0.518512  	0.008000	0.571259  	0.008000	0.571259  	0.008000	0.0361534 	0.008000	0.0361534 	0.008000	0.00664091	0.008000	0.00943371	0.008000	0.00609728	
0.010000	0.591024  	0.010000	0.583876  	0.010000	0.643832  	0.010000	0.643832  	0.010000	0.0362458 	0.010000	0.0362458 	0.010000	0.00789639	0.010000	0.0111823 	0.010000	0.00726454	
0.015000	0.726952  	0.015000	0.717798  	0.015000	0.794111  	0.015000	0.794111  	0.015000	0.0366259 	0.015000	0.0366259 	0.015000	0.0108898 	0.015000	0.0153022 	0.015000	0.0100566 	
0.020000	0.839707  	0.020000	0.828889  	0.020000	0.917786  	0.020000	0.917786  	0.020000	0.0370671 	0.020000	0.0370671 	0.020000	0.0137967 	0.020000	0.0188809 	0.020000	0.0127763 	
0.025000	0.9386    	0.025000	0.926323  	0.025000	1.0251    	0.025000	1.0251    	0.025000	0.0374982 	0.025000	0.0374982 	0.025000	0.0167088 	0.025000	0.0221731 	0.025000	0.0155077 	
0.030000	1.02745   	0.030000	1.01386   	0.030000	1.11659   	0.030000	1.11659   	0.030000	0.0378473 	0.030000	0.0378473 	0.030000	0.019562  	0.030000	0.0251722 	0.030000	0.0181849 	
0.035000	1.10876   	0.035000	1.09397   	0.035000	1.19605   	0.035000	1.19605   	0.035000	0.0381251 	0.035000	0.0381251 	0.035000	0.0223662 	0.035000	0.0279561 	0.035000	0.0208173 	
0.040000	1.18432   	0.040000	1.16841   	0.040000	1.26914   	0.040000	1.26914   	0.040000	0.0383769 	0.040000	0.0383769 	0.040000	0.0252117 	0.040000	0.0306519 	0.040000	0.0234933 	
0.045000	1.2554    	0.045000	1.23845   	0.045000	1.33815   	0.045000	1.33815   	0.045000	0.0386167 	0.045000	0.0386167 	0.045000	0.0281439 	0.045000	0.0333163 	0.045000	0.0262565 	
0.050000	1.32294   	0.050000	1.30499   	0.050000	1.40413   	0.050000	1.40413   	0.050000	0.0388488 	0.050000	0.0388928 	0.050000	0.0311477 	0.050000	0.0359383 	0.050000	0.029092  	
0.055000	1.38762   	0.055000	1.36872   	0.055000	1.46766   	0.055000	1.46766   	0.055000	0.0390748 	0.055000	0.0391797 	0.055000	0.0342434 	0.055000	0.0385513 	0.055000	0.0320196 	
