*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.202734  	0.001000	0.0350052 	0.001000	0.0359629 	0.001000	0.0359629 	0.001000	0.0251287 	0.001000	0.00987646	
0.002000	0.25905   	0.002000	0.052883  	0.002000	0.0545402 	0.002000	0.0545402 	0.002000	0.0434855 	0.002000	0.0093975 	
0.005000	0.400784  	0.005000	0.0928061 	0.005000	0.0960521 	0.005000	0.0960521 	0.005000	0.085185  	0.005000	0.00762103	
0.008000	0.50701   	0.008000	0.123093  	0.008000	0.127539  	0.008000	0.127539  	0.008000	0.116677  	0.008000	0.00641574	
0.010000	0.565611  	0.010000	0.140231  	0.010000	0.145353  	0.010000	0.145353  	0.010000	0.134403  	0.010000	0.00582816	
0.015000	0.721643  	0.015000	0.174626  	0.015000	0.183155  	0.015000	0.183155  	0.015000	0.169836  	0.015000	0.00479048	
0.020000	0.85218   	0.020000	0.203188  	0.020000	0.215001  	0.020000	0.215001  	0.020000	0.199083  	0.020000	0.00410496	
0.025000	0.963484  	0.025000	0.227828  	0.025000	0.24329   	0.025000	0.24329   	0.025000	0.224215  	0.025000	0.00361301	
0.030000	1.0589    	0.030000	0.249567  	0.030000	0.262674  	0.030000	0.262674  	0.030000	0.246327  	0.030000	0.00323998	
0.035000	1.14046   	0.035000	0.26902   	0.035000	0.27991   	0.035000	0.27991   	0.035000	0.266074  	0.035000	0.00294582	
0.040000	1.20955   	0.040000	0.28659   	0.040000	0.295444  	0.040000	0.295444  	0.040000	0.283883  	0.040000	0.00270694	
0.045000	1.26729   	0.045000	0.302556  	0.045000	0.309574  	0.045000	0.309574  	0.045000	0.300048  	0.045000	0.00250849	
0.050000	1.31469   	0.050000	0.317122  	0.050000	0.322508  	0.050000	0.322508  	0.050000	0.314781  	0.050000	0.0023406 	
0.055000	1.35272   	0.055000	0.330442  	0.055000	0.334397  	0.055000	0.334397  	0.055000	0.328245  	0.055000	0.00219643	
0.060000	1.38236   	0.060000	0.342637  	0.060000	0.345356  	0.060000	0.345356  	0.060000	0.340566  	0.060000	0.00207107	
0.070000	1.42026   	0.070000	0.364039  	0.070000	0.364817  	0.070000	0.364817  	0.070000	0.362176  	0.070000	0.00186328	
0.080000	1.43576   	0.080000	0.381958  	0.080000	0.381419  	0.080000	0.381419  	0.080000	0.380261  	0.080000	0.00169751	
0.090000	1.43538   	0.090000	0.396867  	0.090000	0.395524  	0.090000	0.395524  	0.090000	0.39532   	0.090000	0.00154718	
0.100000	1.42446   	0.100000	0.409194  	0.100000	0.407456  	0.100000	0.407456  	0.100000	0.407759  	0.100000	0.0014351 	
0.120000	1.38616   	0.120000	0.427378  	0.120000	0.425699  	0.120000	0.425699  	0.120000	0.426121  	0.120000	0.00125741	
0.140000	1.34092   	0.140000	0.438741  	0.140000	0.437763  	0.140000	0.437763  	0.140000	0.437618  	0.140000	0.00112234	
0.160000	1.29731   	0.160000	0.445014  	0.160000	0.444971  	0.160000	0.444971  	0.160000	0.443999  	0.160000	0.00101583	
0.180000	1.258     	0.180000	0.447529  	0.180000	0.448407  	0.180000	0.448407  	0.180000	0.4466    	0.180000	0.000929439	
0.200000	1.2232    	0.200000	0.447293  	0.200000	0.448953  	0.200000	0.448953  	0.200000	0.446435  	0.200000	0.000857815	
0.250000	1.15137   	0.250000	0.43917   	0.250000	0.441968  	0.250000	0.441968  	0.250000	0.438448  	0.250000	0.000722376	
0.300000	1.0927    	0.300000	0.425506  	0.300000	0.428477  	0.300000	0.428477  	0.300000	0.424879  	0.300000	0.000626577	
0.350000	1.04099   	0.350000	0.409831  	0.350000	0.412454  	0.350000	0.412454  	0.350000	0.409276  	0.350000	0.000554891	
0.400000	0.993618  	0.400000	0.39382   	0.400000	0.395908  	0.400000	0.395908  	0.400000	0.39332   	0.400000	0.00049904	
0.450000	0.949628  	0.450000	0.378258  	0.450000	0.379805  	0.450000	0.379805  	0.450000	0.377804  	0.450000	0.000454184	
0.500000	0.908647  	0.500000	0.363501  	0.500000	0.364578  	0.500000	0.364578  	0.500000	0.363084  	0.500000	0.000417294	
0.600000	0.835006  	0.600000	0.336833  	0.600000	0.337249  	0.600000	0.337249  	0.600000	0.336473  	0.600000	0.000360043	
