*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - Range straggling - method [0] - LISE	Energy (MeV/u)6	5 - Range straggling - method [1] - Atima	Energy (MeV/u)7	6 - Lateral range - method [0] - LISE	Energy (MeV/u)8	7 - Lateral range - method [1] - Atima	Energy (MeV/u)9	8 - Lateral range - method [2] - PDG	
0.001000	0.0867771 	0.001000	0.0867771 	0.001000	0.0989367 	0.001000	0.0989367 	0.001000	0         	0.001000	0         	0.001000	0.000489683	0.001000	0.000740196	0.001000	0.00043252	
0.002000	0.184272  	0.002000	0.173554  	0.002000	0.197873  	0.002000	0.197873  	0.002000	0.0169377 	0.002000	0.0169377 	0.002000	0.00143434	0.002000	0.00209498	0.002000	0.00129888	
0.005000	0.400785  	0.005000	0.366265  	0.005000	0.415898  	0.005000	0.415898  	0.005000	0.0191881 	0.005000	0.0191881 	0.005000	0.00427978	0.005000	0.00610558	0.005000	0.00393589	
0.008000	0.569597  	0.008000	0.516519  	0.008000	0.584241  	0.008000	0.584241  	0.008000	0.0192474 	0.008000	0.0192474 	0.008000	0.00701255	0.008000	0.00987918	0.008000	0.00649874	
0.010000	0.66799   	0.010000	0.604096  	0.010000	0.681729  	0.010000	0.681729  	0.010000	0.0194365 	0.010000	0.0194365 	0.010000	0.00880091	0.010000	0.0123273 	0.010000	0.00818386	
0.015000	0.883233  	0.015000	0.795677  	0.015000	0.893498  	0.015000	0.893498  	0.015000	0.0203174 	0.015000	0.0203174 	0.015000	0.0132028 	0.015000	0.0181441 	0.015000	0.0123477 	
0.020000	1.06937   	0.020000	0.961355  	0.020000	1.07514   	0.020000	1.07514   	0.020000	0.0214245 	0.020000	0.0214245 	0.020000	0.0175262 	0.020000	0.0233351 	0.020000	0.0164524 	
0.025000	1.23591   	0.025000	1.10958   	0.025000	1.23663   	0.025000	1.23663   	0.025000	0.0225409 	0.025000	0.0225409 	0.025000	0.0218025 	0.025000	0.028048  	0.025000	0.0205226 	
0.030000	1.38753   	0.030000	1.24454   	0.030000	1.37609   	0.030000	1.37609   	0.030000	0.0234479 	0.030000	0.0234479 	0.030000	0.0258406 	0.030000	0.0321889 	0.030000	0.0243655 	
0.035000	1.52676   	0.035000	1.36846   	0.035000	1.49784   	0.035000	1.49784   	0.035000	0.0241622 	0.035000	0.0241622 	0.035000	0.0295917 	0.035000	0.0358514 	0.035000	0.027989  	
0.040000	1.65561   	0.040000	1.48314   	0.040000	1.60987   	0.040000	1.60987   	0.040000	0.024797  	0.040000	0.024797  	0.040000	0.0329879 	0.040000	0.0392439 	0.040000	0.0315598 	
0.045000	1.77608   	0.045000	1.59037   	0.045000	1.71541   	0.045000	1.71541   	0.045000	0.0253863 	0.045000	0.0253863 	0.045000	0.036274  	0.045000	0.0424665 	0.045000	0.0349211 	
0.050000	1.88972   	0.050000	1.69152   	0.050000	1.81589   	0.050000	1.81589   	0.050000	0.0259405 	0.050000	0.0258297 	0.050000	0.0394594 	0.050000	0.0455575 	0.050000	0.038114  	
0.055000	1.99773   	0.055000	1.78766   	0.055000	1.91215   	0.055000	1.91215   	0.055000	0.0264639 	0.055000	0.0261834 	0.055000	0.0425666 	0.055000	0.0485615 	0.055000	0.041241  	
0.060000	2.1012    	0.060000	1.87975   	0.060000	2.00476   	0.060000	2.00476   	0.060000	0.0269597 	0.060000	0.0265163 	0.060000	0.0456029 	0.060000	0.0514734 	0.060000	0.0443047 	
0.070000	2.29752   	0.070000	2.05449   	0.070000	2.1809    	0.070000	2.1809    	0.070000	0.0278802 	0.070000	0.0271311 	0.070000	0.0514989 	0.070000	0.0571489 	0.070000	0.0502645 	
0.080000	2.48283   	0.080000	2.21943   	0.080000	2.3473    	0.080000	2.3473    	0.080000	0.0287237 	0.080000	0.0276934 	0.080000	0.057211  	0.080000	0.0626994 	0.080000	0.0560439 	
0.090000	2.65986   	0.090000	2.377     	0.090000	2.50618   	0.090000	2.50618   	0.090000	0.0295088 	0.090000	0.0282175 	0.090000	0.062345  	0.090000	0.0677484 	0.090000	0.0612387 	
0.100000	2.83057   	0.100000	2.52894   	0.100000	2.65923   	0.100000	2.65923   	0.100000	0.0302504 	0.100000	0.028714  	0.100000	0.0667404 	0.100000	0.0720984 	0.100000	0.0656788 	
0.120000	3.15843   	0.120000	2.82075   	0.120000	2.9526    	0.120000	2.9526    	0.120000	0.0316449 	0.120000	0.0296536 	0.120000	0.0744702 	0.120000	0.0798575 	0.120000	0.0734661 	
0.140000	3.47431   	0.140000	3.10191   	0.140000	3.23457   	0.140000	3.23457   	0.140000	0.0329695 	0.140000	0.0305545 	0.140000	0.0812809 	0.140000	0.0868272 	0.140000	0.0803049 	
0.160000	3.78306   	0.160000	3.37672   	0.160000	3.50957   	0.160000	3.50957   	0.160000	0.0342618 	0.160000	0.0314416 	0.160000	0.0874701 	0.160000	0.0932264 	0.160000	0.0865061 	
0.180000	4.08594   	0.180000	3.6463    	0.180000	3.78045   	0.180000	3.78045   	0.180000	0.0355445 	0.180000	0.0323302 	0.180000	0.0931619 	0.180000	0.0991604 	0.180000	0.092214  	
0.200000	4.38364   	0.200000	3.91128   	0.200000	4.0491    	0.200000	4.0491    	0.200000	0.0368321 	0.200000	0.0332294 	0.200000	0.0983921 	0.200000	0.104669  	0.200000	0.097438  	
0.250000	5.11605   	0.250000	4.56317   	0.250000	4.71823   	0.250000	4.71823   	0.250000	0.0401205 	0.250000	0.0355548 	0.250000	0.111182  	0.250000	0.118153  	0.250000	0.110235  	
0.300000	5.84117   	0.300000	5.20858   	0.300000	5.39119   	0.300000	5.39119   	0.300000	0.0435447 	0.300000	0.0380112 	0.300000	0.123273  	0.300000	0.13092   	0.300000	0.122321  	
0.350000	6.56011   	0.350000	5.84848   	0.350000	6.07121   	0.350000	6.07121   	0.350000	0.0470938 	0.350000	0.0405839 	0.350000	0.13442   	0.350000	0.142744  	0.350000	0.133469  	
0.400000	7.27653   	0.400000	6.48614   	0.400000	6.75541   	0.400000	6.75541   	0.400000	0.0506869 	0.400000	0.0432077 	0.400000	0.145304  	0.400000	0.154216  	0.400000	0.14435   	
0.450000	7.98775   	0.450000	7.11918   	0.450000	7.44587   	0.450000	7.44587   	0.450000	0.054334  	0.450000	0.0458836 	0.450000	0.155699  	0.450000	0.165177  	0.450000	0.15474   	
0.500000	8.69841   	0.500000	7.75171   	0.500000	8.14433   	0.500000	8.14433   	0.500000	0.0580471 	0.500000	0.0486156 	0.500000	0.165795  	0.500000	0.175806  	0.500000	0.16484   	
0.600000	10.134    	0.600000	9.02949   	0.600000	9.57196   	0.600000	9.57196   	0.600000	0.0657325 	0.600000	0.0542788 	0.600000	0.184935  	0.600000	0.195955  	0.600000	0.183989  	
0.700000	11.6041   	0.700000	10.338    	0.700000	11.0446   	0.700000	11.0446   	0.700000	0.0737749 	0.700000	0.0601992 	0.700000	0.203083  	0.700000	0.215055  	0.700000	0.202154  	
0.800000	13.125    	0.800000	11.6917   	0.800000	12.5636   	0.800000	12.5636   	0.800000	0.0821562 	0.800000	0.066348  	0.800000	0.220537  	0.800000	0.233404  	0.800000	0.21963   	
0.900000	14.7067   	0.900000	13.0995   	0.900000	14.1298   	0.900000	14.1298   	0.900000	0.090867  	0.900000	0.0727074 	0.900000	0.237309  	0.900000	0.251056  	0.900000	0.236431  	
1.000000	16.351    	1.000000	14.563    	1.000000	15.7439   	1.000000	15.7439   	1.000000	0.0999037 	1.000000	0.0792669 	1.000000	0.253692  	1.000000	0.268274  	1.000000	0.25285   	
1.250000	20.7571   	1.250000	18.4848   	1.250000	20.0019   	1.250000	20.0019   	1.250000	0.124083  	1.250000	0.0966183 	1.250000	0.292302  	1.250000	0.308968  	1.250000	0.291575  	
1.500000	25.6036   	1.500000	22.7984   	1.500000	24.5885   	1.500000	24.5885   	1.500000	0.150619  	1.500000	0.115343  	1.500000	0.328343  	1.500000	0.347102  	1.500000	0.327775  	
1.750000	30.8718   	1.750000	27.4875   	1.750000	29.4973   	1.750000	29.4973   	1.750000	0.179365  	1.750000	0.135297  	1.750000	0.363721  	1.750000	0.384509  	1.750000	0.363356  	
2.000000	36.5662   	2.000000	32.5559   	2.000000	34.7268   	2.000000	34.7268   	2.000000	0.210304  	2.000000	0.156452  	2.000000	0.39923   	2.000000	0.421979  	2.000000	0.399122  	
2.250000	42.725    	2.250000	38.0377   	2.250000	40.2777   	2.250000	40.2777   	2.250000	0.243458  	2.250000	0.17881   	2.250000	0.435279  	2.250000	0.459891  	2.250000	0.435475  	
2.500000	49.3069   	2.500000	43.9009   	2.500000	46.1502   	2.500000	46.1502   	2.500000	0.278854  	2.500000	0.202369  	2.500000	0.47211   	2.500000	0.49849   	2.500000	0.472668  	
3.000000	62.2938   	3.000000	56.6806   	3.000000	58.8585   	3.000000	58.8585   	3.000000	0.356413  	3.000000	0.253062  	3.000000	0.548878  	3.000000	0.578413  	3.000000	0.55031   	
3.500000	76.5021   	3.500000	70.7794   	3.500000	72.8428   	3.500000	72.8428   	3.500000	0.442982  	3.500000	0.308481  	3.500000	0.630692  	3.500000	0.662798  	3.500000	0.633221  	
4.000000	91.9137   	4.000000	86.1371   	4.000000	88.0882   	4.000000	88.0882   	4.000000	0.538457  	4.000000	0.368526  	4.000000	0.718307  	4.000000	0.752259  	4.000000	0.722138  	
4.500000	108.51    	4.500000	102.714   	4.500000	104.575   	4.500000	104.575   	4.500000	0.642656  	4.500000	0.433016  	4.500000	0.812156  	4.500000	0.847178  	4.500000	0.817484  	
5.000000	126.271   	5.000000	120.478   	5.000000	122.28    	5.000000	122.28    	5.000000	0.75536   	5.000000	0.50177   	5.000000	0.912428  	5.000000	0.947689  	5.000000	0.91944   	
5.500000	145.179   	5.500000	139.403   	5.500000	141.182   	5.500000	141.182   	5.500000	0.876343  	5.500000	0.574631  	5.500000	1.01922   	5.500000	1.05387   	5.500000	1.0281    	
6.000000	165.217   	6.000000	159.463   	6.000000	161.258   	6.000000	161.258   	6.000000	1.00539   	6.000000	0.651455  	6.000000	1.13249   	6.000000	1.16567   	6.000000	1.1434    	
6.500000	186.368   	6.500000	180.638   	6.500000	182.487   	6.500000	182.487   	6.500000	1.14229   	6.500000	0.732101  	6.500000	1.25226   	6.500000	1.28307   	6.500000	1.26538   	
7.000000	208.617   	7.000000	202.905   	7.000000	204.847   	7.000000	204.847   	7.000000	1.28686   	7.000000	0.816444  	7.000000	1.37837   	7.000000	1.40592   	7.000000	1.39385   	
7.500000	231.95    	7.500000	226.247   	7.500000	228.322   	7.500000	228.322   	7.500000	1.43893   	7.500000	0.904373  	7.500000	1.51076   	7.500000	1.53412   	7.500000	1.52875   	
8.000000	256.352   	8.000000	250.644   	8.000000	252.891   	8.000000	252.891   	8.000000	1.59834   	8.000000	0.995792  	8.000000	1.64929   	8.000000	1.66754   	8.000000	1.66995   	
8.500000	281.812   	8.500000	276.081   	8.500000	278.539   	8.500000	278.539   	8.500000	1.76494   	8.500000	1.09062   	8.500000	1.79387   	8.500000	1.80608   	8.500000	1.81734   	
9.000000	308.315   	9.000000	302.542   	9.000000	305.251   	9.000000	305.251   	9.000000	1.9386    	9.000000	1.18877   	9.000000	1.94438   	9.000000	1.94964   	9.000000	1.97081   	
9.500000	335.852   	9.500000	330.013   	9.500000	333.011   	9.500000	333.011   	9.500000	2.11921   	9.500000	1.29015   	9.500000	2.10072   	9.500000	2.09808   	9.500000	2.13025   	
10.000000	364.411   	10.000000	358.472   	10.000000	361.806   	10.000000	361.806   	10.000000	2.30666   	10.000000	1.39469   	10.000000	2.26277   	10.000000	2.2513    	10.000000	2.29553   	
11.000000	424.552   	11.000000	417.741   	11.000000	422.356   	11.000000	422.341   	11.000000	2.69992   	11.000000	1.61304   	11.000000	2.59298   	11.000000	2.57104   	11.000000	2.63354   	
12.000000	488.661   	12.000000	480.484   	12.000000	486.715   	12.000000	486.657   	12.000000	3.11624   	12.000000	1.84577   	12.000000	2.94318   	12.000000	2.90747   	12.000000	2.99135   	
13.000000	556.666   	13.000000	546.706   	13.000000	554.798   	13.000000	554.676   	13.000000	3.55532   	13.000000	2.09242   	13.000000	3.31456   	13.000000	3.25453   	13.000000	3.3708    	
14.000000	628.5     	14.000000	616.4     	14.000000	626.532   	14.000000	626.326   	14.000000	4.01682   	14.000000	2.35175   	14.000000	3.70608   	14.000000	3.61245   	14.000000	3.77086   	
15.000000	704.103   	15.000000	689.554   	15.000000	701.847   	15.000000	701.542   	15.000000	4.50044   	15.000000	2.62306   	15.000000	4.11689   	15.000000	3.98652   	15.000000	4.19067   	
16.000000	783.415   	16.000000	766.152   	16.000000	780.682   	16.000000	780.265   	16.000000	5.00582   	16.000000	2.90574   	16.000000	4.54629   	16.000000	4.37601   	16.000000	4.62954   	
17.000000	866.385   	17.000000	846.173   	17.000000	862.977   	17.000000	862.439   	17.000000	5.53261   	17.000000	3.19913   	17.000000	4.99374   	17.000000	4.78036   	17.000000	5.08695   	
18.000000	952.961   	18.000000	929.597   	18.000000	948.679   	18.000000	948.013   	18.000000	6.08047   	18.000000	3.50276   	18.000000	5.4588    	18.000000	5.1991    	18.000000	5.56244   	
19.000000	1043.1    	19.000000	1016.4    	19.000000	1037.74   	19.000000	1036.94   	19.000000	6.64911   	19.000000	3.81631   	19.000000	5.94107   	19.000000	5.63182   	19.000000	6.05563   	
20.000000	1136.74   	20.000000	1106.56   	20.000000	1130.11   	20.000000	1129.17   	20.000000	7.23829   	20.000000	4.13952   	20.000000	6.44023   	20.000000	6.0782    	20.000000	6.56621   	
21.000000	1233.86   	21.000000	1200.06   	21.000000	1225.75   	21.000000	1224.67   	21.000000	7.8478    	21.000000	4.47218   	21.000000	6.95597   	21.000000	6.53795   	21.000000	7.09387   	
22.000000	1334.41   	22.000000	1296.86   	22.000000	1324.64   	22.000000	1323.4    	22.000000	8.47745   	22.000000	4.81411   	22.000000	7.48809   	22.000000	7.01084   	22.000000	7.63843   	
23.000000	1438.35   	23.000000	1396.95   	23.000000	1426.71   	23.000000	1425.33   	23.000000	9.12677   	23.000000	5.16497   	23.000000	8.03624   	23.000000	7.49654   	23.000000	8.19952   	
24.000000	1545.65   	24.000000	1500.31   	24.000000	1531.92   	24.000000	1530.4    	24.000000	9.79535   	24.000000	5.52453   	24.000000	8.60009   	24.000000	7.99478   	24.000000	8.77684   	
25.000000	1656.26   	25.000000	1606.91   	25.000000	1640.25   	25.000000	1638.59   	25.000000	10.483    	25.000000	5.89265   	25.000000	9.17946   	25.000000	8.50534   	25.000000	9.37021   	
27.000000	1887.3    	27.000000	1829.73   	27.000000	1866.1    	27.000000	1864.18   	27.000000	11.9147   	27.000000	6.65395   	27.000000	10.3838   	27.000000	9.56266   	27.000000	10.6042   	
29.000000	2131.23   	29.000000	2065.24   	29.000000	2103.98   	29.000000	2101.83   	29.000000	13.4197   	29.000000	7.44761   	29.000000	11.6476   	29.000000	10.6669   	29.000000	11.8998   	
31.000000	2387.8    	31.000000	2313.26   	31.000000	2353.72   	31.000000	2351.4    	31.000000	14.9976   	31.000000	8.27343   	31.000000	12.9698   	31.000000	11.8171   	31.000000	13.256    	
33.000000	2656.78   	33.000000	2573.64   	33.000000	2615.68   	33.000000	2613.27   	33.000000	16.6569   	33.000000	9.13522   	33.000000	14.3535   	33.000000	13.0157   	33.000000	14.6762   	
35.000000	2937.97   	35.000000	2846.2    	35.000000	2889.77   	35.000000	2887.31   	35.000000	18.3973   	35.000000	10.0329   	35.000000	15.7988   	35.000000	14.2628   	35.000000	16.1605   	
38.000000	3382.2    	38.000000	3277.53   	38.000000	3323.25   	38.000000	3320.83   	38.000000	21.1551   	38.000000	11.4448   	38.000000	18.0805   	38.000000	16.2228   	38.000000	18.5058   	
41.000000	3852.83   	41.000000	3735.4    	41.000000	3782.97   	41.000000	3780.76   	41.000000	24.083    	41.000000	12.931    	41.000000	20.4961   	41.000000	18.2876   	41.000000	20.9909   	
44.000000	4349.28   	44.000000	4219.32   	44.000000	4268.47   	44.000000	4266.56   	44.000000	27.1766   	44.000000	14.4901   	44.000000	23.0427   	44.000000	20.4551   	44.000000	23.6135   	
47.000000	4871      	47.000000	4728.82   	47.000000	4779.23   	47.000000	4777.73   	47.000000	30.4306   	47.000000	16.1183   	47.000000	25.7175   	47.000000	22.7226   	47.000000	26.3708   	
50.000000	5417.49   	50.000000	5263.45   	50.000000	5314.78   	50.000000	5313.79   	50.000000	33.8406   	50.000000	17.8137   	50.000000	28.5174   	50.000000	25.0878   	50.000000	29.2602   	
55.000000	6382.09   	55.000000	6209.15   	55.000000	6261.19   	55.000000	6261.35   	55.000000	39.8579   	55.000000	20.7831   	55.000000	33.4538   	55.000000	29.24     	55.000000	34.3616   	
60.000000	7412.17   	60.000000	7221.54   	60.000000	7273.14   	60.000000	7274.91   	60.000000	46.2762   	60.000000	23.9249   	60.000000	38.7158   	60.000000	33.6455   	60.000000	39.8095   	
65.000000	8505.87   	65.000000	8298.83   	65.000000	8349.15   	65.000000	8352.68   	65.000000	53.0854   	65.000000	27.2325   	65.000000	44.2939   	65.000000	38.2968   	65.000000	45.5955   	
70.000000	9661.48   	70.000000	9439.31   	70.000000	9487.43   	70.000000	9493.02   	70.000000	60.2678   	70.000000	30.7      	70.000000	50.1761   	70.000000	43.1845   	70.000000	51.7087   	
75.000000	10877.4   	75.000000	10641.4   	75.000000	10686.4   	75.000000	10694.4   	75.000000	67.8088   	75.000000	34.3202   	75.000000	56.3517   	75.000000	48.3004   	75.000000	58.1392   	
80.000000	12152.2   	80.000000	11903.5   	80.000000	11944.5   	80.000000	11955.3   	80.000000	75.6958   	80.000000	38.0895   	80.000000	62.811    	80.000000	53.6369   	80.000000	64.8784   	
85.000000	13484.5   	85.000000	13224.2   	85.000000	13260.5   	85.000000	13274.3   	85.000000	83.916    	85.000000	41.9999   	85.000000	69.5444   	85.000000	59.187    	85.000000	71.9176   	
90.000000	14872.9   	90.000000	14602.2   	90.000000	14633.1   	90.000000	14650.2   	90.000000	92.4608   	90.000000	46.0492   	90.000000	76.5444   	90.000000	64.945    	90.000000	79.2502   	
95.000000	16316.3   	95.000000	16036     	95.000000	16061.1   	95.000000	16081.7   	95.000000	101.319   	95.000000	50.2329   	95.000000	83.8024   	95.000000	70.9047   	95.000000	86.8684   	
100.000000	17813.4   	100.000000	17524.4   	100.000000	17543.1   	100.000000	17567.5   	100.000000	110.476   	100.000000	54.5461   	100.000000	91.3095   	100.000000	77.0594   	100.000000	94.7642   	
105.000000	19363.3   	105.000000	19066.2   	105.000000	19077.9   	105.000000	19106.6   	105.000000	119.924   	105.000000	58.985    	105.000000	99.0577   	105.000000	83.4034   	105.000000	102.93    	
