*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.405472  	0.001000	0.0701141 	0.001000	0.081442  	0.001000	0.081442  	0.001000	0.0488743 	0.001000	0.0212398 	
0.002000	0.478865  	0.002000	0.0918826 	0.002000	0.105465  	0.002000	0.105465  	0.002000	0.0715561 	0.002000	0.0203265 	
0.005000	0.678172  	0.005000	0.135067  	0.005000	0.151238  	0.005000	0.151238  	0.005000	0.118444  	0.005000	0.0166224 	
0.008000	0.844163  	0.008000	0.167435  	0.008000	0.184327  	0.008000	0.184327  	0.008000	0.153384  	0.008000	0.0140509 	
0.010000	0.942061  	0.010000	0.1862    	0.010000	0.203162  	0.010000	0.203162  	0.010000	0.173412  	0.010000	0.0127872 	
0.015000	1.10686   	0.015000	0.227278  	0.015000	0.243702  	0.015000	0.243702  	0.015000	0.216736  	0.015000	0.0105421 	
0.020000	1.23596   	0.020000	0.262891  	0.020000	0.281162  	0.020000	0.281162  	0.020000	0.25384   	0.020000	0.00905076	
0.025000	1.3763    	0.025000	0.295925  	0.025000	0.318088  	0.025000	0.318088  	0.025000	0.287948  	0.025000	0.00797681	
0.030000	1.49007   	0.030000	0.327011  	0.030000	0.345378  	0.030000	0.345378  	0.030000	0.31985   	0.030000	0.0071605 	
0.035000	1.58106   	0.035000	0.35526   	0.035000	0.371044  	0.035000	0.371044  	0.035000	0.348744  	0.035000	0.00651561	
0.040000	1.65086   	0.040000	0.381626  	0.040000	0.395213  	0.040000	0.395213  	0.040000	0.375635  	0.040000	0.00599119	
0.045000	1.7006    	0.045000	0.406403  	0.045000	0.417973  	0.045000	0.417973  	0.045000	0.400848  	0.045000	0.00555502	
0.050000	1.7317    	0.050000	0.429647  	0.050000	0.439391  	0.050000	0.439391  	0.050000	0.424461  	0.050000	0.00518565	
0.055000	1.80064   	0.055000	0.451408  	0.055000	0.459524  	0.055000	0.459524  	0.055000	0.44654   	0.055000	0.00486821	
0.060000	1.85797   	0.060000	0.471739  	0.060000	0.478423  	0.060000	0.478423  	0.060000	0.467147  	0.060000	0.00459202	
0.070000	1.94148   	0.070000	0.508326  	0.070000	0.512724  	0.070000	0.512724  	0.070000	0.504192  	0.070000	0.00413379	
0.080000	2.03099   	0.080000	0.539866  	0.080000	0.542685  	0.080000	0.542685  	0.080000	0.536098  	0.080000	0.00376787	
0.090000	2.09551   	0.090000	0.566844  	0.090000	0.568696  	0.090000	0.568696  	0.090000	0.563376  	0.090000	0.00346799	
0.100000	2.14313   	0.100000	0.589719  	0.100000	0.591105  	0.100000	0.591105  	0.100000	0.586531  	0.100000	0.00318757	
0.120000	2.17339   	0.120000	0.632484  	0.120000	0.626717  	0.120000	0.626717  	0.120000	0.629689  	0.120000	0.00279466	
0.140000	2.17867   	0.140000	0.664008  	0.140000	0.652162  	0.140000	0.652162  	0.140000	0.661512  	0.140000	0.00249569	
0.160000	2.17886   	0.160000	0.688389  	0.160000	0.669711  	0.160000	0.669711  	0.160000	0.686129  	0.160000	0.00225973	
0.180000	2.17621   	0.180000	0.7043    	0.180000	0.68122   	0.180000	0.68122   	0.180000	0.702232  	0.180000	0.00206823	
0.200000	2.18198   	0.200000	0.717654  	0.200000	0.688155  	0.200000	0.688155  	0.200000	0.715744  	0.200000	0.00190938	
0.250000	2.13734   	0.250000	0.73497   	0.250000	0.69234   	0.250000	0.69234   	0.250000	0.733361  	0.250000	0.00160878	
0.300000	2.13037   	0.300000	0.754389  	0.300000	0.690415  	0.300000	0.690415  	0.300000	0.752993  	0.300000	0.00139599	
0.350000	2.10561   	0.350000	0.758856  	0.350000	0.683835  	0.350000	0.683835  	0.350000	0.757619  	0.350000	0.00123667	
0.400000	2.07007   	0.400000	0.755796  	0.400000	0.673134  	0.400000	0.673134  	0.400000	0.754683  	0.400000	0.00111249	
0.450000	2.02329   	0.450000	0.746     	0.450000	0.659694  	0.450000	0.659694  	0.450000	0.744987  	0.450000	0.00101271	
0.500000	1.97781   	0.500000	0.735576  	0.500000	0.646065  	0.500000	0.646065  	0.500000	0.734646  	0.500000	0.00093063	
0.600000	1.81509   	0.600000	0.710097  	0.600000	0.619739  	0.600000	0.619739  	0.600000	0.709294  	0.600000	0.000803196	
