*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - Range straggling - method [0] - LISE	Energy (MeV/u)6	5 - Range straggling - method [1] - Atima	Energy (MeV/u)7	6 - Lateral range - method [0] - LISE	Energy (MeV/u)8	7 - Lateral range - method [1] - Atima	Energy (MeV/u)9	8 - Lateral range - method [2] - PDG	
0.001000	0.0675604 	0.001000	0.0675604 	0.001000	0.0770272 	0.001000	0.0770272 	0.001000	0         	0.001000	0         	0.001000	0.000332185	0.001000	0.000508415	0.001000	0.000290517	
0.002000	0.143465  	0.002000	0.135121  	0.002000	0.154054  	0.002000	0.154054  	0.002000	0.0149451 	0.002000	0.0149451 	0.002000	0.000972936	0.002000	0.00143876	0.002000	0.000873524	
0.005000	0.312032  	0.005000	0.285156  	0.005000	0.323798  	0.005000	0.323798  	0.005000	0.0169307 	0.005000	0.0169307 	0.005000	0.00290245	0.005000	0.00419156	0.005000	0.00264869	
0.008000	0.44346   	0.008000	0.402136  	0.008000	0.454861  	0.008000	0.454861  	0.008000	0.0169831 	0.008000	0.0169831 	0.008000	0.00475496	0.008000	0.0067802 	0.008000	0.00437457	
0.010000	0.520065  	0.010000	0.47032   	0.010000	0.530761  	0.010000	0.530761  	0.010000	0.0171499 	0.010000	0.0171499 	0.010000	0.00596698	0.010000	0.00845893	0.010000	0.00550944	
0.015000	0.687642  	0.015000	0.619475  	0.015000	0.695634  	0.015000	0.695634  	0.015000	0.0179271 	0.015000	0.0179271 	0.015000	0.00894942	0.015000	0.0125595 	0.015000	0.0083135 	
0.020000	0.832562  	0.020000	0.748464  	0.020000	0.837048  	0.020000	0.837048  	0.020000	0.018904  	0.020000	0.018904  	0.020000	0.0118775 	0.020000	0.0164679 	0.020000	0.0110774 	
0.025000	0.962219  	0.025000	0.863867  	0.025000	0.962783  	0.025000	0.962783  	0.025000	0.0198891 	0.025000	0.0198891 	0.025000	0.0147727 	0.025000	0.0200519 	0.025000	0.0138176 	
0.030000	1.08026   	0.030000	0.968936  	0.030000	1.07136   	0.030000	1.07136   	0.030000	0.0206894 	0.030000	0.0206894 	0.030000	0.0175055 	0.030000	0.0232365 	0.030000	0.0164037 	
0.035000	1.18866   	0.035000	1.06542   	0.035000	1.16614   	0.035000	1.16614   	0.035000	0.0213197 	0.035000	0.0213197 	0.035000	0.0200825 	0.035000	0.0260793 	0.035000	0.0188415 	
0.040000	1.28898   	0.040000	1.1547    	0.040000	1.25337   	0.040000	1.25337   	0.040000	0.0218798 	0.040000	0.0218798 	0.040000	0.0226182 	0.040000	0.02873   	0.040000	0.0212433 	
0.045000	1.38277   	0.045000	1.23818   	0.045000	1.33553   	0.045000	1.33553   	0.045000	0.0223997 	0.045000	0.0223997 	0.045000	0.02516   	0.045000	0.031258  	0.045000	0.0236546 	
0.050000	1.47124   	0.050000	1.31693   	0.050000	1.41376   	0.050000	1.41376   	0.050000	0.0228887 	0.050000	0.022791  	0.050000	0.0277188 	0.050000	0.0336905 	0.050000	0.0260855 	
0.055000	1.55534   	0.055000	1.39178   	0.055000	1.4887    	0.055000	1.4887    	0.055000	0.0233506 	0.055000	0.0231031 	0.055000	0.0302618 	0.055000	0.036051  	0.055000	0.0285461 	
0.060000	1.63589   	0.060000	1.46348   	0.060000	1.56081   	0.060000	1.56081   	0.060000	0.0237881 	0.060000	0.0233968 	0.060000	0.0325704 	0.060000	0.0383499 	0.060000	0.0310381 	
0.070000	1.78874   	0.070000	1.59952   	0.070000	1.69794   	0.070000	1.69794   	0.070000	0.0246002 	0.070000	0.0239393 	0.070000	0.037123  	0.070000	0.0428081 	0.070000	0.0358864 	
0.080000	1.93301   	0.080000	1.72794   	0.080000	1.82749   	0.080000	1.82749   	0.080000	0.0253445 	0.080000	0.0244354 	0.080000	0.0415727 	0.080000	0.0471315 	0.080000	0.040338  	
0.090000	2.07084   	0.090000	1.85061   	0.090000	1.95119   	0.090000	1.95119   	0.090000	0.0260373 	0.090000	0.0248978 	0.090000	0.0458808 	0.090000	0.0513318 	0.090000	0.0446757 	
0.100000	2.20374   	0.100000	1.96891   	0.100000	2.07034   	0.100000	2.07034   	0.100000	0.0266916 	0.100000	0.0253359 	0.100000	0.0500027 	0.100000	0.0553802 	0.100000	0.0488346 	
0.120000	2.459     	0.120000	2.1961    	0.120000	2.29875   	0.120000	2.29875   	0.120000	0.027922  	0.120000	0.026165  	0.120000	0.0573517 	0.120000	0.0626489 	0.120000	0.0562557 	
0.140000	2.70493   	0.140000	2.415     	0.140000	2.51828   	0.140000	2.51828   	0.140000	0.0290908 	0.140000	0.0269599 	0.140000	0.0634489 	0.140000	0.068749  	0.140000	0.0624095 	
0.160000	2.94531   	0.160000	2.62895   	0.160000	2.73238   	0.160000	2.73238   	0.160000	0.030231  	0.160000	0.0277427 	0.160000	0.0688127 	0.160000	0.0741826 	0.160000	0.0678044 	
0.180000	3.18111   	0.180000	2.83883   	0.180000	2.94327   	0.180000	2.94327   	0.180000	0.0313629 	0.180000	0.0285267 	0.180000	0.0736412 	0.180000	0.0791486 	0.180000	0.0726496 	
0.200000	3.41289   	0.200000	3.04513   	0.200000	3.15243   	0.200000	3.15243   	0.200000	0.032499  	0.200000	0.0293201 	0.200000	0.0780442 	0.200000	0.0837328 	0.200000	0.0770615 	
0.250000	3.9831    	0.250000	3.55266   	0.250000	3.67338   	0.250000	3.67338   	0.250000	0.0354005 	0.250000	0.031372  	0.250000	0.0886021 	0.250000	0.0948327 	0.250000	0.0876389 	
0.300000	4.54765   	0.300000	4.05514   	0.300000	4.19732   	0.300000	4.19732   	0.300000	0.0384219 	0.300000	0.0335394 	0.300000	0.0984694 	0.300000	0.105287  	0.300000	0.0975048 	
0.350000	5.10738   	0.350000	4.55334   	0.350000	4.72674   	0.350000	4.72674   	0.350000	0.0415534 	0.350000	0.0358094 	0.350000	0.107548  	0.350000	0.114993  	0.350000	0.106578  	
0.400000	5.66515   	0.400000	5.04979   	0.400000	5.25943   	0.400000	5.25943   	0.400000	0.0447238 	0.400000	0.0381245 	0.400000	0.116373  	0.400000	0.124418  	0.400000	0.1154    	
0.450000	6.21887   	0.450000	5.54264   	0.450000	5.79699   	0.450000	5.79699   	0.450000	0.0479419 	0.450000	0.0404856 	0.450000	0.124788  	0.450000	0.133409  	0.450000	0.123809  	
0.500000	6.77215   	0.500000	6.0351    	0.500000	6.34077   	0.500000	6.34077   	0.500000	0.0512182 	0.500000	0.0428962 	0.500000	0.132961  	0.500000	0.142131  	0.500000	0.131979  	
0.600000	7.88984   	0.600000	7.02992   	0.600000	7.45226   	0.600000	7.45226   	0.600000	0.0579994 	0.600000	0.0478932 	0.600000	0.148471  	0.600000	0.158703  	0.600000	0.147482  	
0.700000	9.03442   	0.700000	8.04867   	0.700000	8.59877   	0.700000	8.59877   	0.700000	0.0650957 	0.700000	0.053117  	0.700000	0.163205  	0.700000	0.174435  	0.700000	0.162216  	
0.800000	10.2185   	0.800000	9.10257   	0.800000	9.78137   	0.800000	9.78137   	0.800000	0.072491  	0.800000	0.0585425 	0.800000	0.177397  	0.800000	0.189588  	0.800000	0.176413  	
0.900000	11.4499   	0.900000	10.1987   	0.900000	11.0007   	0.900000	11.0007   	0.900000	0.080177  	0.900000	0.0641538 	0.900000	0.191077  	0.900000	0.204197  	0.900000	0.190107  	
1.000000	12.73     	1.000000	11.338    	1.000000	12.2574   	1.000000	12.2574   	1.000000	0.0881505 	1.000000	0.0699416 	1.000000	0.204468  	1.000000	0.218491  	1.000000	0.203518  	
1.250000	16.1605   	1.250000	14.3913   	1.250000	15.5725   	1.250000	15.5725   	1.250000	0.109485  	1.250000	0.0852517 	1.250000	0.236253  	1.250000	0.252512  	1.250000	0.235377  	
1.500000	19.9337   	1.500000	17.7497   	1.500000	19.1434   	1.500000	19.1434   	1.500000	0.1329    	1.500000	0.101773  	1.500000	0.266265  	1.500000	0.28475   	1.500000	0.265501  	
1.750000	24.0352   	1.750000	21.4004   	1.750000	22.9651   	1.750000	22.9651   	1.750000	0.158264  	1.750000	0.11938   	1.750000	0.295963  	1.750000	0.316627  	1.750000	0.295356  	
2.000000	28.4686   	2.000000	25.3464   	2.000000	27.0366   	2.000000	27.0366   	2.000000	0.185563  	2.000000	0.138047  	2.000000	0.325974  	2.000000	0.348745  	2.000000	0.325569  	
2.250000	33.2636   	2.250000	29.6143   	2.250000	31.3582   	2.250000	31.3582   	2.250000	0.214817  	2.250000	0.157774  	2.250000	0.356604  	2.250000	0.381408  	2.250000	0.356449  	
2.500000	38.388    	2.500000	34.1791   	2.500000	35.9303   	2.500000	35.9303   	2.500000	0.246048  	2.500000	0.178561  	2.500000	0.388056  	2.500000	0.414808  	2.500000	0.388197  	
3.000000	48.4989   	3.000000	44.1287   	3.000000	45.8243   	3.000000	45.8243   	3.000000	0.314483  	3.000000	0.223291  	3.000000	0.454003  	3.000000	0.484342  	3.000000	0.454879  	
