*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.0222365 	0.001000	0.0341182 	0.001000	0.0414811 	0.001000	0.0414811 	0.001000	0.0202377 	0.001000	0.0138805 	
0.002000	0.0284135 	0.002000	0.0422781 	0.002000	0.0511817 	0.002000	0.0511817 	0.002000	0.0326763 	0.002000	0.00960178	
0.005000	0.0439593 	0.005000	0.0637699 	0.005000	0.0731769 	0.005000	0.0731769 	0.005000	0.058406  	0.005000	0.00536391	
0.008000	0.0556105 	0.008000	0.0801937 	0.008000	0.0884181 	0.008000	0.0884181 	0.008000	0.0763253 	0.008000	0.00386839	
0.010000	0.062038  	0.010000	0.0892558 	0.010000	0.0964188 	0.010000	0.0964188 	0.010000	0.0859807 	0.010000	0.0032751 	
0.015000	0.0791522 	0.015000	0.108776  	0.015000	0.112221  	0.015000	0.112221  	0.015000	0.106352  	0.015000	0.0024236 	
0.020000	0.0934699 	0.020000	0.12472   	0.020000	0.12451   	0.020000	0.12451   	0.020000	0.122775  	0.020000	0.00194552	
0.025000	0.105678  	0.025000	0.138337  	0.025000	0.134847  	0.025000	0.134847  	0.025000	0.136701  	0.025000	0.00163573	
0.030000	0.116144  	0.030000	0.150273  	0.030000	0.14471   	0.030000	0.14471   	0.030000	0.148855  	0.030000	0.00141711	
0.035000	0.125089  	0.035000	0.160895  	0.035000	0.153384  	0.035000	0.153384  	0.035000	0.159641  	0.035000	0.00125381	
0.040000	0.132667  	0.040000	0.170431  	0.040000	0.161114  	0.040000	0.161114  	0.040000	0.169304  	0.040000	0.00112675	
0.045000	0.139     	0.045000	0.179027  	0.045000	0.16806   	0.045000	0.16806   	0.045000	0.178002  	0.045000	0.00102481	
0.050000	0.144199  	0.050000	0.186781  	0.050000	0.174332  	0.050000	0.174332  	0.050000	0.18584   	0.050000	0.000941054	
0.055000	0.148371  	0.055000	0.193766  	0.055000	0.180009  	0.055000	0.180009  	0.055000	0.192895  	0.055000	0.000870902	
0.060000	0.151621  	0.060000	0.200036  	0.060000	0.185153  	0.060000	0.185153  	0.060000	0.199225  	0.060000	0.000811214	
0.070000	0.155779  	0.070000	0.210608  	0.070000	0.194017  	0.070000	0.194017  	0.070000	0.209893  	0.070000	0.000714895	
0.080000	0.157479  	0.080000	0.218804  	0.080000	0.201211  	0.080000	0.201211  	0.080000	0.218164  	0.080000	0.000640365	
0.090000	0.157437  	0.090000	0.224903  	0.090000	0.206949  	0.090000	0.206949  	0.090000	0.224322  	0.090000	0.000580843	
0.100000	0.15624   	0.100000	0.229173  	0.100000	0.211407  	0.100000	0.211407  	0.100000	0.228641  	0.100000	0.000532121	
0.120000	0.152039  	0.120000	0.233263  	0.120000	0.217087  	0.120000	0.217087  	0.120000	0.232806  	0.120000	0.000456935	
0.140000	0.147077  	0.140000	0.232979  	0.140000	0.219324  	0.140000	0.219324  	0.140000	0.232578  	0.140000	0.000401443	
0.160000	0.142293  	0.160000	0.229856  	0.160000	0.219001  	0.160000	0.219001  	0.160000	0.229498  	0.160000	0.000358679	
0.180000	0.137981  	0.180000	0.225019  	0.180000	0.216838  	0.180000	0.216838  	0.180000	0.224695  	0.180000	0.00032464	
0.200000	0.134164  	0.200000	0.219239  	0.200000	0.213399  	0.200000	0.213399  	0.200000	0.218942  	0.200000	0.000296857	
0.250000	0.126286  	0.250000	0.203523  	0.250000	0.201795  	0.250000	0.201795  	0.250000	0.203278  	0.250000	0.000245417	
0.300000	0.119851  	0.300000	0.188475  	0.300000	0.188831  	0.300000	0.188831  	0.300000	0.188265  	0.300000	0.000209915	
0.350000	0.114179  	0.350000	0.175086  	0.350000	0.176311  	0.350000	0.176311  	0.350000	0.174903  	0.350000	0.000183841	
0.400000	0.108983  	0.400000	0.163412  	0.400000	0.164883  	0.400000	0.164883  	0.400000	0.163248  	0.400000	0.000163827	
0.450000	0.104158  	0.450000	0.153255  	0.450000	0.154685  	0.450000	0.154685  	0.450000	0.153107  	0.450000	0.00014795	
0.500000	0.0996634 	0.500000	0.144377  	0.500000	0.145657  	0.500000	0.145657  	0.500000	0.144242  	0.500000	0.000135027	
0.600000	0.0915862 	0.600000	0.129644  	0.600000	0.130579  	0.600000	0.130579  	0.600000	0.129529  	0.600000	0.000115223	
0.700000	0.0846125 	0.700000	0.117919  	0.700000	0.118598  	0.700000	0.118598  	0.700000	0.117819  	0.700000	0.00010072	
0.800000	0.0785917 	0.800000	0.108352  	0.800000	0.108879  	0.800000	0.108879  	0.800000	0.108263  	0.800000	8.96128e-05	
0.900000	0.0733728 	0.900000	0.100381  	0.900000	0.100833  	0.900000	0.100833  	0.900000	0.1003    	0.900000	8.08187e-05	
1.000000	0.0688205 	1.000000	0.0936198 	1.000000	0.0940482 	1.000000	0.0940482 	1.000000	0.0935462 	1.000000	7.36731e-05	
1.250000	0.0596599 	1.250000	0.0804262 	1.250000	0.0809042 	1.250000	0.0809042 	1.250000	0.0803657 	1.250000	6.05248e-05	
1.500000	0.0527429 	1.500000	0.0707289 	1.500000	0.0713065 	1.500000	0.0713065 	1.500000	0.0706774 	1.500000	5.15174e-05	
