*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - Range straggling - method [0] - LISE	Energy (MeV/u)6	5 - Range straggling - method [1] - Atima	Energy (MeV/u)7	6 - Lateral range - method [0] - LISE	Energy (MeV/u)8	7 - Lateral range - method [1] - Atima	Energy (MeV/u)9	8 - Lateral range - method [2] - PDG	
0.450000	11.5372   	0.450000	11.3701   	0.450000	11.5379   	0.450000	11.5379   	0.450000	0.0904904 	0.450000	0.088245  	0.450000	0.267493  	0.450000	0.27823   	0.450000	0.266556  	
0.500000	12.8401   	0.500000	12.6537   	0.500000	12.8087   	0.500000	12.8087   	0.500000	0.0979692 	0.500000	0.0945248 	0.500000	0.283887  	0.500000	0.29563   	0.500000	0.282938  	
0.600000	15.6118   	0.600000	15.3846   	0.600000	15.5104   	0.600000	15.5104   	0.600000	0.114975  	0.600000	0.108515  	0.600000	0.315329  	0.600000	0.329151  	0.600000	0.314365  	
0.700000	18.6008   	0.700000	18.3295   	0.700000	18.4226   	0.700000	18.4226   	0.700000	0.134499  	0.700000	0.124225  	0.700000	0.34599   	0.700000	0.361963  	0.700000	0.345036  	
0.800000	21.8011   	0.800000	21.4825   	0.800000	21.5401   	0.800000	21.5401   	0.800000	0.156302  	0.800000	0.141446  	0.800000	0.376597  	0.800000	0.394731  	0.800000	0.375694  	
0.900000	25.2063   	0.900000	24.8375   	0.900000	24.8574   	0.900000	24.8574   	0.900000	0.180178  	0.900000	0.160001  	0.900000	0.407201  	0.900000	0.427522  	0.900000	0.406372  	
1.000000	28.8103   	1.000000	28.3883   	1.000000	28.3691   	1.000000	28.3691   	1.000000	0.205964  	1.000000	0.179748  	1.000000	0.438387  	1.000000	0.460869  	1.000000	0.437667  	
1.250000	38.6555   	1.250000	38.0883   	1.250000	37.9674   	1.250000	37.9674   	1.250000	0.278005  	1.250000	0.233673  	1.250000	0.518102  	1.250000	0.545821  	1.250000	0.517818  	
1.500000	49.6404   	1.500000	48.9111   	1.500000	48.6866   	1.500000	48.6866   	1.500000	0.359906  	1.500000	0.29331   	1.500000	0.601864  	1.500000	0.634363  	1.500000	0.602232  	
1.750000	61.7134   	1.750000	60.8059   	1.750000	60.4798   	1.750000	60.4798   	1.750000	0.450935  	1.750000	0.358048  	1.750000	0.692124  	1.750000	0.728665  	1.750000	0.693351  	
