*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.771895  	0.001000	0.123862  	0.001000	0.121934  	0.001000	0.121934  	0.001000	0.0834002 	0.001000	0.0404621 	
0.002000	0.851817  	0.002000	0.1539    	0.002000	0.153599  	0.002000	0.153599  	0.002000	0.115518  	0.002000	0.0383813 	
0.005000	1.05113   	0.005000	0.208686  	0.005000	0.213162  	0.005000	0.213162  	0.005000	0.177698  	0.005000	0.0309875 	
0.008000	1.20591   	0.008000	0.247656  	0.008000	0.256465  	0.008000	0.256465  	0.008000	0.221625  	0.008000	0.0260303 	
0.010000	1.29318   	0.010000	0.269755  	0.010000	0.281257  	0.010000	0.281257  	0.010000	0.246131  	0.010000	0.0236238 	
0.015000	1.51481   	0.015000	0.317191  	0.015000	0.334922  	0.015000	0.334922  	0.015000	0.297804  	0.015000	0.0193869 	
0.020000	1.6923    	0.020000	0.362442  	0.020000	0.386469  	0.020000	0.386469  	0.020000	0.345846  	0.020000	0.0165961 	
0.025000	1.8919    	0.025000	0.407646  	0.025000	0.438635  	0.025000	0.438635  	0.025000	0.39305   	0.025000	0.0145968 	
0.030000	2.06143   	0.030000	0.452164  	0.030000	0.477915  	0.030000	0.477915  	0.030000	0.439081  	0.030000	0.0130828 	
0.035000	2.20098   	0.035000	0.494427  	0.035000	0.515124  	0.035000	0.515124  	0.035000	0.482537  	0.035000	0.01189   	
0.040000	2.31101   	0.040000	0.534476  	0.040000	0.550389  	0.040000	0.550389  	0.040000	0.523554  	0.040000	0.0109221 	
0.045000	2.39209   	0.045000	0.572341  	0.045000	0.583799  	0.045000	0.583799  	0.045000	0.562222  	0.045000	0.0101185 	
0.050000	2.4422    	0.050000	0.607817  	0.050000	0.615424  	0.050000	0.615424  	0.050000	0.598378  	0.050000	0.0094389 	
0.055000	2.54564   	0.055000	0.640032  	0.055000	0.645328  	0.055000	0.645328  	0.055000	0.631177  	0.055000	0.0088556 	
0.060000	2.63285   	0.060000	0.670291  	0.060000	0.673568  	0.060000	0.673568  	0.060000	0.661942  	0.060000	0.00834864	
0.070000	2.76338   	0.070000	0.725197  	0.070000	0.72529   	0.070000	0.72529   	0.070000	0.717688  	0.070000	0.00750863	
0.080000	2.90269   	0.080000	0.773104  	0.080000	0.771061  	0.080000	0.771061  	0.080000	0.766265  	0.080000	0.00683884	
0.090000	3.00649   	0.090000	0.814577  	0.090000	0.811303  	0.090000	0.811303  	0.090000	0.808345  	0.090000	0.00623224	
0.100000	3.08373   	0.100000	0.850382  	0.100000	0.846621  	0.100000	0.846621  	0.100000	0.844602  	0.100000	0.00577959	
0.120000	3.1114    	0.120000	0.907297  	0.120000	0.904164  	0.120000	0.904164  	0.120000	0.902234  	0.120000	0.00506228	
0.140000	3.10795   	0.140000	0.948421  	0.140000	0.947157  	0.140000	0.947157  	0.140000	0.943903  	0.140000	0.00451735	
0.160000	3.11235   	0.160000	0.980452  	0.160000	0.978662  	0.160000	0.978662  	0.160000	0.976364  	0.160000	0.00408779	
0.180000	3.13067   	0.180000	1.01099   	0.180000	1.00122   	0.180000	1.00122   	0.180000	1.00725   	0.180000	0.00373952	
0.200000	3.14691   	0.200000	1.03242   	0.200000	1.01687   	0.200000	1.01687   	0.200000	1.02897   	0.200000	0.00345085	
0.250000	3.10845   	0.250000	1.0672    	0.250000	1.0355    	0.250000	1.0355    	0.250000	1.0643    	0.250000	0.00290518	
0.300000	3.09565   	0.300000	1.08817   	0.300000	1.03682   	0.300000	1.03682   	0.300000	1.08565   	0.300000	0.00251937	
0.350000	3.07785   	0.350000	1.09842   	0.350000	1.03597   	0.350000	1.03597   	0.350000	1.09618   	0.350000	0.00223076	
0.400000	3.07375   	0.400000	1.10867   	0.400000	1.03124   	0.400000	1.03124   	0.400000	1.10666   	0.400000	0.00200595	
