*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	1.08158   	0.001000	0.177368  	0.001000	0.156576  	0.001000	0.156576  	0.001000	0.117631  	0.001000	0.059737  	
0.002000	1.19354   	0.002000	0.22001   	0.002000	0.194029  	0.002000	0.194029  	0.002000	0.162932  	0.002000	0.0570784 	
0.005000	1.46719   	0.005000	0.297203  	0.005000	0.263108  	0.005000	0.263108  	0.005000	0.250633  	0.005000	0.0465703 	
0.008000	1.67989   	0.008000	0.351911  	0.008000	0.313222  	0.008000	0.313222  	0.008000	0.31259   	0.008000	0.0393217 	
0.010000	1.80084   	0.010000	0.382921  	0.010000	0.341996  	0.010000	0.341996  	0.010000	0.347154  	0.010000	0.0357673 	
0.015000	2.10382   	0.015000	0.449498  	0.015000	0.404515  	0.015000	0.404515  	0.015000	0.420035  	0.015000	0.0294632 	
0.020000	2.34351   	0.020000	0.512504  	0.020000	0.46759   	0.020000	0.46759   	0.020000	0.487223  	0.020000	0.0252818 	
0.025000	2.60621   	0.025000	0.574414  	0.025000	0.533539  	0.025000	0.533539  	0.025000	0.55214   	0.025000	0.0222736 	
0.030000	2.82727   	0.030000	0.632837  	0.030000	0.584415  	0.030000	0.584415  	0.030000	0.612848  	0.030000	0.0199887 	
0.035000	2.98425   	0.035000	0.688023  	0.035000	0.633019  	0.035000	0.633019  	0.035000	0.669839  	0.035000	0.0181844 	
0.040000	3.10083   	0.040000	0.733457  	0.040000	0.67942   	0.040000	0.67942   	0.040000	0.716739  	0.040000	0.0167178 	
0.045000	3.18205   	0.045000	0.77566   	0.045000	0.723672  	0.045000	0.723672  	0.045000	0.760162  	0.045000	0.0154983 	
0.050000	3.23068   	0.050000	0.815407  	0.050000	0.765817  	0.050000	0.765817  	0.050000	0.800941  	0.050000	0.014466  	
0.055000	3.35161   	0.055000	0.85282   	0.055000	0.805902  	0.055000	0.805902  	0.055000	0.839241  	0.055000	0.0135789 	
0.060000	3.45255   	0.060000	0.888007  	0.060000	0.843973  	0.060000	0.843973  	0.060000	0.8752    	0.060000	0.0128073 	
0.070000	3.60123   	0.070000	0.9521    	0.070000	0.914285  	0.070000	0.914285  	0.070000	0.940572  	0.070000	0.0115273 	
0.080000	3.76624   	0.080000	1.00845   	0.080000	0.977214  	0.080000	0.977214  	0.080000	0.997941  	0.080000	0.0105055 	
0.090000	3.88935   	0.090000	1.0577    	0.090000	1.03318   	0.090000	1.03318   	0.090000	1.04812   	0.090000	0.00957709	
0.100000	3.98172   	0.100000	1.10077   	0.100000	1.08292   	0.100000	1.08292   	0.100000	1.09188   	0.100000	0.00888588	
0.120000	4.01375   	0.120000	1.17077   	0.120000	1.16558   	0.120000	1.16558   	0.120000	1.16298   	0.120000	0.00778922	
0.140000	4.03586   	0.140000	1.23056   	0.140000	1.22932   	0.140000	1.22932   	0.140000	1.2236    	0.140000	0.00695499	
0.160000	4.04532   	0.160000	1.27603   	0.160000	1.27789   	0.160000	1.27789   	0.160000	1.26973   	0.160000	0.00629672	
0.180000	4.05535   	0.180000	1.30958   	0.180000	1.31447   	0.180000	1.31447   	0.180000	1.30381   	0.180000	0.0057626 	
0.200000	4.07036   	0.200000	1.33414   	0.200000	1.34165   	0.200000	1.34165   	0.200000	1.32882   	0.200000	0.00531959	
0.250000	4.02233   	0.250000	1.37756   	0.250000	1.38107   	0.250000	1.38107   	0.250000	1.37308   	0.250000	0.00448145	
0.300000	4.00666   	0.300000	1.40353   	0.300000	1.39546   	0.300000	1.39546   	0.300000	1.39965   	0.300000	0.00388827	
0.350000	3.99556   	0.350000	1.4191    	0.350000	1.39714   	0.350000	1.39714   	0.350000	1.41566   	0.350000	0.00344421	
0.400000	4.01506   	0.400000	1.43851   	0.400000	1.40346   	0.400000	1.40346   	0.400000	1.43541   	0.400000	0.00309812	
0.450000	4.02317   	0.450000	1.4538    	0.450000	1.40149   	0.450000	1.40149   	0.450000	1.45098   	0.450000	0.00282009	
0.500000	4.01809   	0.500000	1.46246   	0.500000	1.39435   	0.500000	1.39435   	0.500000	1.45986   	0.500000	0.00259139	
