*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.483462  	0.001000	0.0738684 	0.001000	0.0854074 	0.001000	0.0854074 	0.001000	0.0481275 	0.001000	0.0257409 	
0.002000	0.561332  	0.002000	0.094673  	0.002000	0.108591  	0.002000	0.108591  	0.002000	0.0704627 	0.002000	0.0242103 	
0.005000	0.786409  	0.005000	0.135996  	0.005000	0.152779  	0.005000	0.152779  	0.005000	0.116634  	0.005000	0.0193613 	
0.008000	0.976147  	0.008000	0.16725   	0.008000	0.18497   	0.008000	0.18497   	0.008000	0.15104   	0.008000	0.0162094 	
0.010000	1.08913   	0.010000	0.185456  	0.010000	0.203373  	0.010000	0.203373  	0.010000	0.170763  	0.010000	0.0146929 	
0.015000	1.27869   	0.015000	0.225462  	0.015000	0.243123  	0.015000	0.243123  	0.015000	0.213424  	0.015000	0.0120375 	
0.020000	1.42738   	0.020000	0.25971   	0.020000	0.279892  	0.020000	0.279892  	0.020000	0.249414  	0.020000	0.0102958 	
0.025000	1.58915   	0.025000	0.291164  	0.025000	0.316246  	0.025000	0.316246  	0.025000	0.282113  	0.025000	0.00905093	
0.030000	1.72032   	0.030000	0.320848  	0.030000	0.341878  	0.030000	0.341878  	0.030000	0.312739  	0.030000	0.0081094 	
0.035000	1.82524   	0.035000	0.347913  	0.035000	0.366075  	0.035000	0.366075  	0.035000	0.340545  	0.035000	0.00736828	
0.040000	1.90573   	0.040000	0.373266  	0.040000	0.388953  	0.040000	0.388953  	0.040000	0.366499  	0.040000	0.00676726	
0.045000	1.96309   	0.045000	0.397209  	0.045000	0.410589  	0.045000	0.410589  	0.045000	0.39094   	0.045000	0.00626849	
0.050000	1.99894   	0.050000	0.419789  	0.050000	0.431043  	0.050000	0.431043  	0.050000	0.413942  	0.050000	0.00584687	
0.055000	2.07847   	0.055000	0.44105   	0.055000	0.450362  	0.055000	0.450362  	0.055000	0.435565  	0.055000	0.00548507	
0.060000	2.1446    	0.060000	0.461032  	0.060000	0.468591  	0.060000	0.468591  	0.060000	0.455861  	0.060000	0.00517068	
0.070000	2.24093   	0.070000	0.497302  	0.070000	0.50191   	0.070000	0.50191   	0.070000	0.492681  	0.070000	0.00462068	
0.080000	2.3442    	0.080000	0.529021  	0.080000	0.531383  	0.080000	0.531383  	0.080000	0.524812  	0.080000	0.00420907	
0.090000	2.41864   	0.090000	0.556538  	0.090000	0.557288  	0.090000	0.557288  	0.090000	0.552666  	0.090000	0.00387182	
0.100000	2.47358   	0.100000	0.580249  	0.100000	0.579934  	0.100000	0.579934  	0.100000	0.576659  	0.100000	0.00358983	
0.120000	2.50847   	0.120000	0.624985  	0.120000	0.616628  	0.120000	0.616628  	0.120000	0.621851  	0.120000	0.00313347	
0.140000	2.51454   	0.140000	0.658794  	0.140000	0.643719  	0.140000	0.643719  	0.140000	0.655998  	0.140000	0.00279613	
0.160000	2.51474   	0.160000	0.68542   	0.160000	0.663142  	0.160000	0.663142  	0.160000	0.682889  	0.160000	0.00253022	
0.180000	2.51167   	0.180000	0.703345  	0.180000	0.676533  	0.180000	0.676533  	0.180000	0.701031  	0.180000	0.00231463	
0.200000	2.51832   	0.200000	0.718391  	0.200000	0.685229  	0.200000	0.685229  	0.200000	0.716255  	0.200000	0.00213594	
0.250000	2.46678   	0.250000	0.738607  	0.250000	0.692934  	0.250000	0.692934  	0.250000	0.736809  	0.250000	0.00179817	
0.300000	2.45873   	0.300000	0.759731  	0.300000	0.693278  	0.300000	0.693278  	0.300000	0.758172  	0.300000	0.00155935	
0.350000	2.43014   	0.350000	0.765153  	0.350000	0.688089  	0.350000	0.688089  	0.350000	0.763772  	0.350000	0.00138071	
0.400000	2.38912   	0.400000	0.762777  	0.400000	0.678248  	0.400000	0.678248  	0.400000	0.761535  	0.400000	0.00124156	
0.450000	2.33512   	0.450000	0.753597  	0.450000	0.665397  	0.450000	0.665397  	0.450000	0.752467  	0.450000	0.00112983	
0.500000	2.28263   	0.500000	0.743871  	0.500000	0.652268  	0.500000	0.652268  	0.500000	0.742833  	0.500000	0.00103796	
0.600000	2.09483   	0.600000	0.720033  	0.600000	0.626968  	0.600000	0.626968  	0.600000	0.719138  	0.600000	0.000895403	
