*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.467956  	0.001000	0.0677192 	0.001000	0.0792581 	0.001000	0.0792581 	0.001000	0.0481275 	0.001000	0.0195917 	
0.002000	0.552659  	0.002000	0.0895246 	0.002000	0.103443  	0.002000	0.103443  	0.002000	0.0704627 	0.002000	0.0190619 	
0.005000	0.782679  	0.005000	0.132647  	0.005000	0.14943   	0.005000	0.14943   	0.005000	0.116634  	0.005000	0.0160128 	
0.008000	0.974249  	0.008000	0.164776  	0.008000	0.182497  	0.008000	0.182497  	0.008000	0.15104   	0.008000	0.0137359 	
0.010000	1.08723   	0.010000	0.183349  	0.010000	0.201267  	0.010000	0.201267  	0.010000	0.170763  	0.010000	0.0125863 	
0.015000	1.27743   	0.015000	0.223924  	0.015000	0.241586  	0.015000	0.241586  	0.015000	0.213424  	0.015000	0.0105004 	
0.020000	1.42643   	0.020000	0.2585    	0.020000	0.278682  	0.020000	0.278682  	0.020000	0.249414  	0.020000	0.00908555	
0.025000	1.58839   	0.025000	0.290166  	0.025000	0.315247  	0.025000	0.315247  	0.025000	0.282113  	0.025000	0.00805285	
0.030000	1.71969   	0.030000	0.319999  	0.030000	0.341029  	0.030000	0.341029  	0.030000	0.312739  	0.030000	0.0072602 	
0.035000	1.8247    	0.035000	0.347174  	0.035000	0.365336  	0.035000	0.365336  	0.035000	0.340545  	0.035000	0.00662933	
0.040000	1.90526   	0.040000	0.372612  	0.040000	0.388299  	0.040000	0.388299  	0.040000	0.366499  	0.040000	0.00611324	
0.045000	1.96266   	0.045000	0.396622  	0.045000	0.410003  	0.045000	0.410003  	0.045000	0.39094   	0.045000	0.00568191	
0.050000	1.99856   	0.050000	0.419257  	0.050000	0.430511  	0.050000	0.430511  	0.050000	0.413942  	0.050000	0.00531514	
0.055000	2.07812   	0.055000	0.440564  	0.055000	0.449876  	0.055000	0.449876  	0.055000	0.435565  	0.055000	0.00499882	
0.060000	2.14428   	0.060000	0.460584  	0.060000	0.468143  	0.060000	0.468143  	0.060000	0.455861  	0.060000	0.00472276	
0.070000	2.24066   	0.070000	0.496944  	0.070000	0.501553  	0.070000	0.501553  	0.070000	0.492681  	0.070000	0.00426301	
0.080000	2.34397   	0.080000	0.528706  	0.080000	0.531068  	0.080000	0.531068  	0.080000	0.524812  	0.080000	0.0038943 	
0.090000	2.41842   	0.090000	0.556258  	0.090000	0.557007  	0.090000	0.557007  	0.090000	0.552666  	0.090000	0.00359106	
0.100000	2.47339   	0.100000	0.579975  	0.100000	0.57966   	0.100000	0.57966   	0.100000	0.576659  	0.100000	0.00331616	
0.120000	2.50831   	0.120000	0.624766  	0.120000	0.616409  	0.120000	0.616409  	0.120000	0.621851  	0.120000	0.00291483	
0.140000	2.5144    	0.140000	0.658606  	0.140000	0.643531  	0.140000	0.643531  	0.140000	0.655998  	0.140000	0.0026084 	
0.160000	2.51463   	0.160000	0.685248  	0.160000	0.66297   	0.160000	0.66297   	0.160000	0.682889  	0.160000	0.00235835	
0.180000	2.51157   	0.180000	0.703193  	0.180000	0.67638   	0.180000	0.67638   	0.180000	0.701031  	0.180000	0.00216186	
0.200000	2.51822   	0.200000	0.718253  	0.200000	0.685091  	0.200000	0.685091  	0.200000	0.716255  	0.200000	0.00199845	
0.250000	2.46671   	0.250000	0.738497  	0.250000	0.692824  	0.250000	0.692824  	0.250000	0.736809  	0.250000	0.00168817	
0.300000	2.45866   	0.300000	0.75964   	0.300000	0.693186  	0.300000	0.693186  	0.300000	0.758172  	0.300000	0.00146769	
0.350000	2.43009   	0.350000	0.765074  	0.350000	0.688011  	0.350000	0.688011  	0.350000	0.763772  	0.350000	0.00130214	
0.400000	2.38907   	0.400000	0.762708  	0.400000	0.67818   	0.400000	0.67818   	0.400000	0.761535  	0.400000	0.00117281	
0.450000	2.33508   	0.450000	0.753536  	0.450000	0.665336  	0.450000	0.665336  	0.450000	0.752467  	0.450000	0.00106872	
0.500000	2.28259   	0.500000	0.743816  	0.500000	0.652213  	0.500000	0.652213  	0.500000	0.742833  	0.500000	0.000982957	
0.600000	2.09479   	0.600000	0.719987  	0.600000	0.626922  	0.600000	0.626922  	0.600000	0.719138  	0.600000	0.000849571	
0.700000	1.90678   	0.700000	0.690776  	0.700000	0.603777  	0.700000	0.603777  	0.700000	0.690026  	0.700000	0.000750263	
0.800000	1.82369   	0.800000	0.672409  	0.800000	0.582764  	0.800000	0.582764  	0.800000	0.671736  	0.800000	0.000673201	
0.900000	1.73517   	0.900000	0.650038  	0.900000	0.563553  	0.900000	0.563553  	0.900000	0.649426  	0.900000	0.000611511	
1.000000	1.64732   	1.000000	0.625607  	1.000000	0.544403  	1.000000	0.544403  	1.000000	0.625046  	1.000000	0.000560914	
1.250000	1.44581   	1.250000	0.566332  	1.250000	0.503525  	1.250000	0.503525  	1.250000	0.565865  	1.250000	0.000466614	
1.500000	1.25528   	1.500000	0.499398  	1.500000	0.469357  	1.500000	0.469357  	1.500000	0.498997  	1.500000	0.000401021	
1.750000	1.11565   	1.750000	0.452025  	1.750000	0.43951   	1.750000	0.43951   	1.750000	0.451673  	1.750000	0.000352556	
2.000000	1.00767   	2.000000	0.416122  	2.000000	0.413039  	2.000000	0.413039  	2.000000	0.415807  	2.000000	0.000315175	
2.250000	0.922428  	2.250000	0.387468  	2.250000	0.389298  	2.250000	0.389298  	2.250000	0.387182  	2.250000	0.0002854 	
2.500000	0.823263  	2.500000	0.363715  	2.500000	0.367984  	2.500000	0.367984  	2.500000	0.363454  	2.500000	0.000261081	
3.000000	0.723372  	3.000000	0.325872  	3.000000	0.331569  	3.000000	0.331569  	3.000000	0.325649  	3.000000	0.000223656	
3.500000	0.646395  	3.500000	0.296479  	3.500000	0.301897  	3.500000	0.301897  	3.500000	0.296283  	3.500000	0.000196117	
4.000000	0.585157  	4.000000	0.272713  	4.000000	0.27745   	4.000000	0.27745   	4.000000	0.272538  	4.000000	0.000174946	
4.500000	0.535211  	4.500000	0.253014  	4.500000	0.257056  	4.500000	0.257056  	4.500000	0.252856  	4.500000	0.00015813	
5.000000	0.493651  	5.000000	0.236392  	5.000000	0.239829  	5.000000	0.239829  	5.000000	0.236248  	5.000000	0.000144428	
5.500000	0.458496  	5.500000	0.222166  	5.500000	0.2251    	5.500000	0.2251    	5.500000	0.222033  	5.500000	0.000133034	
6.000000	0.42835   	6.000000	0.209842  	6.000000	0.212365  	6.000000	0.212365  	6.000000	0.209718  	6.000000	0.000123401	
6.500000	0.402195  	6.500000	0.199053  	6.500000	0.201242  	6.500000	0.201242  	6.500000	0.198938  	6.500000	0.000115142	
7.000000	0.379276  	7.000000	0.189522  	7.000000	0.191437  	7.000000	0.191437  	7.000000	0.189414  	7.000000	0.000107978	
7.500000	0.359017  	7.500000	0.181033  	7.500000	0.182721  	7.500000	0.182721  	7.500000	0.180931  	7.500000	0.000101701	
8.000000	0.340973  	8.000000	0.173416  	8.000000	0.174916  	8.000000	0.174916  	8.000000	0.17332   	8.000000	9.61527e-05	
8.500000	0.324794  	8.500000	0.166539  	8.500000	0.16788   	8.500000	0.16788   	8.500000	0.166447  	8.500000	9.12112e-05	
9.000000	0.310199  	9.000000	0.160292  	9.000000	0.161498  	9.000000	0.161498  	9.000000	0.160205  	9.000000	8.67801e-05	
9.500000	0.296964  	9.500000	0.154589  	9.500000	0.15568   	9.500000	0.15568   	9.500000	0.154507  	9.500000	8.27828e-05	
10.000000	0.284903  	10.000000	0.150428  	10.000000	0.150348  	10.000000	0.150348  	10.000000	0.150348  	10.000000	7.91575e-05	
11.000000	0.26372   	11.000000	0.142289  	11.000000	0.141188  	11.000000	0.141226  	11.000000	0.142217  	11.000000	7.28294e-05	
12.000000	0.245707  	12.000000	0.134938  	12.000000	0.133248  	12.000000	0.133309  	12.000000	0.134871  	12.000000	6.74866e-05	
13.000000	0.230193  	13.000000	0.128297  	13.000000	0.12628   	13.000000	0.126356  	13.000000	0.128234  	13.000000	6.29121e-05	
14.000000	0.216683  	14.000000	0.122285  	14.000000	0.120108  	14.000000	0.12019   	14.000000	0.122226  	14.000000	5.89487e-05	
15.000000	0.204806  	15.000000	0.116827  	15.000000	0.114596  	15.000000	0.114677  	15.000000	0.116772  	15.000000	5.54795e-05	
16.000000	0.194278  	16.000000	0.111857  	16.000000	0.109635  	16.000000	0.109715  	16.000000	0.111805  	16.000000	5.24161e-05	
17.000000	0.184878  	17.000000	0.107316  	17.000000	0.105141  	17.000000	0.105219  	17.000000	0.107266  	17.000000	4.969e-05 	
18.000000	0.176431  	18.000000	0.103153  	18.000000	0.101052  	18.000000	0.101125  	18.000000	0.103105  	18.000000	4.72476e-05	
19.000000	0.168797  	19.000000	0.0993233 	19.000000	0.0973122 	19.000000	0.0973791 	19.000000	0.0992782 	19.000000	4.50459e-05	
20.000000	0.161861  	20.000000	0.0957905 	20.000000	0.0938633 	20.000000	0.0939276 	20.000000	0.0957474 	20.000000	4.30506e-05	
21.000000	0.155531  	21.000000	0.0925216 	21.000000	0.0906874 	21.000000	0.0907495 	21.000000	0.0924804 	21.000000	4.12333e-05	
22.000000	0.149729  	22.000000	0.0894886 	22.000000	0.0877514 	22.000000	0.0878058 	22.000000	0.0894491 	22.000000	3.95709e-05	
23.000000	0.14439   	23.000000	0.0866671 	23.000000	0.0850266 	23.000000	0.08507   	23.000000	0.0866291 	23.000000	3.8044e-05	
24.000000	0.139461  	24.000000	0.0840358 	24.000000	0.0824843 	24.000000	0.0825196 	24.000000	0.0839992 	24.000000	3.66365e-05	
25.000000	0.134894  	25.000000	0.0815762 	25.000000	0.0801046 	25.000000	0.0801354 	25.000000	0.0815409 	25.000000	3.53346e-05	
27.000000	0.126698  	27.000000	0.0771092 	27.000000	0.0757797 	27.000000	0.075801  	27.000000	0.0770762 	27.000000	3.30027e-05	
29.000000	0.119547  	29.000000	0.073158  	29.000000	0.0719491 	29.000000	0.0719583 	29.000000	0.073127  	29.000000	3.09735e-05	
31.000000	0.113251  	31.000000	0.0696378 	31.000000	0.0685391 	31.000000	0.0685365 	31.000000	0.0696086 	31.000000	2.91908e-05	
33.000000	0.107662  	33.000000	0.0664815 	33.000000	0.0654924 	33.000000	0.0654791 	33.000000	0.0664539 	33.000000	2.76114e-05	
35.000000	0.102665  	35.000000	0.0636352 	35.000000	0.0627543 	35.000000	0.0627319 	35.000000	0.063609  	35.000000	2.6202e-05	
38.000000	0.0960862 	38.000000	0.0598531 	38.000000	0.05912   	38.000000	0.0590862 	38.000000	0.0598287 	38.000000	2.43502e-05	
41.000000	0.0904032 	41.000000	0.0565551 	41.000000	0.0559519 	41.000000	0.0559087 	41.000000	0.0565323 	41.000000	2.27542e-05	
44.000000	0.0854416 	44.000000	0.0536532 	44.000000	0.0531621 	44.000000	0.0531115 	44.000000	0.0536318 	44.000000	2.13635e-05	
47.000000	0.0810697 	47.000000	0.0510793 	47.000000	0.0506866 	47.000000	0.0506283 	47.000000	0.0510592 	47.000000	2.01405e-05	
50.000000	0.0771864 	50.000000	0.0487805 	50.000000	0.048465  	50.000000	0.0484073 	50.000000	0.0487614 	50.000000	1.9056e-05	
55.000000	0.0715927 	55.000000	0.045449  	55.000000	0.0452427 	55.000000	0.045182  	55.000000	0.0454316 	55.000000	1.74972e-05	
60.000000	0.0668696 	60.000000	0.0426189 	60.000000	0.0424992 	60.000000	0.0424339 	60.000000	0.0426027 	60.000000	1.61844e-05	
65.000000	0.062825  	65.000000	0.0401838 	65.000000	0.0401257 	65.000000	0.0400621 	65.000000	0.0401688 	65.000000	1.50628e-05	
70.000000	0.0593198 	70.000000	0.0380657 	70.000000	0.0380625 	70.000000	0.0379928 	70.000000	0.0380516 	70.000000	1.40929e-05	
75.000000	0.0562508 	75.000000	0.0362059 	75.000000	0.0362366 	75.000000	0.0361704 	75.000000	0.0361926 	75.000000	1.32456e-05	
80.000000	0.0535397 	80.000000	0.0345593 	80.000000	0.0346214 	80.000000	0.0345524 	80.000000	0.0345468 	80.000000	1.24985e-05	
85.000000	0.051126  	85.000000	0.033091  	85.000000	0.0331713 	85.000000	0.0331057 	85.000000	0.0330792 	85.000000	1.18348e-05	
90.000000	0.0489624 	90.000000	0.0317732 	90.000000	0.0318721 	90.000000	0.031804  	90.000000	0.031762  	90.000000	1.12409e-05	
95.000000	0.047011  	95.000000	0.0305837 	95.000000	0.0306911 	95.000000	0.0306262 	95.000000	0.030573  	95.000000	1.07063e-05	
100.000000	0.0452414 	100.000000	0.0295045 	100.000000	0.0296224 	100.000000	0.0295552 	100.000000	0.0294943 	100.000000	1.02224e-05	
105.000000	0.0436288 	105.000000	0.0285208 	105.000000	0.0286413 	105.000000	0.028577  	105.000000	0.028511  	105.000000	9.78213e-06	
110.000000	0.0421526 	110.000000	0.0276203 	110.000000	0.0277454 	110.000000	0.0276797 	110.000000	0.0276109 	110.000000	9.37985e-06	
115.000000	0.0407959 	115.000000	0.0267928 	115.000000	0.026918  	115.000000	0.0268537 	115.000000	0.0267838 	115.000000	9.01076e-06	
120.000000	0.0395443 	120.000000	0.0260297 	120.000000	0.0261543 	120.000000	0.0260907 	120.000000	0.0260211 	120.000000	8.67084e-06	
125.000000	0.0383858 	125.000000	0.0253238 	125.000000	0.0254485 	125.000000	0.0253837 	125.000000	0.0253154 	125.000000	8.35672e-06	
130.000000	0.0373102 	130.000000	0.0246687 	130.000000	0.0247891 	130.000000	0.0247268 	130.000000	0.0246607 	130.000000	8.06553e-06	
135.000000	0.0363086 	135.000000	0.0240592 	135.000000	0.0241745 	135.000000	0.0241146 	135.000000	0.0240514 	135.000000	7.79481e-06	
140.000000	0.0353734 	140.000000	0.0234906 	140.000000	0.0236032 	140.000000	0.0235428 	140.000000	0.0234831 	140.000000	7.54245e-06	
145.000000	0.0344981 	145.000000	0.022959  	145.000000	0.0230685 	145.000000	0.0230075 	145.000000	0.0229517 	145.000000	7.3066e-06	
150.000000	0.0336769 	150.000000	0.0224607 	150.000000	0.0225643 	150.000000	0.0225053 	150.000000	0.0224536 	150.000000	7.08569e-06	
155.000000	0.0325207 	155.000000	0.0219928 	155.000000	0.0220926 	155.000000	0.0220332 	155.000000	0.0219859 	155.000000	6.87831e-06	
160.000000	0.031843  	160.000000	0.0215525 	160.000000	0.0216485 	160.000000	0.0215886 	160.000000	0.0215458 	160.000000	6.68324e-06	
165.000000	0.0312039 	165.000000	0.0211375 	165.000000	0.0212273 	165.000000	0.0211691 	165.000000	0.021131  	165.000000	6.4994e-06	
170.000000	0.0306003 	170.000000	0.0207456 	170.000000	0.0208308 	170.000000	0.0207727 	170.000000	0.0207393 	170.000000	6.32583e-06	
175.000000	0.030029  	175.000000	0.020375  	175.000000	0.0204565 	175.000000	0.0203975 	175.000000	0.0203688 	175.000000	6.16169e-06	
