*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	1.3213    	0.001000	0.318957  	0.001000	0.297824  	0.001000	0.297824  	0.001000	0.157225  	0.001000	0.161732  	
0.002000	1.45808   	0.002000	0.360872  	0.002000	0.335559  	0.002000	0.335559  	0.002000	0.217774  	0.002000	0.143098  	
0.005000	1.79238   	0.005000	0.44007   	0.005000	0.409381  	0.005000	0.409381  	0.005000	0.334995  	0.005000	0.105075  	
0.008000	2.05223   	0.008000	0.507916  	0.008000	0.472971  	0.008000	0.472971  	0.008000	0.423446  	0.008000	0.0844699 	
0.010000	2.19998   	0.010000	0.552363  	0.010000	0.514435  	0.010000	0.514435  	0.010000	0.477146  	0.010000	0.0752174 	
0.015000	2.57011   	0.015000	0.67448   	0.015000	0.615954  	0.015000	0.615954  	0.015000	0.614646  	0.015000	0.0598337 	
0.020000	2.86292   	0.020000	0.795528  	0.020000	0.716006  	0.020000	0.716006  	0.020000	0.745296  	0.020000	0.0502322 	
0.025000	3.18385   	0.025000	0.903063  	0.025000	0.815578  	0.025000	0.815578  	0.025000	0.859482  	0.025000	0.043581  	
0.030000	3.45391   	0.030000	0.998113  	0.030000	0.908891  	0.030000	0.908891  	0.030000	0.959452  	0.030000	0.0386606 	
0.035000	3.64569   	0.035000	1.08173   	0.035000	0.99643   	0.035000	0.99643   	0.035000	1.04687   	0.035000	0.0348514 	
0.040000	3.78811   	0.040000	1.15697   	0.040000	1.0777    	0.040000	1.0777    	0.040000	1.12517   	0.040000	0.0318027 	
0.045000	3.88733   	0.045000	1.22439   	0.045000	1.1526    	0.045000	1.1526    	0.045000	1.19509   	0.045000	0.0292995 	
0.050000	3.94674   	0.050000	1.28474   	0.050000	1.2213    	0.050000	1.2213    	0.050000	1.25754   	0.050000	0.0272025 	
0.055000	4.09446   	0.055000	1.34079   	0.055000	1.28399   	0.055000	1.28399   	0.055000	1.31561   	0.055000	0.0251825 	
0.060000	4.21778   	0.060000	1.39188   	0.060000	1.34165   	0.060000	1.34165   	0.060000	1.36822   	0.060000	0.0236589 	
0.070000	4.3994    	0.070000	1.48133   	0.070000	1.44333   	0.070000	1.44333   	0.070000	1.46018   	0.070000	0.0211522 	
0.080000	4.60099   	0.080000	1.56291   	0.080000	1.53025   	0.080000	1.53025   	0.080000	1.54374   	0.080000	0.0191699 	
0.090000	4.75139   	0.090000	1.63552   	0.090000	1.60587   	0.090000	1.60587   	0.090000	1.61796   	0.090000	0.0175587 	
0.100000	4.86423   	0.100000	1.70142   	0.100000	1.67272   	0.100000	1.67272   	0.100000	1.68519   	0.100000	0.0162206 	
0.120000	4.90336   	0.120000	1.80586   	0.120000	1.78685   	0.120000	1.78685   	0.120000	1.79174   	0.120000	0.0141195 	
0.140000	4.93037   	0.140000	1.90143   	0.140000	1.88156   	0.140000	1.88156   	0.140000	1.88889   	0.140000	0.012539  	
0.160000	4.94193   	0.160000	1.98126   	0.160000	1.96146   	0.160000	1.96146   	0.160000	1.96996   	0.160000	0.0113025 	
0.180000	4.95418   	0.180000	2.04802   	0.180000	2.0293    	0.180000	2.0293    	0.180000	2.03771   	0.180000	0.0103061 	
0.200000	4.97252   	0.200000	2.10366   	0.200000	2.08695   	0.200000	2.08695   	0.200000	2.09418   	0.200000	0.00948431	
0.250000	4.91384   	0.250000	2.21761   	0.250000	2.19546   	0.250000	2.19546   	0.250000	2.20967   	0.250000	0.00794132	
0.300000	4.8947    	0.300000	2.29812   	0.300000	2.26557   	0.300000	2.26557   	0.300000	2.29126   	0.300000	0.00685871	
0.350000	4.88114   	0.350000	2.34905   	0.350000	2.31295   	0.350000	2.31295   	0.350000	2.34299   	0.350000	0.0060535 	
0.400000	4.90497   	0.400000	2.40059   	0.400000	2.35547   	0.400000	2.35547   	0.400000	2.39516   	0.400000	0.00542917	
0.450000	4.91486   	0.450000	2.43176   	0.450000	2.37827   	0.450000	2.37827   	0.450000	2.42683   	0.450000	0.00492969	
0.500000	4.90866   	0.500000	2.44851   	0.500000	2.38688   	0.500000	2.38688   	0.500000	2.44399   	0.500000	0.00452027	
0.600000	4.70885   	0.600000	2.46592   	0.600000	2.37319   	0.600000	2.37319   	0.600000	2.46203   	0.600000	0.00388736	
0.700000	4.42154   	0.700000	2.42615   	0.700000	2.33481   	0.700000	2.33481   	0.700000	2.42273   	0.700000	0.00341933	
0.800000	4.25693   	0.800000	2.37353   	0.800000	2.28692   	0.800000	2.28692   	0.800000	2.37047   	0.800000	0.00305809	
