*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
4.000000	1.57815   	4.000000	0.721358  	4.000000	0.72589   	4.000000	0.72589   	4.000000	0.720871  	4.000000	0.000487322	
4.500000	1.44935   	4.500000	0.674414  	4.500000	0.679331  	4.500000	0.679331  	4.500000	0.673974  	4.500000	0.000440458	
5.000000	1.34118   	5.000000	0.63421   	5.000000	0.639051  	5.000000	0.639051  	5.000000	0.633808  	5.000000	0.000402276	
5.500000	1.249     	5.500000	0.599283  	5.500000	0.603865  	5.500000	0.603865  	5.500000	0.598912  	5.500000	0.000370528	
6.000000	1.16946   	6.000000	0.568599  	6.000000	0.572864  	6.000000	0.572864  	6.000000	0.568255  	6.000000	0.000343686	
6.500000	1.10009   	6.500000	0.541393  	6.500000	0.545337  	6.500000	0.545337  	6.500000	0.541072  	6.500000	0.000320675	
7.000000	1.03903   	7.000000	0.517081  	7.000000	0.52072   	7.000000	0.52072   	7.000000	0.51678   	7.000000	0.000300715	
7.500000	0.984858  	7.500000	0.495207  	7.500000	0.498565  	7.500000	0.498565  	7.500000	0.494924  	7.500000	0.000283227	
8.000000	0.936448  	8.000000	0.475407  	8.000000	0.478509  	8.000000	0.478509  	8.000000	0.47514   	8.000000	0.000267771	
8.500000	0.892915  	8.500000	0.457389  	8.500000	0.460258  	8.500000	0.460258  	8.500000	0.457135  	8.500000	0.000254004	
9.000000	0.853548  	9.000000	0.440914  	9.000000	0.44357   	9.000000	0.44357   	9.000000	0.440672  	9.000000	0.00024166	
9.500000	0.817767  	9.500000	0.425783  	9.500000	0.428246  	9.500000	0.428246  	9.500000	0.425552  	9.500000	0.000230525	
10.000000	0.785095  	10.000000	0.41478   	10.000000	0.414118  	10.000000	0.414118  	10.000000	0.41456   	10.000000	0.000220426	
11.000000	0.727568  	11.000000	0.393029  	11.000000	0.389935  	11.000000	0.390247  	11.000000	0.392826  	11.000000	0.000202798	
12.000000	0.67851   	12.000000	0.373205  	12.000000	0.368736  	12.000000	0.369248  	12.000000	0.373017  	12.000000	0.000187916	
13.000000	0.636155  	13.000000	0.355178  	13.000000	0.349971  	13.000000	0.350611  	13.000000	0.355003  	13.000000	0.000175174	
14.000000	0.599198  	14.000000	0.338781  	14.000000	0.33323   	14.000000	0.333952  	14.000000	0.338617  	14.000000	0.000164135	
15.000000	0.566654  	15.000000	0.323841  	15.000000	0.318198  	15.000000	0.318967  	15.000000	0.323686  	15.000000	0.000154472	
16.000000	0.537766  	16.000000	0.310196  	16.000000	0.304616  	16.000000	0.30541   	16.000000	0.31005   	16.000000	0.00014594	
17.000000	0.511941  	17.000000	0.297701  	17.000000	0.29228   	17.000000	0.293083  	17.000000	0.297563  	17.000000	0.000138348	
18.000000	0.488711  	18.000000	0.286225  	18.000000	0.28103   	18.000000	0.281822  	18.000000	0.286094  	18.000000	0.000131545	
19.000000	0.467695  	19.000000	0.275656  	19.000000	0.270725  	19.000000	0.271493  	19.000000	0.275531  	19.000000	0.000125414	
20.000000	0.448588  	20.000000	0.265895  	20.000000	0.261199  	20.000000	0.261943  	20.000000	0.265775  	20.000000	0.000119857	
21.000000	0.431136  	21.000000	0.256854  	21.000000	0.252432  	21.000000	0.253149  	21.000000	0.256739  	21.000000	0.000114796	
22.000000	0.41513   	22.000000	0.24846   	22.000000	0.244311  	22.000000	0.244993  	22.000000	0.24835   	22.000000	0.000110166	
23.000000	0.400395  	23.000000	0.240646  	23.000000	0.236764  	23.000000	0.237404  	23.000000	0.24054   	23.000000	0.000105914	
24.000000	0.386782  	24.000000	0.233356  	24.000000	0.22972   	24.000000	0.230323  	24.000000	0.233254  	24.000000	0.000101995	
25.000000	0.374165  	25.000000	0.226539  	25.000000	0.223127  	25.000000	0.223697  	25.000000	0.22644   	25.000000	9.83691e-05	
27.000000	0.351508  	27.000000	0.214151  	27.000000	0.211141  	27.000000	0.211642  	27.000000	0.214059  	27.000000	9.18757e-05	
29.000000	0.331728  	29.000000	0.203189  	29.000000	0.20053   	29.000000	0.200943  	29.000000	0.203103  	29.000000	8.62251e-05	
31.000000	0.314302  	31.000000	0.19342   	31.000000	0.191039  	31.000000	0.191358  	31.000000	0.193338  	31.000000	8.12608e-05	
33.000000	0.298826  	33.000000	0.184658  	33.000000	0.182501  	33.000000	0.182744  	33.000000	0.184581  	33.000000	7.68631e-05	
35.000000	0.284986  	35.000000	0.176755  	35.000000	0.174871  	35.000000	0.175019  	35.000000	0.176683  	35.000000	7.29387e-05	
38.000000	0.266757  	38.000000	0.166253  	38.000000	0.164725  	38.000000	0.164777  	38.000000	0.166185  	38.000000	6.77826e-05	
41.000000	0.251003  	41.000000	0.157094  	41.000000	0.155878  	41.000000	0.15586   	41.000000	0.157031  	41.000000	6.33386e-05	
44.000000	0.237245  	44.000000	0.149035  	44.000000	0.148068  	44.000000	0.148017  	44.000000	0.148975  	44.000000	5.94667e-05	
47.000000	0.225119  	47.000000	0.141886  	47.000000	0.141148  	47.000000	0.14106   	47.000000	0.14183   	47.000000	5.60614e-05	
