*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.118631  	0.001000	0.150957  	0.001000	0.138809  	0.001000	0.138809  	0.001000	0.0891228 	0.001000	0.0618338 	
0.002000	0.130912  	0.002000	0.161358  	0.002000	0.146813  	0.002000	0.146813  	0.002000	0.115578  	0.002000	0.0457801 	
0.005000	0.160926  	0.005000	0.190413  	0.005000	0.172687  	0.005000	0.172687  	0.005000	0.162968  	0.005000	0.0274445 	
0.008000	0.184256  	0.008000	0.214672  	0.008000	0.195537  	0.008000	0.195537  	0.008000	0.194378  	0.008000	0.0202941 	
0.010000	0.197522  	0.010000	0.228797  	0.010000	0.209111  	0.010000	0.209111  	0.010000	0.211343  	0.010000	0.0174533 	
0.015000	0.230754  	0.015000	0.261506  	0.015000	0.237293  	0.015000	0.237293  	0.015000	0.248497  	0.015000	0.0130094 	
0.020000	0.257044  	0.020000	0.289907  	0.020000	0.263968  	0.020000	0.263968  	0.020000	0.279351  	0.020000	0.0105559 	
0.025000	0.285857  	0.025000	0.321671  	0.025000	0.289898  	0.025000	0.289898  	0.025000	0.312731  	0.025000	0.00894043	
0.030000	0.310105  	0.030000	0.351313  	0.030000	0.316806  	0.030000	0.316806  	0.030000	0.343525  	0.030000	0.00778788	
0.035000	0.327323  	0.035000	0.376902  	0.035000	0.342397  	0.035000	0.342397  	0.035000	0.369982  	0.035000	0.00691993	
0.040000	0.34011   	0.040000	0.399084  	0.040000	0.366669  	0.040000	0.366669  	0.040000	0.392843  	0.040000	0.00624035	
0.045000	0.349018  	0.045000	0.419447  	0.045000	0.389631  	0.045000	0.389631  	0.045000	0.413755  	0.045000	0.00569234	
0.050000	0.354352  	0.050000	0.438039  	0.050000	0.411293  	0.050000	0.411293  	0.050000	0.432799  	0.050000	0.00524014	
0.055000	0.367615  	0.055000	0.458477  	0.055000	0.431673  	0.055000	0.431673  	0.055000	0.453617  	0.055000	0.00486   	
0.060000	0.378688  	0.060000	0.47748   	0.060000	0.450795  	0.060000	0.450795  	0.060000	0.472945  	0.060000	0.00453554	
0.070000	0.394994  	0.070000	0.511261  	0.070000	0.485383  	0.070000	0.485383  	0.070000	0.507251  	0.070000	0.00400991	
0.080000	0.413094  	0.080000	0.539068  	0.080000	0.515334  	0.080000	0.515334  	0.080000	0.535467  	0.080000	0.00360137	
0.090000	0.426597  	0.090000	0.561789  	0.090000	0.540984  	0.090000	0.540984  	0.090000	0.558515  	0.090000	0.0032739 	
0.100000	0.436728  	0.100000	0.579918  	0.100000	0.562698  	0.100000	0.562698  	0.100000	0.576913  	0.100000	0.00300503	
0.120000	0.440241  	0.120000	0.605933  	0.120000	0.595837  	0.120000	0.595837  	0.120000	0.603344  	0.120000	0.00258857	
0.140000	0.442666  	0.140000	0.624177  	0.140000	0.617703  	0.140000	0.617703  	0.140000	0.621897  	0.140000	0.00227993	
0.160000	0.443705  	0.160000	0.633324  	0.160000	0.63093   	0.160000	0.63093   	0.160000	0.631283  	0.160000	0.00204129	
0.180000	0.444804  	0.180000	0.636489  	0.180000	0.637713  	0.180000	0.637713  	0.180000	0.634638  	0.180000	0.00185082	
0.200000	0.446451  	0.200000	0.635901  	0.200000	0.639798  	0.200000	0.639798  	0.200000	0.634206  	0.200000	0.001695  	
0.250000	0.441183  	0.250000	0.626401  	0.250000	0.632498  	0.250000	0.632498  	0.250000	0.624995  	0.250000	0.00140557	
0.300000	0.439464  	0.300000	0.615636  	0.300000	0.616674  	0.300000	0.616674  	0.300000	0.614431  	0.300000	0.00120506	
0.350000	0.438247  	0.350000	0.605589  	0.350000	0.599042  	0.350000	0.599042  	0.350000	0.604532  	0.350000	0.00105737	
0.400000	0.440386  	0.400000	0.601788  	0.400000	0.585835  	0.400000	0.585835  	0.400000	0.600844  	0.400000	0.000943738	
0.450000	0.441274  	0.450000	0.598698  	0.450000	0.571782  	0.450000	0.571782  	0.450000	0.597845  	0.450000	0.000853415	
0.500000	0.440718  	0.500000	0.595487  	0.500000	0.557794  	0.500000	0.557794  	0.500000	0.594707  	0.500000	0.000779777	
0.600000	0.422778  	0.600000	0.574652  	0.600000	0.530697  	0.600000	0.530697  	0.600000	0.573985  	0.600000	0.00066669	
0.700000	0.396981  	0.700000	0.547342  	0.700000	0.505442  	0.700000	0.505442  	0.700000	0.546758  	0.700000	0.000583679	
0.800000	0.382203  	0.800000	0.516869  	0.800000	0.483011  	0.800000	0.483011  	0.800000	0.516349  	0.800000	0.000519989	
0.900000	0.367514  	0.900000	0.488889  	0.900000	0.462835  	0.900000	0.462835  	0.900000	0.488419  	0.900000	0.000469481	
1.000000	0.353076  	1.000000	0.462857  	1.000000	0.444487  	1.000000	0.444487  	1.000000	0.462428  	1.000000	0.000428384	
1.250000	0.319338  	1.250000	0.418491  	1.250000	0.403605  	1.250000	0.403605  	1.250000	0.418138  	1.250000	0.000352622	
1.500000	0.2898    	1.500000	0.381078  	1.500000	0.369446  	1.500000	0.369446  	1.500000	0.380777  	1.500000	0.000300602	
1.750000	0.264126  	1.750000	0.349091  	1.750000	0.341184  	1.750000	0.341184  	1.750000	0.348828  	1.750000	0.000262551	
2.000000	0.242881  	2.000000	0.323046  	2.000000	0.317137  	2.000000	0.317137  	2.000000	0.322813  	2.000000	0.00023344	
2.250000	0.225294  	2.250000	0.299097  	2.250000	0.296324  	2.250000	0.296324  	2.250000	0.298886  	2.250000	0.00021041	
2.500000	0.206544  	2.500000	0.278551  	2.500000	0.278101  	2.500000	0.278101  	2.500000	0.278359  	2.500000	0.000191709	
3.000000	0.183187  	3.000000	0.244209  	3.000000	0.24768   	3.000000	0.24768   	3.000000	0.244046  	3.000000	0.000163133	
3.500000	0.164819  	3.500000	0.218149  	3.500000	0.223316  	3.500000	0.223316  	3.500000	0.218006  	3.500000	0.000142274	
4.000000	0.149984  	4.000000	0.19744   	4.000000	0.203387  	4.000000	0.203387  	4.000000	0.197314  	4.000000	0.000126344	
4.500000	0.137743  	4.500000	0.180475  	4.500000	0.186799  	4.500000	0.186799  	4.500000	0.180362  	4.500000	0.00011376	
5.000000	0.127463  	5.000000	0.166272  	5.000000	0.172789  	5.000000	0.172789  	5.000000	0.166169  	5.000000	0.000103554	
5.500000	0.118702  	5.500000	0.154366  	5.500000	0.1608    	5.500000	0.1608    	5.500000	0.154271  	5.500000	9.51024e-05	
6.000000	0.111143  	6.000000	0.144102  	6.000000	0.150425  	6.000000	0.150425  	6.000000	0.144014  	6.000000	8.79826e-05	
6.500000	0.10455   	6.500000	0.135156  	6.500000	0.141359  	6.500000	0.141359  	6.500000	0.135074  	6.500000	8.18986e-05	
7.000000	0.0987474 	7.000000	0.127288  	7.000000	0.133369  	7.000000	0.133369  	7.000000	0.127211  	7.000000	7.66367e-05	
7.500000	0.0935988 	7.500000	0.120312  	7.500000	0.126272  	7.500000	0.126272  	7.500000	0.12024   	7.500000	7.20385e-05	
8.000000	0.088998  	8.000000	0.114083  	8.000000	0.119926  	8.000000	0.119926  	8.000000	0.114015  	8.000000	6.79841e-05	
8.500000	0.0848608 	8.500000	0.108487  	8.500000	0.114217  	8.500000	0.114217  	8.500000	0.108423  	8.500000	6.43812e-05	
9.000000	0.0811194 	9.000000	0.103431  	9.000000	0.109052  	9.000000	0.109052  	9.000000	0.10337   	9.000000	6.11572e-05	
9.500000	0.0777188 	9.500000	0.0988404 	9.500000	0.104356  	9.500000	0.104356  	9.500000	0.0987821 	9.500000	5.82544e-05	
10.000000	0.0746138 	10.000000	0.0979933 	10.000000	0.100068  	10.000000	0.100068  	10.000000	0.0979377 	10.000000	5.56266e-05	
11.000000	0.0691465 	11.000000	0.0909257 	11.000000	0.0924145 	11.000000	0.0924557 	11.000000	0.0908747 	11.000000	5.10508e-05	
12.000000	0.0644842 	12.000000	0.0848637 	12.000000	0.0859053 	12.000000	0.0859727 	12.000000	0.0848165 	12.000000	4.71993e-05	
13.000000	0.0604589 	13.000000	0.0796068 	13.000000	0.0803017 	13.000000	0.0803861 	13.000000	0.0795629 	13.000000	4.39105e-05	
14.000000	0.0569465 	14.000000	0.0750039 	14.000000	0.0754279 	14.000000	0.0755232 	14.000000	0.0749629 	14.000000	4.10681e-05	
15.000000	0.0538536 	15.000000	0.0709398 	15.000000	0.0711514 	15.000000	0.0712528 	15.000000	0.0709012 	15.000000	3.85856e-05	
16.000000	0.0511081 	16.000000	0.0673244 	16.000000	0.0673692 	16.000000	0.0674739 	16.000000	0.067288  	16.000000	3.63981e-05	
17.000000	0.0486538 	17.000000	0.0640868 	17.000000	0.0640015 	17.000000	0.0641074 	17.000000	0.0640523 	17.000000	3.44551e-05	
18.000000	0.046446  	18.000000	0.0611703 	18.000000	0.0609858 	18.000000	0.0610902 	18.000000	0.0611376 	18.000000	3.27173e-05	
19.000000	0.0444488 	19.000000	0.058529  	19.000000	0.0582703 	19.000000	0.0583716 	19.000000	0.0584979 	19.000000	3.11533e-05	
20.000000	0.0426329 	20.000000	0.0561254 	20.000000	0.0558121 	20.000000	0.0559102 	20.000000	0.0560956 	20.000000	2.97381e-05	
21.000000	0.0409743 	21.000000	0.0539283 	21.000000	0.0535775 	21.000000	0.0536722 	21.000000	0.0538999 	21.000000	2.8451e-05	
22.000000	0.0394531 	22.000000	0.0519121 	22.000000	0.0515393 	22.000000	0.0516292 	22.000000	0.0518849 	22.000000	2.72752e-05	
23.000000	0.0380527 	23.000000	0.0500551 	23.000000	0.0496733 	23.000000	0.0497576 	23.000000	0.0500289 	23.000000	2.61967e-05	
24.000000	0.0367589 	24.000000	0.0483388 	24.000000	0.0479582 	24.000000	0.0480376 	24.000000	0.0483136 	24.000000	2.52037e-05	
25.000000	0.0355599 	25.000000	0.0467477 	25.000000	0.0463769 	25.000000	0.0464522 	25.000000	0.0467234 	25.000000	2.42862e-05	
27.000000	0.0334065 	27.000000	0.0438895 	27.000000	0.043563  	27.000000	0.043629  	27.000000	0.0438668 	27.000000	2.26455e-05	
29.000000	0.0315267 	29.000000	0.0413937 	29.000000	0.0411402 	29.000000	0.0411946 	29.000000	0.0413725 	29.000000	2.12206e-05	
31.000000	0.0298706 	31.000000	0.0391949 	31.000000	0.0389976 	31.000000	0.0390397 	31.000000	0.0391749 	31.000000	1.9971e-05	
33.000000	0.0283998 	33.000000	0.0372422 	33.000000	0.0370647 	33.000000	0.0370967 	33.000000	0.0372234 	33.000000	1.88659e-05	
35.000000	0.0270845 	35.000000	0.0354962 	35.000000	0.0353401 	35.000000	0.0353596 	35.000000	0.0354783 	35.000000	1.78812e-05	
38.000000	0.025352  	38.000000	0.0331973 	38.000000	0.0330657 	38.000000	0.0330726 	38.000000	0.0331807 	38.000000	1.65897e-05	
41.000000	0.0238548 	41.000000	0.0312117 	41.000000	0.0310993 	41.000000	0.031097  	41.000000	0.0311962 	41.000000	1.54788e-05	
44.000000	0.0225473 	44.000000	0.0294787 	44.000000	0.0293791 	44.000000	0.0293725 	44.000000	0.0294642 	44.000000	1.45125e-05	
47.000000	0.0213948 	47.000000	0.0279524 	47.000000	0.027865  	47.000000	0.0278533 	47.000000	0.0279387 	47.000000	1.36641e-05	
50.000000	0.020371  	50.000000	0.0265975 	50.000000	0.0265222 	50.000000	0.0265042 	50.000000	0.0265846 	50.000000	1.2913e-05	
55.000000	0.0188959 	55.000000	0.0246476 	55.000000	0.0245843 	55.000000	0.0245619 	55.000000	0.0246358 	55.000000	1.18354e-05	
60.000000	0.0176501 	60.000000	0.0230035 	60.000000	0.0229484 	60.000000	0.0229232 	60.000000	0.0229926 	60.000000	1.09296e-05	
65.000000	0.0165831 	65.000000	0.0215977 	65.000000	0.0215507 	65.000000	0.0215212 	65.000000	0.0215875 	65.000000	1.01573e-05	
70.000000	0.0156583 	70.000000	0.0203813 	70.000000	0.0203375 	70.000000	0.0203074 	70.000000	0.0203718 	70.000000	9.49055e-06	
75.000000	0.0148485 	75.000000	0.019318  	75.000000	0.0192796 	75.000000	0.019246  	75.000000	0.0193091 	75.000000	8.90893e-06	
80.000000	0.0141331 	80.000000	0.0183805 	80.000000	0.018344  	80.000000	0.0183095 	80.000000	0.0183721 	80.000000	8.39693e-06	
85.000000	0.0134961 	85.000000	0.0175473 	85.000000	0.017512  	85.000000	0.017477  	85.000000	0.0175394 	85.000000	7.9426e-06	
90.000000	0.0129251 	90.000000	0.0168019 	90.000000	0.0167672 	90.000000	0.0167318 	90.000000	0.0167943 	90.000000	7.53662e-06	
95.000000	0.0124101 	95.000000	0.0161309 	95.000000	0.0160965 	95.000000	0.0160608 	95.000000	0.0161237 	95.000000	7.17156e-06	
100.000000	0.011943  	100.000000	0.0155235 	100.000000	0.0154892 	100.000000	0.0154533 	100.000000	0.0155167 	100.000000	6.84147e-06	
105.000000	0.0115174 	105.000000	0.0149711 	105.000000	0.0149368 	105.000000	0.0149006 	105.000000	0.0149646 	105.000000	6.5415e-06	
110.000000	0.0111277 	110.000000	0.0144665 	110.000000	0.0144318 	110.000000	0.0143956 	110.000000	0.0144603 	110.000000	6.26764e-06	
115.000000	0.0107696 	115.000000	0.0140037 	115.000000	0.0139688 	115.000000	0.0139323 	115.000000	0.0139977 	115.000000	6.0166e-06	
120.000000	0.0104392 	120.000000	0.0135776 	120.000000	0.0135415 	120.000000	0.0135058 	120.000000	0.0135718 	120.000000	5.78561e-06	
125.000000	0.0101334 	125.000000	0.0131839 	125.000000	0.0131464 	125.000000	0.0131117 	125.000000	0.0131784 	125.000000	5.57232e-06	
130.000000	0.00984951	130.000000	0.0128192 	130.000000	0.0127813 	130.000000	0.0127465 	130.000000	0.0128138 	130.000000	5.37476e-06	
135.000000	0.00958511	135.000000	0.0124803 	135.000000	0.012442  	135.000000	0.0124071 	135.000000	0.0124751 	135.000000	5.19122e-06	
140.000000	0.00933824	140.000000	0.0121645 	140.000000	0.0121258 	140.000000	0.0120908 	140.000000	0.0121595 	140.000000	5.02025e-06	
145.000000	0.00910718	145.000000	0.0118696 	145.000000	0.0118304 	145.000000	0.0117954 	145.000000	0.0118647 	145.000000	4.86057e-06	
150.000000	0.00889041	150.000000	0.0115934 	150.000000	0.0115538 	150.000000	0.0115189 	150.000000	0.0115887 	150.000000	4.71111e-06	
155.000000	0.0085852 	155.000000	0.0113344 	155.000000	0.0112946 	155.000000	0.0112595 	155.000000	0.0113298 	155.000000	4.57089e-06	
160.000000	0.0084063 	160.000000	0.0110908 	160.000000	0.0110504 	160.000000	0.0110156 	160.000000	0.0110864 	160.000000	4.43907e-06	
