*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.183624  	0.001000	0.0457663 	0.001000	0.0474514 	0.001000	0.0474514 	0.001000	0.0381822 	0.001000	0.00758416	
0.002000	0.218767  	0.002000	0.0587014 	0.002000	0.0610031 	0.002000	0.0610031 	0.002000	0.0521584 	0.002000	0.00654297	
0.005000	0.287307  	0.005000	0.0834301 	0.005000	0.0869064 	0.005000	0.0869064 	0.005000	0.0787766 	0.005000	0.00465356	
0.008000	0.334305  	0.008000	0.10102   	0.008000	0.105315  	0.008000	0.105315  	0.008000	0.097331  	0.008000	0.00368917	
0.010000	0.35993   	0.010000	0.110878  	0.010000	0.115626  	0.010000	0.115626  	0.010000	0.107612  	0.010000	0.00326573	
0.015000	0.434114  	0.015000	0.133676  	0.015000	0.137424  	0.015000	0.137424  	0.015000	0.131103  	0.015000	0.0025731 	
0.020000	0.494897  	0.020000	0.152854  	0.020000	0.155637  	0.020000	0.155637  	0.020000	0.150707  	0.020000	0.00214746	
0.025000	0.545168  	0.025000	0.168896  	0.025000	0.171558  	0.025000	0.171558  	0.025000	0.16704   	0.025000	0.00185544	
0.030000	0.586469  	0.030000	0.182149  	0.030000	0.184546  	0.030000	0.184546  	0.030000	0.180508  	0.030000	0.00164085	
0.035000	0.619817  	0.035000	0.192939  	0.035000	0.195222  	0.035000	0.195222  	0.035000	0.191463  	0.035000	0.00147556	
0.040000	0.646014  	0.040000	0.201588  	0.040000	0.20387   	0.040000	0.20387   	0.040000	0.200244  	0.040000	0.0013438 	
0.045000	0.665779  	0.045000	0.208405  	0.045000	0.210754  	0.045000	0.210754  	0.045000	0.20718   	0.045000	0.00122453	
0.050000	0.679805  	0.050000	0.213715  	0.050000	0.216159  	0.050000	0.216159  	0.050000	0.21258   	0.050000	0.00113549	
0.055000	0.688773  	0.055000	0.217782  	0.055000	0.220318  	0.055000	0.220318  	0.055000	0.216722  	0.055000	0.00105975	
0.060000	0.693357  	0.060000	0.220843  	0.060000	0.22345   	0.060000	0.22345   	0.060000	0.219848  	0.060000	0.000994431	
0.070000	0.691929  	0.070000	0.224721  	0.070000	0.227362  	0.070000	0.227362  	0.070000	0.223833  	0.070000	0.000887292	
0.080000	0.680236  	0.080000	0.226556  	0.080000	0.229086  	0.080000	0.229086  	0.080000	0.225753  	0.080000	0.00080285	
0.090000	0.662157  	0.090000	0.227116  	0.090000	0.229427  	0.090000	0.229427  	0.090000	0.226381  	0.090000	0.000734399	
0.100000	0.640635  	0.100000	0.226869  	0.100000	0.2289    	0.100000	0.2289    	0.100000	0.226191  	0.100000	0.000677667	
0.120000	0.594827  	0.120000	0.224976  	0.120000	0.226407  	0.120000	0.226407  	0.120000	0.224387  	0.120000	0.000588817	
0.140000	0.551866  	0.140000	0.222067  	0.140000	0.222974  	0.140000	0.222974  	0.140000	0.221545  	0.140000	0.000522162	
0.160000	0.514571  	0.160000	0.21863   	0.160000	0.219137  	0.160000	0.219137  	0.160000	0.21816   	0.160000	0.000470126	
0.180000	0.48306   	0.180000	0.214903  	0.180000	0.215126  	0.180000	0.215126  	0.180000	0.214474  	0.180000	0.000428267	
0.200000	0.456546  	0.200000	0.211021  	0.200000	0.211054  	0.200000	0.211054  	0.200000	0.210627  	0.200000	0.000393794	
0.250000	0.406195  	0.250000	0.201147  	0.250000	0.200969  	0.250000	0.200969  	0.250000	0.200818  	0.250000	0.00032919	
0.300000	0.370292  	0.300000	0.191556  	0.300000	0.191361  	0.300000	0.191361  	0.300000	0.191272  	0.300000	0.000283963	
0.350000	0.342725  	0.350000	0.182553  	0.350000	0.182414  	0.350000	0.182414  	0.350000	0.182303  	0.350000	0.000250381	
0.400000	0.32037   	0.400000	0.174234  	0.400000	0.174172  	0.400000	0.174172  	0.400000	0.174009  	0.400000	0.000224378	
0.450000	0.301555  	0.450000	0.1666    	0.450000	0.166615  	0.450000	0.166615  	0.450000	0.166396  	0.450000	0.000203598	
0.500000	0.285316  	0.500000	0.15961   	0.500000	0.159696  	0.500000	0.159696  	0.500000	0.159424  	0.500000	0.00018658	
0.600000	0.258359  	0.600000	0.147342  	0.600000	0.147537  	0.600000	0.147537  	0.600000	0.147182  	0.600000	0.000160302	
0.700000	0.236632  	0.700000	0.136981  	0.700000	0.13725   	0.700000	0.13725   	0.700000	0.13684   	0.700000	0.000140894	
0.800000	0.21861   	0.800000	0.128139  	0.800000	0.128455  	0.800000	0.128455  	0.800000	0.128013  	0.800000	0.000125929	
0.900000	0.203362  	0.900000	0.120512  	0.900000	0.120857  	0.900000	0.120857  	0.900000	0.120398  	0.900000	0.000114012	
1.000000	0.190262  	1.000000	0.113867  	1.000000	0.114228  	1.000000	0.114228  	1.000000	0.113763  	1.000000	0.000104282	
1.250000	0.164298  	1.250000	0.100462  	1.250000	0.100831  	1.250000	0.100831  	1.250000	0.100376  	1.250000	8.62565e-05	
