*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.247668  	0.001000	0.066062  	0.001000	0.0677415 	0.001000	0.0677415 	0.001000	0.0380467 	0.001000	0.0280153 	
0.002000	0.316466  	0.002000	0.090321  	0.002000	0.0932269 	0.002000	0.0932269 	0.002000	0.0658402 	0.002000	0.0244808 	
0.005000	0.489614  	0.005000	0.146669  	0.005000	0.152361  	0.005000	0.152361  	0.005000	0.128976  	0.005000	0.0176927 	
0.008000	0.619384  	0.008000	0.190782  	0.008000	0.198578  	0.008000	0.198578  	0.008000	0.176658  	0.008000	0.014124  	
0.010000	0.690973  	0.010000	0.216036  	0.010000	0.225016  	0.010000	0.225016  	0.010000	0.203496  	0.010000	0.0125397 	
0.015000	0.881588  	0.015000	0.274     	0.015000	0.281551  	0.015000	0.281551  	0.015000	0.264073  	0.015000	0.00992719	
0.020000	1.04106   	0.020000	0.323652  	0.020000	0.329475  	0.020000	0.329475  	0.020000	0.315343  	0.020000	0.0083094 	
0.025000	1.17703   	0.025000	0.366462  	0.025000	0.372188  	0.025000	0.372188  	0.025000	0.359268  	0.025000	0.00719419	
0.030000	1.2936    	0.030000	0.403363  	0.030000	0.408633  	0.030000	0.408633  	0.030000	0.396991  	0.030000	0.00637197	
0.035000	1.39323   	0.035000	0.435102  	0.035000	0.440223  	0.035000	0.440223  	0.035000	0.429365  	0.035000	0.00573707	
0.040000	1.47763   	0.040000	0.462363  	0.040000	0.467573  	0.040000	0.467573  	0.040000	0.457133  	0.040000	0.00522993	
0.045000	1.54817   	0.045000	0.485791  	0.045000	0.491244  	0.045000	0.491244  	0.045000	0.480976  	0.045000	0.00481424	
0.050000	1.60608   	0.050000	0.505946  	0.050000	0.511712  	0.050000	0.511712  	0.050000	0.501521  	0.050000	0.00442527	
0.055000	1.65254   	0.055000	0.523457  	0.055000	0.529536  	0.055000	0.529536  	0.055000	0.519324  	0.055000	0.0041329 	
0.060000	1.68874   	0.060000	0.538753  	0.060000	0.545095  	0.060000	0.545095  	0.060000	0.534872  	0.060000	0.00388048	
0.070000	1.73505   	0.070000	0.564234  	0.070000	0.570851  	0.070000	0.570851  	0.070000	0.560768  	0.070000	0.00346581	
0.080000	1.75398   	0.080000	0.584801  	0.080000	0.591321  	0.080000	0.591321  	0.080000	0.581662  	0.080000	0.00313847	
0.090000	1.75352   	0.090000	0.601985  	0.090000	0.608102  	0.090000	0.608102  	0.090000	0.599112  	0.090000	0.00287276	
0.100000	1.74018   	0.100000	0.616717  	0.100000	0.622231  	0.100000	0.622231  	0.100000	0.614064  	0.100000	0.00265232	
0.120000	1.69339   	0.120000	0.640822  	0.120000	0.644895  	0.120000	0.644895  	0.120000	0.638515  	0.120000	0.00230664	
0.140000	1.63813   	0.140000	0.659435  	0.140000	0.662128  	0.140000	0.662128  	0.140000	0.657388  	0.140000	0.00204697	
0.160000	1.58484   	0.160000	0.673572  	0.160000	0.675134  	0.160000	0.675134  	0.160000	0.671728  	0.160000	0.00184404	
0.180000	1.53682   	0.180000	0.683861  	0.180000	0.684573  	0.180000	0.684573  	0.180000	0.682181  	0.180000	0.00168065	
0.200000	1.49431   	0.200000	0.69082   	0.200000	0.690929  	0.200000	0.690929  	0.200000	0.689274  	0.200000	0.001546  	
0.250000	1.40656   	0.250000	0.69662   	0.250000	0.696003  	0.250000	0.696003  	0.250000	0.695327  	0.250000	0.00129342	
0.300000	1.33489   	0.300000	0.690645  	0.300000	0.68994   	0.300000	0.68994   	0.300000	0.689528  	0.300000	0.0011164 	
0.350000	1.27171   	0.350000	0.677488  	0.350000	0.67697   	0.350000	0.67697   	0.350000	0.676503  	0.350000	0.000984855	
0.400000	1.21384   	0.400000	0.660292  	0.400000	0.660057  	0.400000	0.660057  	0.400000	0.659409  	0.400000	0.000882924	
0.450000	1.1601    	0.450000	0.641101  	0.450000	0.641161  	0.450000	0.641161  	0.450000	0.6403    	0.450000	0.000801424	
0.500000	1.11004   	0.500000	0.621201  	0.500000	0.621533  	0.500000	0.621533  	0.500000	0.620467  	0.500000	0.000734648	
0.600000	1.02008   	0.600000	0.582083  	0.600000	0.582854  	0.600000	0.582854  	0.600000	0.581451  	0.600000	0.000631482	
0.700000	0.942404  	0.700000	0.545974  	0.700000	0.547046  	0.700000	0.547046  	0.700000	0.545419  	0.700000	0.00055524	
0.800000	0.875346  	0.800000	0.513618  	0.800000	0.514886  	0.800000	0.514886  	0.800000	0.513122  	0.800000	0.000496423	
0.900000	0.817219  	0.900000	0.484897  	0.900000	0.486286  	0.900000	0.486286  	0.900000	0.484448  	0.900000	0.000449566	
1.000000	0.766516  	1.000000	0.459418  	1.000000	0.460876  	1.000000	0.460876  	1.000000	0.459007  	1.000000	0.000411293	
1.250000	0.664486  	1.250000	0.407087  	1.250000	0.408583  	1.250000	0.408583  	1.250000	0.406746  	1.250000	0.000340358	
1.500000	0.587445  	1.500000	0.366667  	1.500000	0.36811   	1.500000	0.36811   	1.500000	0.366376  	1.500000	0.000291342	
1.750000	0.527106  	1.750000	0.334435  	1.750000	0.335791  	1.750000	0.335791  	1.750000	0.33418   	1.750000	0.000255309	
2.000000	0.478477  	2.000000	0.308053  	2.000000	0.309312  	2.000000	0.309312  	2.000000	0.307825  	2.000000	0.000227631	
2.250000	0.438396  	2.250000	0.286009  	2.250000	0.287173  	2.250000	0.287173  	2.250000	0.285803  	2.250000	0.000205659	
2.500000	0.397981  	2.500000	0.267283  	2.500000	0.268356  	2.500000	0.268356  	2.500000	0.267095  	2.500000	0.000187767	
3.000000	0.347377  	3.000000	0.237117  	3.000000	0.238029  	3.000000	0.238029  	3.000000	0.236956  	3.000000	0.000160327	
3.500000	0.309018  	3.500000	0.213821  	3.500000	0.2146    	3.500000	0.2146    	3.500000	0.213681  	3.500000	0.000140217	
4.000000	0.278849  	4.000000	0.195248  	4.000000	0.195916  	4.000000	0.195916  	4.000000	0.195123  	4.000000	0.000124808	
4.500000	0.254448  	4.500000	0.180066  	4.500000	0.180642  	4.500000	0.180642  	4.500000	0.179954  	4.500000	0.0001126 	
5.000000	0.234271  	5.000000	0.167403  	5.000000	0.167901  	5.000000	0.167901  	5.000000	0.1673    	5.000000	0.000102677	
5.500000	0.217287  	5.500000	0.156662  	5.500000	0.157095  	5.500000	0.157095  	5.500000	0.156568  	5.500000	9.4442e-05	
6.000000	0.202778  	6.000000	0.147424  	6.000000	0.1478    	6.000000	0.1478    	6.000000	0.147336  	6.000000	8.74917e-05	
6.500000	0.190229  	6.500000	0.139382  	6.500000	0.13971   	6.500000	0.13971   	6.500000	0.1393    	6.500000	8.15427e-05	
