** This file contains HiRA CsI calibrations for different Z and A isotopes.
** Each isotope has to be independently specified even if the calibration formula works for more isotopes with the same parameters.
** WARNING: calibration formulas can't contain the '*' character. Please replace it with a '.' to indicate a multiplication.
**************************************************************************************************************************************** 
 *tel    csi      Z      A          Fenhai's Formula                 NumParPar0             Par1        Par2       Par3
    4      1      1      3          [0]+[1].x^((3+[2])/(3+[3]))                4  0.00120997   0.0071009    0.568724  0.632472
    4      2      1      1          [0]+[1].x^((1+[2])/(1+[3]))                4  6.36528e-06  0.00801321     1.64486   1.76765
    4      2      1      2          [0]+[1].x^((2+[2])/(2+[3]))                4  6.36528e-06  0.00801321     1.64486   1.76765
    4      2      1      3          [0]+[1].x^((3+[2])/(3+[3]))                4  6.36528e-06  0.00801321     1.64486   1.76765
    4      3      1      1          [0]+[1].x^((1+[2])/(1+[3]))                4  0.00223918   0.0077777     1.65569   1.78333
    4      3      1      2          [0]+[1].x^((2+[2])/(2+[3]))                4  0.00223918   0.0077777     1.65569   1.78333
    4      3      1      3          [0]+[1].x^((3+[2])/(3+[3]))                4  0.00223918   0.0077777     1.65569   1.78333
    5      0      1      1          [0]+[1].x^((1+[2])/(1+[3]))                4  -0.000516102  0.00762648      1.0848   1.17582
    5      0      1      2          [0]+[1].x^((2+[2])/(2+[3]))                4  -0.000516102  0.00762648      1.0848   1.17582
    5      0      1      3          [0]+[1].x^((3+[2])/(3+[3]))                4  -0.000516102  0.00762648      1.0848   1.17582
    5      1      1      1          [0]+[1].x^((1+[2])/(1+[3]))                4  0.00244842  0.00918548     1.98743   2.15805
    5      1      1      2          [0]+[1].x^((2+[2])/(2+[3]))                4  0.00244842  0.00918548     1.98743   2.15805
    5      1      1      3          [0]+[1].x^((3+[2])/(3+[3]))                4  0.00244842  0.00918548     1.98743   2.15805
    5      2      1      1          [0]+[1].x^((1+[2])/(1+[3]))                4  0.00428654  0.00952447     1.98216    2.1333
    5      2      1      2          [0]+[1].x^((2+[2])/(2+[3]))                4  0.00428654  0.00952447     1.98216    2.1333
    5      2      1      3          [0]+[1].x^((3+[2])/(3+[3]))                4  0.00428654  0.00952447     1.98216    2.1333
** telescope 5 csi 3 has a bad deuteron and triton calibration    
    5      3      1      1                        [0]+[1].x^[2]                3   0.0086417   0.0108234    0.999988
    5      3      1      2                        [0]+[1].x^[2]                3  -0.0251457   0.0175124    0.908162
    5      3      1      3                        [0]+[1].x^[2]                3  -0.0180901   0.0148631     0.95095    
    6      0      1      1          [0]+[1].x^((1+[2])/(1+[3]))                4  0.000282727  0.00760078     1.96148   2.13599
    6      0      1      2          [0]+[1].x^((2+[2])/(2+[3]))                4  0.000282727  0.00760078     1.96148   2.13599
    6      0      1      3          [0]+[1].x^((3+[2])/(3+[3]))                4  0.000282727  0.00760078     1.96148   2.13599
    6      1      1      1          [0]+[1].x^((1+[2])/(1+[3]))                4  0.00289742  0.00808275     1.99638   2.17516
    6      1      1      2          [0]+[1].x^((2+[2])/(2+[3]))                4  0.00289742  0.00808275     1.99638   2.17516
    6      1      1      3          [0]+[1].x^((3+[2])/(3+[3]))                4  0.00289742  0.00808275     1.99638   2.17516
    6      2      1      1          [0]+[1].x^((1+[2])/(1+[3]))                4  0.00295277  0.00783847     1.99681   2.19184
    6      2      1      2          [0]+[1].x^((2+[2])/(2+[3]))                4  0.00295277  0.00783847     1.99681   2.19184
    6      2      1      3          [0]+[1].x^((3+[2])/(3+[3]))                4  0.00295277  0.00783847     1.99681   2.19184
    6      3      1      1          [0]+[1].x^((1+[2])/(1+[3]))                4  0.000786781  0.00742622     1.96823   2.12731
    6      3      1      2          [0]+[1].x^((2+[2])/(2+[3]))                4  0.000786781  0.00742622     1.96823   2.12731
    6      3      1      3          [0]+[1].x^((3+[2])/(3+[3]))                4  0.000786781  0.00742622     1.96823   2.12731
    7      0      1      1          [0]+[1].x^((1+[2])/(1+[3]))                4  -0.00181823  0.00770274     1.65394    1.7913
