1	0	50.5405	0.871278	0	0	0	40.7799	0.731764	6.16483e-05	-1.77314e-08	2.00102e-12	
1	1	53.549	0.808302	0	0	0	43.9732	0.678095	6.89735e-05	-2.13464e-08	2.53491e-12	
2	0	49.1757	0.755299	0	0	0	42.0042	0.577375	0.000107714	-3.89197e-08	5.04636e-12	
2	1	48.6064	0.748909	0	0	0	38.4832	0.624462	5.09236e-05	-1.26484e-08	1.18791e-12	
3	0	55.3533	0.849162	0	0	0	43.1101	0.711289	5.20841e-05	-1.25488e-08	1.05043e-12	
3	1	49.3034	0.863497	0	0	0	39.7924	0.716287	6.8992e-05	-2.0693e-08	2.35262e-12	
4	0	54.8489	0.898203	0	0	0	42.8548	0.748519	7.39685e-05	-2.1099e-08	2.21237e-12	
4	1	47.4857	0.822382	0	0	0	40.1013	0.678484	6.80905e-05	-1.77838e-08	1.65681e-12	
5	0	44.9521	0.787764	0	0	0	38.5174	0.63706	6.81216e-05	-1.83788e-08	1.85992e-12	
5	1	47.0382	0.782861	0	0	0	39.916	0.637853	7.15456e-05	-2.10702e-08	2.33954e-12	
6	0	50.6557	0.805089	0	0	0	42.4602	0.676715	5.3261e-05	-1.24972e-08	1.04464e-12	
6	1	44.1176	0.772209	0	0	0	37.7368	0.599967	0.000102726	-3.39796e-08	3.98107e-12	
7	0	50.863	0.790569	0	0	0	41.1862	0.66665	4.45413e-05	-9.29821e-09	7.51604e-13	
7	1	41.2999	0.769366	0	0	0	33.3185	0.620939	7.16973e-05	-2.0819e-08	2.30367e-12	
8	0	41.6759	0.822049	0	0	0	35.1203	0.665049	9.46309e-05	-3.23614e-08	4.04844e-12	
8	1	42.5678	0.789817	0	0	0	40.3211	0.640225	8.909e-05	-2.76705e-08	3.13429e-12	
9	0	44.8345	0.737938	0	0	0	39.5474	0.6254	4.7956e-05	-1.08089e-08	8.44796e-13	
9	1	44.5001	0.876311	0	0	0	41.8107	0.702581	0.000109064	-3.51356e-08	4.0823e-12	
10	0	41.5033	0.834881	0	0	0	37.6711	0.680856	8.29994e-05	-2.41778e-08	2.5294e-12	
10	1	49.4364	0.883301	0	0	0	45.9108	0.707951	0.000105218	-3.39506e-08	4.01123e-12	
11	0	41.9649	0.883385	0	0	0	39.5836	0.722263	8.8171e-05	-2.64737e-08	2.8964e-12	
11	1	44.4285	0.833206	0	0	0	41.2639	0.675098	9.26246e-05	-2.85495e-08	3.27086e-12	
12	0	43.3934	0.859049	0	0	0	37.6362	0.71756	7.45743e-05	-2.19666e-08	2.39461e-12	
12	1	46.8988	0.87	0	0	0	32.3326	0.755883	4.8356e-05	-1.32912e-08	1.47747e-12	
13	0	47.0861	0.805196	0	0	0	47.556	0.644181	9.42439e-05	-2.94513e-08	3.40841e-12	
13	1	44.1427	0.850575	0	0	0	38.0494	0.696392	8.73274e-05	-2.73799e-08	3.16705e-12	
14	0	42.8162	0.820537	0	0	0	40.4922	0.673208	8.21646e-05	-2.52308e-08	2.84679e-12	
14	1	43.9179	0.878939	0	0	0	40.8763	0.716851	9.39358e-05	-2.89565e-08	3.24129e-12	
15	0	42.7853	0.856352	0	0	0	36.3138	0.713262	5.87094e-05	-1.21547e-08	7.4462e-13	
15	1	53.6844	0.835141	0	0	0	45.5804	0.688159	6.79165e-05	-1.67586e-08	1.43893e-12	
16	0	44.259	0.826689	0	0	0	44.819	0.666235	8.57922e-05	-2.31864e-08	2.21596e-12	
16	1	46.0841	0.890731	0	0	0	40.1698	0.724905	9.82323e-05	-3.14891e-08	3.70023e-12	
17	0	44.0181	0.85341	0	0	0	42.9085	0.679831	0.000102866	-3.30427e-08	3.86955e-12	
17	1	42.0247	0.887337	0	0	0	38.7553	0.724485	9.61713e-05	-3.12004e-08	3.71169e-12	
18	0	48.7935	0.853301	0	0	0	45.4083	0.692695	8.39962e-05	-2.54637e-08	2.89077e-12	
18	1	47.001	0.864395	0	0	0	37.8096	0.725695	6.3271e-05	-1.59543e-08	1.42129e-12	
19	0	42.2082	0.830503	0	0	0	39.5393	0.671558	9.02197e-05	-2.76126e-08	3.11261e-12	
19	1	48.2393	0.829303	0	0	0	43.4985	0.682345	7.77503e-05	-2.24497e-08	2.36368e-12	
20	0	45.6571	0.897868	0	0	0	40.0529	0.735255	7.93773e-05	-2.14708e-08	1.99961e-12	
20	1	46.7191	0.849242	0	0	0	41.0936	0.685115	0.000106149	-3.64284e-08	4.50563e-12	
21	0	46.8944	0.866153	0	0	0	50.0525	0.6958	0.000105877	-3.44949e-08	4.12975e-12	
21	1	49.3108	0.815222	0	0	0	43.4428	0.670573	8.9927e-05	-2.99589e-08	3.66293e-12	
22	0	45.4211	0.839328	0	0	0	45.2285	0.696511	7.26673e-05	-1.9905e-08	2.05079e-12	
22	1	48.1004	0.875529	0	0	0	44.6316	0.703711	0.000103613	-3.28008e-08	3.72279e-12	
23	0	52.3876	0.776007	0	0	0	43.0127	0.656512	6.18587e-05	-1.90707e-08	2.12635e-12	
23	1	51.2903	0.805949	0	0	0	42.899	0.661542	8.12105e-05	-2.66394e-08	3.29332e-12	
24	0	49.7164	0.806675	0	0	0	42.2882	0.640515	8.94586e-05	-3.02918e-08	3.82082e-12	
24	1	48.4677	0.883567	0	0	0	40.533	0.688882	0.0001178	-4.06463e-08	5.01866e-12	
