*Fit parameters table created by DEEFIT
*09| ntel mf npar alfa   mu  nu  csi  g  lambda  of_s  of_f  chi2
*14| ntel mf npar alfa   mu  nu  lambda csi gap gb cp zl zi ze of_s of_f chi2
*mf=0 2*Z; 1=Charity; 2=EPAX;
  37 0 14 0.69837 0.69884 0.90018 -0.03081 3.01299 140.65443 3.43640 9.49256 0.08158 19.99977 0.00758 0.19190 0.00000 75.12509 9.04214
  38 0 14 0.98528 0.49944 0.91505 -0.03221 4.83430 134.40327 1.31991 8.96730 0.03105 19.99821 0.01817 0.22528 0.00000 97.02669 7.91243
  39 0 14 1.03540 0.52740 0.90858 -0.03934 3.50245 139.23190 7.27502 7.00990 0.22674 20.00000 0.00346 0.26486 0.00000 88.81769 8.69980
  40 0 14 1.08207 0.40824 1.02989 1.54178 17.38252 1038.35520 0.25079 13.75437 0.01065 5.61130 0.38401 0.00000 0.18515 61.44831 9.93975
  41 0 14 0.95065 0.51687 0.90058 -0.03880 6.48449 110.96639 1.35647 9.12054 0.03276 19.99996 0.01786 0.20880 0.00000 86.75286 9.28751
  42 0 14 1.14077 0.37137 1.04899 1.23734 17.11090 915.18409 0.55903 7.89872 0.05548 19.92730 0.08675 0.24066 0.30409 77.41449 7.71703
  43 0 14 1.02800 0.48380 0.65883 0.26529 14.79126 0.00102 0.33227 5.80662 0.01688 19.96263 0.08880 0.25229 0.00000 77.01930 11.24312
  44 0 14 1.12945 0.38886 1.16013 1.34597 16.83785 1119.46203 0.35699 7.45298 0.03947 8.10091 0.18243 0.00101 0.63545 86.78290 6.91027
  45 0 14 0.99649 0.39947 0.89155 1.99581 17.73288 447.06962 0.63535 94.70324 0.00029 0.60787 0.63404 0.00003 0.01205 68.30694 8.45202
  46 0 14 0.95649 0.54983 0.86631 -0.02578 5.82316 105.48217 1.27817 8.29258 0.02670 19.99593 0.01891 0.28422 0.00000 112.84353 7.66321
  47 0 14 1.05365 0.47823 1.14396 -0.26478 13.96062 3.78721 0.06095 7.57524 0.00208 2.74451 3.16394 0.01404 0.00000 89.79694 7.94941
